Field Name,Unit,Example,Origin (Alias)
OBSID1,,*ARCH0008TL011*,:ref:`arch_c14_DataCore` (acdc)
OBSID2,,*PJ2S/50*,:ref:`arch_c14_DataCore` (acdc)
LABID,,*AdTL89002*,:ref:`arch_c14_DataCore` (acdc)
LAB_FACLTY,,*Prescott Env. Lum. Lab. Adelaide*,:ref:`cabah_LabCodes` (clc)
IGSNID,,*NA*,:ref:`arch_c14_DataCore` (acdc)
DBDOI,,*10.25900/af67-kh16*,:ref:`global_dbDOI` (gdd)
DBVERNO,,*2.2(2)*,:ref:`global_dbDOI` (gdd)
SMPID,,*ARCH0008SMP030b*,:ref:`arch_Sample` (ars)
SITEID,,*ARCH0008b*,:ref:`global_SiteMaster` (gsm)
METASITEID,,*META_ARCH0008*,:ref:`global_MetaSite` (gms)
METANAME,,*Puritjarra*,:ref:`global_MetaSite` (gms)
METHODABBR,,*TL*,:ref:`c_mtdID` (cmi)
CNTRY,,*AUS*,:ref:`global_SiteMaster` (gsm)
REGION_INT,,*ND*,:ref:`global_SiteMaster` (gsm)
REGION_REG,,*AUS*,:ref:`global_SiteMaster` (gsm)
DIV_ADMIN,,*AU-NT*,:ref:`global_SiteMaster` (gsm)
DIV_OTHER,,*NA*,:ref:`global_SiteMaster` (gsm)
ISL_NAME,,*NA*,:ref:`global_SiteMaster` (gsm)
LAKE,,*NA*,:ref:`global_SiteMaster` (gsm)
BASIN,,*Victoria River-wiso*,:ref:`global_SiteMaster` (gsm)
AHGFL1,,*TTS*,:ref:`global_rivID` (grid)
AHGFL2,,*TTS_10*,:ref:`global_rivID` (grid)
RIVNAME,,*Victoria River-wiso*,:ref:`global_rivID` (grid)
RIVDIV,,*Tanami-Timor Sea Coast*,:ref:`global_rivID` (grid)
IBRACODE,,*GSD*,:ref:`global_ibraID` (giid)
IBRAREGION,,*Great Sandy Desert*,:ref:`global_ibraID` (giid)
CORDS_ELEV,,*ORIG_INTP*,:ref:`global_SiteMaster` (gsm)
ELEVATION,m,*738.6*,:ref:`global_SiteMaster` (gsm)
SITENAME,,*Puritjarra*,:ref:`global_SiteMaster` (gsm)
SITE_SPEC,,*NA*,:ref:`global_SiteMaster` (gsm)
ALTNAME1,,*Cleland Hills*,:ref:`global_SiteMaster` (gsm)
ALTNAME2,,*NA*,:ref:`global_SiteMaster` (gsm)
ALTNAME3,,*NA*,:ref:`global_SiteMaster` (gsm)
SITECODE,,*Other*,:ref:`global_SiteMaster` (gsm)
OPENCLOSED,,*Open*,:ref:`global_SiteMaster` (gsm)
SITE_COMMT,,*NA*,:ref:`global_SiteMaster` (gsm)
