Field Name,Unit,Example,Origin (Alias)
OBSID1,,*ARCH0005OSL009*,:ref:`arch_osl_DataCore` (aodc)
OBSID2,,*L008/15-1*,:ref:`arch_osl_DataCore` (aodc)
LABID,,*L008/15-1*,:ref:`arch_osl_DataCore` (aodc)
LAB_FACLTY,,*ND*,:ref:`cabah_LabCodes` (clc)
IGSNID,,*NA*,:ref:`arch_osl_DataCore` (aodc)
DBDOI,,*10.25900/9y07-4j77*,:ref:`global_dbDOI` (gdd)
DBVERNO,,*2.2(2)*,:ref:`global_dbDOI` (gdd)
SMPID,,*ARCH0005SMP024a*,:ref:`arch_Sample` (ars)
SITEID,,*ARCH0005a*,:ref:`global_SiteMaster` (gsm)
METASITEID,,*META_ARCH0005*,:ref:`global_MetaSite` (gsm)
METANAME,,*Boodie Cave*,:ref:`global_MetaSite` (gms)
METHODABBR,,*OSL*,:ref:`c_mtdID` (cmi)
CNTRY,,*AUS*,:ref:`global_SiteMaster` (gsm)
REGION_INT,,*ND*,:ref:`global_SiteMaster` (gsm)
REGION_REG,,*AUS*,:ref:`global_SiteMaster` (gsm)
DIV_ADMIN,,*AU-WA*,:ref:`global_SiteMaster` (gsm)
DIV_OTHER,,*NA*,:ref:`global_SiteMaster` (gsm)
ISL_NAME,,*Barrow Island*,:ref:`global_SiteMaster` (gsm)
LAKE,,*NA*,:ref:`global_SiteMaster` (gsm)
BASIN,,*Onslow Coast*,:ref:`global_SiteMaster` (gsm)
AHGFL1,,*PG*,:ref:`global_rivID` (grid)
AHGFL2,,*PG_07*,:ref:`global_rivID` (grid)
RIVNAME,,*Onslow Coast*,:ref:`global_rivID` (grid)
RIVDIV,,*Pilbara-Gascoyne*,:ref:`global_rivID` (grid)
IBRACODE,,*CAR*,:ref:`global_ibraID` (giid)
IBRAREGION,,*Carnarvon*,:ref:`global_ibraID` (giid)
CORDS_ELEV,,*INTP_INTP*,:ref:`global_SiteMaster` (gsm)
ELEVATION,m,*27.4*,:ref:`global_SiteMaster` (gsm)
SITENAME,,*Boodie Cave*,:ref:`global_SiteMaster` (gsm)
SITE_SPEC,,*NA*,:ref:`global_SiteMaster` (gsm)
ALTNAME1,,*NA*,:ref:`global_SiteMaster` (gsm)
ALTNAME2,,*NA*,:ref:`global_SiteMaster` (gsm)
ALTNAME3,,*NA*,:ref:`global_SiteMaster` (gsm)
SITECODE,,*Rockshelter or cave*,:ref:`global_SiteCode` (gsc)
OPENCLOSED,,*Closed*,:ref:`global_SiteMaster` (gsm)
SITE_COMMT,,*NA*,:ref:`global_SiteMaster` (gsm)
REFDBID1,,*Veth:2017barrow*,:ref:`arch_osl_DataCore` (aodc)
OAID1,,*OAID-000403*,:ref:`global_RefCore` (grc1)
AUTHOR1,,*Veth*,:ref:`global_Author` (ga1)
PUBYEAR1,,*2017*,:ref:`global_RefCore` (grc1)
REFID1,,*Quaternary_Sci_Rev_168*,:ref:`global_RefCore` (grc1)
REFDOI1,,*10.1016/j.quascirev.2017.05.002*,:ref:`global_RefCore` (grc1)
REFDBID2,,*Veth:2014maritime*,:ref:`arch_osl_DataCore` (aodc)
...,...,...,...
REFDOI4,,,:ref:`global_RefCore` (grc1)
FEATDATED,,*not related to a feature*,:ref:`arch_Sample` (ars)
SQUARE,,*A102/A103*,:ref:`arch_Sample` (ars)
XU,,*7*,:ref:`arch_Sample` (ars)
SMPDEPTH,m,*1.12*,:ref:`arch_Sample` (ars)
OCCUPATION,,*Yes*,:ref:`arch_Sample` (ars)
CONTEXT,,*Occupation*,:ref:`arch_Sample` (ars)
SMP_COMMT,,*NA*,:ref:`arch_Sample` (ars)
COL_MTD,,*Tube*,:ref:`cabah_col_mtdID` (ccmi)
LUM_MAT,,*Sediment*,:ref:`osl-tl_lum_matID` (otlmi)
MINERAL,,*Quartz*,:ref:`osl-tl_mineralID` (otmi)
SIZE_MIN,µm,*180*,:ref:`arch_osl_DataCore` (aodc)
SIZE_MAX,µm,*250*,:ref:`arch_osl_DataCore` (aodc)
H2O_MEAS,%,*-9999.99*,:ref:`arch_osl_DataCore` (aodc)
H2O_USED,%,*12.5*,:ref:`arch_osl_DataCore` (aodc)
H2O_ERR,%,*3.1*,:ref:`arch_osl_DataCore` (aodc)
OSL_TYPEAB,,*OSL*,:ref:`osl_typeID` (oti)
ALIQ_TYPE,,*SG*,:ref:`arch_osl_DataCore` (aodc)
ALIQ_SIZE,m,*-9999.99*,:ref:`arch_osl_DataCore` (aodc)
ED_PROCABR,,*SAR*,:ref:`osl-tl_ed_procID` (otepi)
RESCOR,,*No*,:ref:`arch_osl_DataCore` (aodc)
DOSERECOV,,*No*,:ref:`arch_osl_DataCore` (aodc)
AGEMODELAB,,*CAM*,:ref:`osl-tl_agemodelID` (otai)
PH1_TEMP,°C,*260*,:ref:`arch_osl_DataCore` (aodc)
PH2_TEMP,°C,*160*,:ref:`arch_osl_DataCore` (aodc)
NUM_MEAS,,*200*,:ref:`arch_osl_DataCore` (aodc)
NUM_ACC,,*93*,:ref:`arch_osl_DataCore` (aodc)
EQUIVDOSE,Gy,*87.4*,:ref:`arch_osl_DataCore` (aodc)
ED_ERR,Gy,*5.2*,:ref:`arch_osl_DataCore` (aodc)
ED_INF,,*No*,:ref:`arch_osl_DataCore` (aodc)
OD,,*55*,:ref:`arch_osl_DataCore` (aodc)
OD_ERR,,*5*,:ref:`arch_osl_DataCore` (aodc)
OD_TYPE,,*%*,:ref:`arch_osl_DataCore` (aodc)
U,ppm / μg/g ,*2*,:ref:`arch_osl_DataCore` (aodc)
U_ERR,ppm / μg/g ,*0.2*,:ref:`arch_osl_DataCore` (aodc)
U_MTDAB,,*ICP-MS*,:ref:`osl-tl_mtdID` (otmi2)
TH,ppm / μg/g ,*11.3*,:ref:`arch_osl_DataCore` (aodc)
TH_ERR,ppm / μg/g ,*1.1*,:ref:`arch_osl_DataCore` (aodc)
TH_MTDAB,,*ICP-MS*,:ref:`osl-tl_mtdID` (otmi3)
K,ppm / μg/g ,*0.6*,:ref:`arch_osl_DataCore` (aodc)
K_ERR,ppm / μg/g ,*0.1*,:ref:`arch_osl_DataCore` (aodc)
