Field Name,Unit,Example,Origin (Alias)
OBSID1,,*ARCH0008TL011*,:ref:`arch_tl_DataCore` (atdc)
OBSID2,,*PJ2S/50*,:ref:`arch_tl_DataCore` (atdc)
LABID,,*AdTL89002*,:ref:`arch_tl_DataCore` (atdc)
LAB_FACLTY,,*Prescott Env. Lum. Lab. Adelaide*,:ref:`cabah_LabCodes` (clc)
IGSNID,,*NA*,:ref:`arch_tl_DataCore` (atdc)
DBDOI,,*10.25900/af67-kh16*,:ref:`global_dbDOI` (gdd)
DBVERNO,,*2.1*,:ref:`global_dbDOI` (gdd)
SMPID,,*ARCH0008SMP030b*,:ref:`arch_Sample` (ars)
SITEID,,*ARCH0008b*,:ref:`global_SiteMaster` (gsm)
METASITEID,,*META_ARCH0008*,:ref:`global_MetaSite` (gms)
METANAME,,*Puritjarra*,:ref:`global_MetaSite` (gms)
METHODABBR,,*TL*,:ref:`c_mtdID` (cmi)
CNTRY,,*AUS*,:ref:`global_SiteMaster` (gsm)
REGION_INT,,*ND*,:ref:`global_SiteMaster` (gsm)
REGION_REG,,*AUS*,:ref:`global_SiteMaster` (gsm)
DIV_ADMIN,,*AU-NT*,:ref:`global_SiteMaster` (gsm)
DIV_OTHER,,*NA*,:ref:`global_SiteMaster` (gsm)
ISL_NAME,,*NA*,:ref:`global_SiteMaster` (gsm)
LAKE,,*NA*,:ref:`global_SiteMaster` (gsm)
BASIN,,*Victoria River-wiso*,:ref:`global_SiteMaster` (gsm)
AHGFL1,,*TTS*,:ref:`global_rivID` (grid)
AHGFL2,,*TTS_10*,:ref:`global_rivID` (grid)
RIVNAME,,*Victoria River-wiso*,:ref:`global_rivID` (grid)
RIVDIV,,*Tanami-Timor Sea Coast*,:ref:`global_rivID` (grid)
IBRACODE,,*GSD*,:ref:`global_ibraID` (giid)
IBRAREGION,,*Great Sandy Desert*,:ref:`global_ibraID` (giid)
CORDS_ELEV,,*ORIG_INTP*,:ref:`global_SiteMaster` (gsm)
ELEVATION,m,*738.6*,:ref:`global_SiteMaster` (gsm)
SITENAME,,*Puritjarra*,:ref:`global_SiteMaster` (gsm)
SITE_SPEC,,*NA*,:ref:`global_SiteMaster` (gsm)
ALTNAME1,,*Cleland Hills*,:ref:`global_SiteMaster` (gsm)
ALTNAME2,,*NA*,:ref:`global_SiteMaster` (gsm)
ALTNAME3,,*NA*,:ref:`global_SiteMaster` (gsm)
SITECODE,,*Other*,
OPENCLOSED,,*Open*,
SITE_COMMT,,*NA*,:ref:`global_SiteMaster` (gsm)
REFDBID1,,*Smith:1997puritjarra*,:ref:`arch_tl_DataCore` (atdc)
OAID1,,*OAID-000387*,:ref:`global_RefCore` (grc1)
AUTHOR1,,*Smith*,:ref:`global_Author` (ga1)
PUBYEAR1,,*1997*,:ref:`global_RefCore` (grc1)
REFID1,,*Quaternary_Sci_Rev_16*,:ref:`global_RefCore` (grc1)
REFDOI1,,*10.1016/S0277-3791(96)00085-6*,:ref:`global_RefCore` (grc1)
REFDBID2,,*Smith:1987pleistocene*,:ref:`arch_tl_DataCore` (atdc)
...,...,,...
REFDOI4,,,:ref:`global_RefCore` (grc1)
FEATDATED,,*not related to a feature*,:ref:`arch_Sample` (ars)
SQUARE,,*dune field*,:ref:`arch_Sample` (ars)
XU,,*NA*,:ref:`arch_Sample` (ars)
SMPDEPTH,,*0.5*,:ref:`arch_Sample` (ars)
OCCUPATION,,*No*,:ref:`arch_Sample` (ars)
CONTEXT,,*Sterile*,:ref:`arch_Sample` (ars)
SMP_COMMT,,*NA*,:ref:`arch_Sample` (ars)
COL_MTD,,*Tube*,:ref:`cabah_col_mtdID` (ccmi)
LUM_MAT,,*Sediment*,:ref:`osl-tl_lum_matID` (otlmi)
MINERAL,,*Quartz*,:ref:`osl-tl_mineralID` (otmi)
SIZE_MIN,µm,*90*,:ref:`arch_tl_DataCore` (atdc)
SIZE_MAX,µm,*125*,:ref:`arch_tl_DataCore` (atdc)
H2O_MEAS,%,*3*,:ref:`arch_tl_DataCore` (atdc)
