LAB_ORIGID,LAB_PREFIX,LAB_FACLTY,CNTRY,LAB_ACTIVE,LAB_MTD,LAB_URL,LAB_SOURCE
-9999,Lab_indet.,ND,ND,FALSE,NA,,NA
1,A,Univ. of Arizona,USA,,C14,,Radiocarbon
2,AA,NSF-Ariz. AMS Facility,USA,,C14,,Radiocarbon
3,AAR,Univ. of Aarhus,DNK,,C14,,Radiocarbon
4,AC,Ingeis,ARG,,C14,,Radiocarbon
5,AECV,Alberta Environmental Center of Vegreville,CAN,FALSE,C14,,Radiocarbon
6,AERIK,Atomic Energy Res. Inst.,KOR,FALSE,C14,,Radiocarbon
7,ALG,Algiers,DZA,FALSE,C14,,Radiocarbon
8,ANAS,Applied Nuclear-Atomic Science (ANAS) Lab.,KOR,FALSE,C14,,Radiocarbon
9,ANL,Argonne Nat. Lab.,USA,FALSE,C14,,Radiocarbon
10,ANSTO,Australian Nuclear Science & Technology,AUS,,C14,,Radiocarbon
11,ANTW,Antwerp,BEL,FALSE,C14,,Radiocarbon
12,ANU,"Australian National Univ., 1965--2003, gas proportional counting",AUS,FALSE,C14,,HM: Internet
13,ANUA,"ANU Accelerator, 2002-2012, 14 UD Pelletron accelerator",AUS,,C14,,HM: Internet
14,AU,Univ. of Alaska,USA,FALSE,C14,,Radiocarbon
15,AURIS,Ahmedabad,IND,,C14,,Radiocarbon
16,B,Bern,CHE,,C14,,Radiocarbon
17,Ba,Bratislava,SVK,,C14,,Radiocarbon
18,BC,Brooklyn College,USA,FALSE,C14,,Radiocarbon
19,BE,Univ. of Bern,CHE,,C14,,Radiocarbon
20,Beta,Beta Analytic,USA,,C14,,Radiocarbon
21,BGS,Brock Univ.,CAN,FALSE,C14,,Radiocarbon
22,BIOCAMS,Miami,USA,FALSE,C14,,Radiocarbon
23,Birm,Birmingham,GBR,FALSE,C14,,Radiocarbon
24,Bln,Berlin,DEU,FALSE,C14,,Radiocarbon
25,BM,British Museum,GBR,FALSE,C14,,Radiocarbon
26,BONN,Univ. Bonn,DEU,FALSE,C14,,Radiocarbon
27,BRAMS,Univ. of Bristol,GBR,,C14,,Radiocarbon
28,BS,Birbal Sahni Inst.,IND,,C14,,Radiocarbon
29,C,Chicago,USA,FALSE,C14,,Radiocarbon
30,CAMS,Center for AMS,USA,,C14,,Radiocarbon
31,CAR,"Univ. College, Cardiff",GBR,FALSE,C14,,Radiocarbon
32,CENA,Centro Energia Nuclear na Agricultura,BRA,,C14,,Radiocarbon
33,CG,Inst. of Geology,CHN,,C14,,Radiocarbon
34,CH,Chemistry Lab.,IND,FALSE,C14,,Radiocarbon
35,CN-XX,Chinese Academy of Sciences,CHN,,C14,,Radiocarbon
36,CNA,Centro Nacional de Aceleradores,ESP,,C14,,Radiocarbon
37,COL,Koln AMS,DEU,,C14,,Radiocarbon
38,CRCA,Cairo,EGY,FALSE,C14,,Radiocarbon
39,CRL,Czech 14C Lab.,CZE,,C14,,Radiocarbon
40,CSIC,"Geochronology Lab., IQFR-CSIC, Madrid",ESP,,C14,,Radiocarbon
41,CSM,"Cosmochem. Lab., USSR Acad. of Sci.",SUN,FALSE,C14,,Radiocarbon
42,CT,"Caltech, Calif. Inst. Tech.",USA,FALSE,C14,,Radiocarbon
43,CU,Charles Univ.,CZE,,C14,,Radiocarbon
44,D,"Dublin, Trinity College",IRL,FALSE,C14,,Radiocarbon
45,Dak,Univ. of Dakar,SEN,FALSE,C14,,Radiocarbon
46,DAL,Dalhousie Univ.,CAN,FALSE,C14,,Radiocarbon
47,DE,"USGS, Denver",USA,FALSE,C14,,Radiocarbon
48,Deb,Debrecen,HUN,,C14,,Radiocarbon
49,DebA,Debrecen (AMS),HUN,,C14,,Radiocarbon
50,DEM,NCSR Demokritos,GRC,,C14,,Radiocarbon
51,DGC,Dalhousie Geochronology Centre,CAN,,C14,,Radiocarbon
52,DIC,Dicar Corp and Dicarb,USA,FALSE,C14,,Radiocarbon
53,DK,Univ. de Dakar,SEN,,C14,,Radiocarbon
54,DRI,Desert Research Inst.,USA,FALSE,C14,,Radiocarbon
55,DSA,"CIRCE, Caserta",ITA,,C14,,Radiocarbon
56,D-AMS,Direct AMS,USA,,C14,,Radiocarbon
57,ENEA,"ENEA, Bologna",ITA,,C14,,Radiocarbon
58,Erl,Erlangen AMS Facility,DEU,FALSE,C14,,Radiocarbon
59,ETH,ETH/AMS Facility,CHE,,C14,,Radiocarbon
60,F,Florence,ITA,FALSE,C14,,Radiocarbon
61,Fi,Florence INFN,ITA,,C14,,Radiocarbon
62,Fr,Freiberg,DEU,FALSE,C14,,Radiocarbon
63,Fra,Frankfurt,DEU,FALSE,C14,,Radiocarbon
64,FSU,Florida State Univ.,USA,FALSE,C14,,Radiocarbon
65,FTMC,Vilnius AMS Lab,LTU,,C14,,Radiocarbon
66,FZ,Fortaleza,BRA,,C14,,Radiocarbon
67,G,Gothenburg,SWE,FALSE,C14,,Radiocarbon
68,GaK,Gakushuin Univ.,JPN,FALSE,C14,,Radiocarbon
69,Gd,Gliwice,POL,,C14,,Radiocarbon
70,GD,Gdansk,POL,FALSE,C14,,Radiocarbon
71,Gif,Gif-sur-Yvette,FRA,,C14,,Radiocarbon
72,Gif A,Gif-sur-Yvette and Orsay,FRA,,C14,,Radiocarbon
73,GIN,Geological Inst.,RUS,,C14,,Radiocarbon
74,GL,Geochronological Lab.,GBR,FALSE,C14,,Radiocarbon
75,GrA,Groningen AMS,NLD,FALSE,C14,,Radiocarbon
76,GrM,Groningen AMS,NLD,,C14,,Radiocarbon
77,GrN,Groningen,NLD,FALSE,C14,,Radiocarbon
78,GrO,Groningen,NLD,FALSE,C14,,Radiocarbon
79,GSC,Geological Survey,CAN,,C14,,Radiocarbon
80,GU,Scottish Universities Research & Reactor Centre,GBR,FALSE,C14,,Radiocarbon
81,GV,"AMS Golden Valley, Novosibirsk",RUS,,C14,,Radiocarbon
82,GX,Geochron Laboratories,USA,,C14,,Radiocarbon
83,GXNUAMS,Guangxi Normal Univ. AMS Lab,CHN,,C14,,Radiocarbon
84,H,Heidelberg,DEU,FALSE,C14,,Radiocarbon
85,HAM,Hamburg,DEU,FALSE,C14,,Radiocarbon
86,HAR,Harwell,GBR,FALSE,C14,,Radiocarbon
87,Hd,Heidelberg,DEU,,C14,,Radiocarbon
88,Hel,Helsinki,FIN,,C14,,Radiocarbon
89,Hela,Helsinki AMS,FIN,,C14,,Radiocarbon
90,HIG,Hawaii Inst. of Geophys.,USA,FALSE,C14,,Radiocarbon
91,HL,Second Inst. of Oceanography,CHN,,C14,,Radiocarbon
92,HNS,"Hasleton-Nuclear, Palo Alto",USA,FALSE,C14,,Radiocarbon
93,Hv,Hannover,DEU,FALSE,C14,,Radiocarbon
94,I,Teledyne Isotopes,USA,FALSE,C14,,Radiocarbon
95,IAA,Inst. of Accelerator Analysis (beta counting),JPN,,C14,,Radiocarbon
96,IAAA,Inst. of Accelerator Analysis (AMS),JPN,,C14,,Radiocarbon
97,IAEA,International Atomic Energy Agency,AUT,FALSE,C14,,Radiocarbon
98,IAEA-MEL,Marine Environmental Lab.,MCO,,C14,,Radiocarbon
99,ICA,International Chemical Analysis,USA,,C14,,Radiocarbon
100,ICEN,Inst.o Tecnologico e Nuclear,PRT,FALSE,C14,,Radiocarbon
101,IEMAE,Inst. of Evolutionary Morphology & Animal Ecology,RUS,,C14,,Radiocarbon
102,IF AO,Inst. frangais d'archeologie orientale,EGY,,C14,,Radiocarbon
103,LAR,Liege State Univ.,BEL,FALSE,C14,,Radiocarbon
104,IGAN,Inst. of Geography,RUS,,C14,,Radiocarbon
105,IGS,Inst. of Geological Sci.,BLR,FALSE,C14,,Radiocarbon
106,IGSB,Inst. of Geological Sci.,BLR,,C14,,Radiocarbon
107,IHME,Marzeev Inst. of Hygiene Med. Ecol.,UKR,,C14,,Radiocarbon
108,II,"Isotopes, Inc., Palo Alto",USA,FALSE,C14,,Radiocarbon
109,IMTA,Inst. Mexicano de Tecnologia del Agua,MEX,,C14,,Radiocarbon
110,IOAN,Inst. of Oceanography,RUS,FALSE,C14,,Radiocarbon
111,IORAN,Inst. of Oceanology,RUS,FALSE,C14,,Radiocarbon
112,IRPA,Royal Inst. for Cultural Heritage,BEL,FALSE,C14,,Radiocarbon
113,ISGS,Illinois State Geological Survey,USA,,C14,,Radiocarbon
114,IUACD,Inter Univ. Accelerator Centre,IND,,C14,,Radiocarbon
115,IVAN,Inst. of Volcanology,UKR,FALSE,C14,,Radiocarbon
116,IVIC,Caracas,VEN,FALSE,C14,,Radiocarbon
117,IWP,Inst. of Water Problems,RUS,FALSE,C14,,Radiocarbon
118,JAT,Tono Geoscience Center (JAEA),JPN,,C14,,Radiocarbon
119,K,Copenhagen,DNK,FALSE,C14,,Radiocarbon
120,KATRI,Korea Apparel Testing,KOR,,C14,,Radiocarbon
121,KEEA,Kyushu Environ. Eval. Assoc. Property Research Inst.,JPN,,C14,,Radiocarbon
122,KGM,Korea Inst. of Geoscience & Mineral Resources (KIGAM),KOR,,C14,,Radiocarbon
123,Kl,Kiel,DEU,FALSE,C14,,Radiocarbon
124,KIA,Kiel AMS,DEU,,C14,,Radiocarbon
