CHEMPREPID,CHEMPREP,CHEMPREPAB
-9999,no data,ND
-9991,not applicable,NA
1,Acid-Base-Acid,ABA
2,ABA (base soluble),ABA (base soluble)
3,ABA and bleach,ABA and bleach
4,ABA and bleach-Stepped Combustion,ABA and bleach-SC
5,Acid-Base-Acid Stepped Combustion,ABA-SC
6,Acid-Base Oxidation,ABOx
7,Acid-Base Oxidation Stepped Combustion,ABOx-SC
8,Acid treatment,Acid
9,Acid (to extract apatite),Acid (to extract apatite)
10,Acid or ABA gelatinisation-ultrafiltration,Acid or ABA gelatin.-ultrafiltr.
11,Acid or ABA-gelatinisation,Acid or ABA-gelatin.
12,Alpha cellulose,Alpha cellulose
13,Alpha cellulose-SC,Alpha cellulose-SC
14,AOx,AOx
15,AOx-SC,AOx-SC
16,Carbonate Density Separation,CARDS
17,CARDS + acid,CARDS + acid
18,Hydroxyproline,Hydroxyproline
19,Hydrogen Pyrolysis,HyPy
20,Plasma Oxidation,Plasma Oxidation
21,Potassium permanganate (to extract oxalate),KMnO4 (to extract oxalate)
22,Stepped hydrolysis,Stepped hydrolysis
23,Resin used to clean amino acids,XAD
24,Acid-Alkali-Acid,AAA
25,AAA or ABA,AAA/ABA
26,AAA or ABA or Acid wash,AAA/ABA/Acid
27,ABA + Ultrafiltration,ABAu
28,Several fragments dated together,Bulk
29,Collagen Stepped Combustion,Coll_SC
30,Collagen ultrafiltration,Coll_ultra
31,Gelatinisation,Gelatin
32,Modified Longin method,Longin
33,no treatment,No
34,Ultrafiltration,Ultra
99,for other method,Other
