"CCONTRLID","CCONTRLTYP","PARENTID","METHODID"
1,"Core top",45,81
2,"Radiocarbon",44,2
3,"Tephra",35,70
4,"Radiocarbon, average of two or more dates",2,NA
5,"Other dating methods",5,NA
6,"Biostratigraphic, pollen",38,NA
7,"Guess",5,NA
8,"Sediment stratigraphic",45,NA
9,"Relative time scale",9,NA
10,"Lead-210",44,40
11,"Extrapolated",5,86
13,"Annual laminations (varves)",59,57
15,"Core bottom",45,82
16,"Radiocarbon, reservoir correction",2,NA
17,"Radiocarbon, calibrated",2,NA
18,"Radiocarbon, infinite",2,NA
19,"Interpolated, corrected for compaction",23,NA
20,"Deglaciation",8,NA
23,"Interpolated",5,87
25,"Radiocarbon, calibrated from calendar years",2,NA
26,"Thermoluminescence",44,7
28,"Uranium-series",44,8
31,"Palaeomagnetic",59,76
32,"Argon-argon",44,32
33,"Potassium-argon",44,31
35,"Event stratigraphic",45,NA
37,"Complex (mixture of types)",5,NA
38,"Biostratigraphic",45,NA
39,"Dendrochronologic",59,56
40,"Archaeomagnetic",59,74
41,"Obsidian hydration",44,65
42,"Amino acid racemization",44,1
43,"Electron spin resonance",44,4
44,"Geochronologic",44,NA
45,"Stratigraphic",45,10
46,"Radiocarbon, reservoir correction, calibrated",2,NA
52,"Ambrosia rise",6,NA
55,"Casuarina rise",6,NA
56,"European settlement horizon",110,71
57,"Salsola rise",6,NA
58,"Tsuga decline",6,NA
59,"Other absolute dating methods",59,NA
60,"Geologic time scale",9,NA
61,"Geomagnetic polarity time scale",9,NA
62,"Marine isotope stages",9,NA
63,"North American archaeological time scale",9,NA
64,"North American land mammal ages",9,NA
65,"Quaternary event classification",9,NA
66,"South American land mammal ages",9,NA
67,"Geomagnetic polarity reversal",35,NA
68,"Blytt-Sernander boundary",35,NA
69,"Geologic time-scale boundary",35,NA
70,"Historical documentation",59,NA
71,"Radiocarbon, calibrated, summed probabilities",2,NA
72,"Fission track",44,54
73,"Picea decline",6,NA
74,"Collection date",59,NA
75,"Sediment surface",45,NA
76,"Historical fire",35,NA
77,"Optically stimulated luminescence",44,6
78,"Introduced Pinus rise",6,NA
79,"Section top",45,NA
80,"Radiocarbon, calibrated, combined",2,NA
81,"Isotopic excursion",35,NA
82,"Inverse distance-weighting (IDW-2d) interpolation",87,NA
83,"IDW-2d Picea decline",87,NA
84,"IDW-2d Quercus rise",87,NA
85,"Heinrich stadials",9,NA
86,"Oxygen-18",59,69
87,"Blois et al. 2011 pollen boundary",6,NA
88,"European Pollen Database pollen boundary",6,NA
89,"Firbas pollen-zone boundary",88,NA
90,"Heeb & Welten (1972) pollen boundary",88,NA
91,"Welten (1982) pollen boundary",88,NA
92,"W.O. van der Knaap pollen boundary",88,NA
93,"ALPADABA pollen boundary",88,NA
94,"Core top, estimated",45,NA
95,"Biostratigraphic, pollen, regional",38,NA
96,"Geomagnetic excursion",35,NA
97,"Marine isotope stage event",35,NA
98,"IDW-2d Tsuga decline",87,NA
99,"IDW-2d Alnus decline",87,NA
100,"Marine isotope stage boundary",35,NA
101,"Pollen concentration (Middeldorp method)",5,NA
103,"Biostratigraphic, pollen, Younger Dryas/Holocene",6,NA
104,"Biostratigraphic, pollen, Allerød/Younger Dryas",6,NA
105,"Biostratigraphic, pollen, Oldest Dryas/Bølling",6,NA
106,"Biostratigraphic, pollen, Older Dryas/Allerød",6,NA
107,"IDW-2d Ulmus decline",87,NA
108,"Annual laminations (varves)/Sedimentation rate",59,NA
109,"Pre-EuroAmerican settlement horizon",110,NA
110,"Cultural",45,NA
111,"Radiocarbon, calibrated, range of dates",2,NA
112,"Radiocarbon, calibrated, Bayesian modelled",2,NA
113,"Mesoamerican chronology",9,NA
114,"Infrared Stimulated Luminescence (IRSL)",44,51
115,"Collection period",59,NA
116,"Biostratigraphic, pollen, Pleniglacial/Meiendorf",6,NA
117,"Radiocarbon, modern fraction (F14C)",44,NA
