COL_MTDID,COL_MTD,PARENTID
-9999,ND,-9999
1,Auger,1
2,Block,2
3,Core,3
4,Downhole Tube,6
5,Excavated,5
6,Tube,6
7,Other,7
8,InSitu,8
9,Sieve,9
10,Grab sample,10
11,Composite sample,10
12,Van Veen grab sampler,10
13,Casq corer,3
14,Russian corer,3
15,Wardenaar corer,3
16,Freeze corer,3
17,Gravity corer,3
18,Percussion corer,3
19,Piston corer,3
20,D-section corer,14
21,Vibro corer,3
22,Box corer,3
23,Reineck box corer,22
24,USNEL box corer,22
25,Grab sample amalgamated,10
26,Colinvaux-Vohnout piston corer,19
27,Dachnowski corer,3
28,Eijkelkamp corer,3
29,Freeze corer,3
30,Glew gravity corer,17
31,Hiller peat corer,3
32,Kullenberg piston corer,19
33,Livingstone piston corer,19
34,PVC tube,6
35,Square rod piston corer,19
36,Streif-Livingstone piston corer,33
37,Usinger piston corer,19
38,Vallentyne piston corer,33
39,Wright square-rod piston corer,35
40,Monolith,2
41,Hydraulic corer,3
