"DEPOSITID","DEPOSIT","PARENTID","DEPOSITDSC","CREATED_AT","UPDATED_AT"
1,Sedimentary (non-specific),1,"Sedimentary deposit, regardless of origin / genesis",2023-09-13 11:50:30.176 +0200,
6,Aeolian origin (non-specific),1,,2023-09-13 11:50:30.176 +0200,
7,Fluvial origin (non-specific),1,,2023-09-13 11:50:30.176 +0200,
8,Lacustrine origin (non-specific),1,Equals 'Limnic',2023-09-13 11:50:30.176 +0200,
9,Marine origin (non-specific),1,,2023-09-13 11:50:30.176 +0200,
10,Glacial origin (non-specific),1,,2023-09-13 11:50:30.176 +0200,
11,Pyroclastic origin ( non-specific),1,,2023-09-13 11:50:30.176 +0200,
12,Gravitational origin (non-specific),1,"Primarily gravitational origin, other processes may be involved",2023-09-13 11:50:30.176 +0200,
13,Mass wasting origin,12,,2023-09-13 11:50:30.176 +0200,
14,Landslip origin,13,,2023-09-13 11:50:30.176 +0200,
15,Landslide origin,13,,2023-09-13 11:50:30.176 +0200,
16,Rockslide origin,13,,2023-09-13 11:50:30.176 +0200,
17,Rock fall origin,13,,2023-09-13 11:50:30.176 +0200,
18,Slump origin,13,,2023-09-13 11:50:30.176 +0200,
19,Debris flow origin,13,,2023-09-13 11:50:30.176 +0200,
20,Pedogenic origin (non-specific),20,,2023-09-13 11:50:30.176 +0200,
21,Soil (non-specific),20,,2023-09-13 11:50:30.176 +0200,
22,Palaeosol,21,,2023-09-13 11:50:30.176 +0200,
23,Organic origin (non-specific),23,,2023-09-13 11:50:30.176 +0200,
24,Animal origin (non-specific),23,,2023-09-13 11:50:30.176 +0200,
25,Animal midden (non-specific),25,,2023-09-13 11:50:30.176 +0200,
26,Plant origin (non-specific),23,,2023-09-13 11:50:30.176 +0200,
27,Composite deposit (non-specific),27,"Composite refers to classification / terminology, not to material composition",2023-09-13 11:50:30.176 +0200,
28,Alluvial (non-specific),7,,2023-09-13 11:50:30.176 +0200,
29,Archaeological (non-specific),29,,2023-09-13 11:50:30.176 +0200,
30,Chemical precipitates (non-specific),3,,2023-09-13 11:50:30.176 +0200,
31,Asphaltic sand,27,,2023-09-13 11:50:30.176 +0200,
32,Asphaltic seep,27,,2023-09-13 11:50:30.176 +0200,
33,Bar,7,,2023-09-13 11:50:30.176 +0200,
34,Beach (non-specific),115,,2023-09-13 11:50:30.176 +0200,
35,Bedrock desintegration,2,,2023-09-13 11:50:30.176 +0200,
36,Burial,29,,2023-09-13 11:50:30.176 +0200,
37,Burrow,25,,2023-09-13 11:50:30.176 +0200,
38,Channel (non-specific),7,,2023-09-13 11:50:30.176 +0200,
39,Channel lag,38,,2023-09-13 11:50:30.176 +0200,
40,Coarse-grained (non-specific),2,,2023-09-13 11:50:30.176 +0200,
41,Colluvium (non-specific),7,,2023-09-13 11:50:30.176 +0200,
42,Crevasse splay,7,,2023-09-13 11:50:30.176 +0200,
43,Deep water muds,9,,2023-09-13 11:50:30.176 +0200,
44,Deltaic coarse,7,,2023-09-13 11:50:30.176 +0200,
45,Diatomite,9,,2023-09-13 11:50:30.176 +0200,
46,Dune (non-specific),6,,2023-09-13 11:50:30.176 +0200,
47,Dung,25,,2023-09-13 11:50:30.176 +0200,
48,Fine-grained (non-specific),2,,2023-09-13 11:50:30.176 +0200,
49,Floodplain,7,,2023-09-13 11:50:30.176 +0200,
50,Levee,7,,2023-09-13 11:50:30.176 +0200,
51,Marl (non-specific),2,,2023-09-13 11:50:30.176 +0200,
52,Loam (non-specific),2,,2023-09-13 11:50:30.176 +0200,
53,Midden,23,,2023-09-13 11:50:30.176 +0200,
54,Mound origin (non-specific),54,,2023-09-13 11:50:30.176 +0200,
55,Occupation debris,29,,2023-09-13 11:50:30.176 +0200,
56,Packrat midden,25,,2023-09-13 11:50:30.176 +0200,
57,Point Bar,7,,2023-09-13 11:50:30.176 +0200,
58,Talus cone,12,,2023-09-13 11:50:30.176 +0200,
59,Terrace (non-specific),59,,2023-09-13 11:50:30.176 +0200,
60,"Terrace, fluvial",7,,2023-09-13 11:50:30.176 +0200,
61,"Terrace, Kame",10,,2023-09-13 11:50:30.176 +0200,
62,"Terrace, marine",9,,2023-09-13 11:50:30.176 +0200,
63,"Terrace, lacustrine",8,,2023-09-13 11:50:30.176 +0200,
64,"Terrace, structural",59,Formed by differential erosion in layered rocks,2023-09-13 11:50:30.176 +0200,
65,"Terrace, travertine",66,,2023-09-13 11:50:30.176 +0200,
66,Travertine,30,,2023-09-13 11:50:30.176 +0200,
67,Tufa,30,,2023-09-13 11:50:30.176 +0200,
68,Chaotic deposit (non-specific),2,,2023-09-13 11:50:30.176 +0200,
69,Unsorted (non-specific),2,,2023-09-13 11:50:30.176 +0200,
70,Ejecta (non-specific),2,,2023-09-13 11:50:30.176 +0200,
71,Varved,8,,2023-09-13 11:50:30.176 +0200,
72,Tephra,11,,2023-09-13 11:50:30.176 +0200,
73,Loess,6,,2023-09-13 11:50:30.176 +0200,
