Field,Data type,Key,Not Null,Parent
OBSID,serial4,pkey,TRUE,
SMPID,int4,fkey,TRUE,:ref:`char_Sample`
OBSNAME,text,,TRUE,
LABID,text,,,
LAB_ORIGID,int2,fkey,,:ref:`cabah_LabCodes`
WHATAMI,int2,fkey,TRUE,:ref:`global_varunitID`
AGE,"numeric(12, 2)",,,
AGE_ERROR,"numeric(12, 2)",,,
AGETYPEID,int2,fkey,,:ref:`cabah_agetypeID`
AGE_SPEC,varchar(12),,,
METHODID,int2,fkey,,:ref:`cabah_methodID`
MATERIA2ID,int2,fkey,,:ref:`c14_materia2ID`
EST_AGE,"numeric(12, 2)",,,
CALCURVEID,int2,fkey,,:ref:`c14_calcurve`
CALPROGID,int2,fkey,,:ref:`c14_calprogram`
CHARCOUNTS,numeric,,,
CHARMTDID,int2,fkey,,:ref:`cabah_charmethodID`
CHARMEASID,int2,fkey,,:ref:`global_varunitID`
CHARMAX,numeric,,,
CHARMIN,numeric,,,
CHARSIZEID,int2,fkey,,:ref:`global_varunitID`
THICKNESS,"numeric(8, 2)",,,
DATASRCID,int2,fkey,,:ref:`cabah_datasourceID`
REF1,text,fkey,TRUE,:ref:`global_RefCore`
REF2,text,fkey,,:ref:`global_RefCore`
REF3,text,fkey,,:ref:`global_RefCore`
CHARCOMMT,text,,,
