AMSID,AMS,AMSORG,AMSURL,CREATED_AT,UPDATED_AT
-9999,NA,not applicable,not applicable,2021-11-19 12:11:05.011 +0100,
1,ANSTO,Australian Nuclear Science and Technology Organisation ANSTO,https://www.ansto.gov.au/accelerator-mass-spectrometry,2021-11-19 12:11:05.011 +0100,
2,ANSTO-Assumed,Australian Nuclear Science and Technology Organisation ANSTO,https://www.ansto.gov.au/accelerator-mass-spectrometry,2021-11-19 12:11:05.011 +0100,
3,ANU,Australian National University ANU,https://physics.anu.edu.au/nuclear/research/ams/,2021-11-19 12:11:05.011 +0100,
4,ANU-Assumed,Australian National University ANU,https://physics.anu.edu.au/nuclear/research/ams/,2021-11-19 12:11:05.011 +0100,
5,ASTER,Centre for Research and Teaching in Environmental Geoscience CEREGE,https://www.cerege.fr,2021-11-19 12:11:05.011 +0100,
6,ASTER-Assumed,Centre for Research and Teaching in Environmental Geoscience CEREGE,https://www.cerege.fr,2021-11-19 12:11:05.011 +0100,
7,Cologne,University of Cologne,https://cologneams.uni-koeln.de,2021-11-19 12:11:05.011 +0100,
8,Cologne-Assumed,University of Cologne,https://cologneams.uni-koeln.de,2021-11-19 12:11:05.011 +0100,
9,DREAMS,Helmholtz-Zentrum Dresden-Rossendorf HZDR,https://www.hzdr.de/,2021-11-19 12:11:05.011 +0100,
10,DREAMS-Assumed,Helmholtz-Zentrum Dresden-Rossendorf HZDR,https://www.hzdr.de,2021-11-19 12:11:05.011 +0100,
11,ETH-Zurich,Swiss Federal Institute of Technology in Zurich ETH-Zurich,https://ams.ethz.ch,2021-11-19 12:11:05.011 +0100,
12,ETH-Zurich-Assumed,Swiss Federal Institute of Technology in Zurich ETH-Zurich,https://ams.ethz.ch,2021-11-19 12:11:05.011 +0100,
13,Gif-sur-Yvette,"Climate and Environment Sciences Laboratory LSCE, Pierre Simon Laplace Institute",https://www.lsce.ipsl.fr,2021-11-19 12:11:05.011 +0100,
14,Gif-sur-Yvette-Assumed,"Climate and Environment Sciences Laboratory LSCE, Pierre Simon Laplace Institute",https://www.lsce.ipsl.fr,2021-11-19 12:11:05.011 +0100,
15,KIGAM AMS,Korea Institute of Geoscience and Mineral Resources KIGAM,https://www.kigam.re.kr,2021-11-19 12:11:05.011 +0100,
16,KIGAM AMS-Assumed,Korea Institute of Geoscience and Mineral Resources KIGAM,https://www.kigam.re.kr,2021-11-19 12:11:05.011 +0100,
17,KIST Seoul,Korea Institute of Science and Technology,https://eng.kist.re.kr,2021-11-19 12:11:05.011 +0100,
18,KIST Seoul-Assumed,Korea Institute of Science and Technology,https://eng.kist.re.kr,2021-11-19 12:11:05.011 +0100,
19,LLNL-CAMS,"Lawrence Livermore National Laboratory LLNL, Center for Accelerator Mass Spectrometry",https://cams.llnl.gov,2021-11-19 12:11:05.011 +0100,
20,LLNL-CAMS-Assumed,"Lawrence Livermore National Laboratory LLNL, Center for Accelerator Mass Spectrometry",https://cams.llnl.gov,2021-11-19 12:11:05.011 +0100,
21,MALT Tokyo AMS,"Micro Analysis Laboratory, Tandem accelerator MALT, The University of Tokyo",http://malt.um.u-tokyo.ac.jp,2021-11-19 12:11:05.011 +0100,
22,MALT Tokyo AMS-Assumed,"Micro Analysis Laboratory, Tandem accelerator MALT, The University of Tokyo",http://malt.um.u-tokyo.ac.jp,2021-11-19 12:11:05.011 +0100,
23,PRIME-Lab,Purdue Rare Isotope Measurement Laboratory PRIME,https://www.physics.purdue.edu/primelab/,2021-11-19 12:11:05.011 +0100,
24,PRIME-Lab-Assumed,Purdue Rare Isotope Measurement Laboratory PRIME,https://www.physics.purdue.edu/primelab/,2021-11-19 12:11:05.011 +0100,
25,SUERC,Scottish Universities Environmental Research Centre,https://www.gla.ac.uk/research/az/suerc/researchthemes/ams/,2021-11-19 12:11:05.011 +0100,
26,SUERC-Assumed,Scottish Universities Environmental Research Centre,https://www.gla.ac.uk/research/az/suerc/researchthemes/ams/,2021-11-19 12:11:05.011 +0100,
27,Uppsala,"Uppsala University, Tandem Laboratory",https://www.tandemlab.uu.se,2021-11-19 12:11:05.011 +0100,
28,Uppsala-Assumed,"Uppsala University, Tandem Laboratory",https://www.tandemlab.uu.se,2021-11-19 12:11:05.011 +0100,
29,XCAMS (GNS),"Compact AMS, GNS New Zealand",https://www.gns.cri.nz,2021-11-19 12:11:05.011 +0100,
30,XCAMS (GNS)-Assumed,"Compact AMS, GNS New Zealand",https://www.gns.cri.nz,2021-11-19 12:11:05.011 +0100,
31,XAAMS,"Xi’an AMS Center, China",http://www.xaams.cn,2021-11-19 12:11:05.011 +0100,
32,XAAMS-Assumed,"Xi’an AMS Center, China",http://www.xaams.cn,2021-11-19 12:11:05.011 +0100,
33,iThemba LABS,iThemba Laboratory for Accelerator Based Sciences,https://tlabs.ac.za,2021-11-19 12:11:05.011 +0100,
34,iThemba LABS-Assumed,iThemba Laboratory for Accelerator Based Sciences,https://tlabs.ac.za,2022-07-06 07:49:59.462 +0200,2022-07-06 07:50:37.106 +0200
35,Tianjin,"Inst. of Surface-Earth System Sci., School of Earth System Sci., Tianjin University (CHN)",http://earth.tju.edu.cn/en/,2022-07-06 07:49:59.760 +0200,2022-07-06 07:50:37.408 +0200
36,Tianjin-Assumed,"Inst. of Surface-Earth System Sci., School of Earth System Sci., Tianjin University (CHN)",http://earth.tju.edu.cn/en/,2022-07-06 07:50:00.056 +0200,2022-07-06 07:50:37.704 +0200
