BESTNDID,BESTND,BESTND_PUB,BECORR,BESTNDRTIO,BESTNDCOMT,CREATED_AT,UPDATED_AT
-9999,NA,NA,0,,not applicable,2021-11-19 12:11:05.011 +0100,
1,07KNSTD,07KNSTD,1,,"Nishiizumi et al, 2007 (NIM-B v. 258, p. 403)",2021-11-19 12:11:05.011 +0100,
2,07KNSTD,07KNSTD-Assumed,1,,"Nishiizumi et al, 2007 (NIM-B v. 258, p. 403)",2021-11-19 12:11:05.011 +0100,
3,07KNSTD,07KNSTD3110,1,2.85E-12,"Standard used at PRIME, equivalent to 07KNSTD",2021-11-19 12:11:05.011 +0100,
4,07KNSTD,07KNSTD3110-Assumed,1,2.85E-12,"Standard used at PRIME, equivalent to 07KNSTD",2021-11-19 12:11:05.011 +0100,
5,BEST433,BEST433,0.9124,9.31E-11,"ETH-Zurich standard used prior to 1 Apr 2010, Kubik and Christl, 2010",2021-11-19 12:11:05.011 +0100,
6,BEST433,BEST433-Assumed,0.9124,9.31E-11,"ETH-Zurich standard used prior to 1 Apr 2010, Kubik and Christl, 2010",2021-11-19 12:11:05.011 +0100,
7,BEST433N,BEST433N,1,8.33E-11,"ETH-Zurich standard, equivalent to 07KNSTD, effective 1 Apr 2010, Kubik and Christl, 2010",2021-11-19 12:11:05.011 +0100,
8,BEST433N,BEST433N-Assumed,1,8.33E-11,"ETH-Zurich standard, equivalent to 07KNSTD, effective 1 Apr 2010, Kubik and Christl, 2010",2021-11-19 12:11:05.011 +0100,
9,07KNSTD,ICN,1,,"S130 and S142, Nishiizumi e al., 2007, equivalent to 07KNSTD",2021-11-19 12:11:05.011 +0100,
10,07KNSTD,ICN-Assumed,1,,"S130 and S142, Nishiizumi e al., 2007, equivalent to 07KNSTD",2021-11-19 12:11:05.011 +0100,
11,07KNSTD,ICN 01-5-2,1,8.558E-12,"S145, Nishiizumi e al., 2007, equivalent to 07KNSTD",2021-11-19 12:11:05.011 +0100,
12,07KNSTD,ICN 01-5-2-Assumed,1,8.558E-12,"S145, Nishiizumi e al., 2007, equivalent to 07KNSTD",2021-11-19 12:11:05.011 +0100,
