Field Name,Unit,Example,Origin (Alias)
OBSID1,,*S208WTS001*,:ref:`crn_be_DataCore` (cbdc)
OBSID2,,*PIO*,:ref:`crn_be_DataCore` (cbdc)
STUDYID,,*S208*,
CRN_SUBCMP,,*AUS*,
IGSNID,,*NA*,:ref:`crn_be_DataCore` (cbdc)
DBDOI,,*10.25900/mpr9-yn15*,:ref:`global_dbDOI` (gdd)
DBVERNO,,*2*,:ref:`global_dbDOI` (gdd)
SMPID,,*CRNSM03787*,:ref:`crn_Sample` (cs)
SITEID,,*CRNST03410a*,:ref:`global_SiteMaster` (gsm)
METASITEID,,*NA*,:ref:`global_SiteMaster` (gsm)
CNTRY,,*AUS*,:ref:`global_SiteMaster` (gsm)
REGION_INT,,*Lake Eyre Basin*,:ref:`global_SiteMaster` (gsm)
REGION_REG,,*AUS*,:ref:`global_SiteMaster` (gsm)
DIV_ADMIN,,*AU-NT*,:ref:`global_SiteMaster` (gsm)
DIV_OTHER,,*NA*,:ref:`global_SiteMaster` (gsm)
ISL_NAME,,*NA*,:ref:`global_SiteMaster` (gsm)
LAKE,,*NA*,:ref:`global_SiteMaster` (gsm)
BASIN,,Finke Riv.,:ref:`global_SiteMaster` (gsm)
AHGFL1,,LEB,:ref:`global_rivID` (grid)
AHGFL2,,LEB_02,:ref:`global_rivID` (grid)
RIVNAME,,Diamantina-Georgina Rivers,:ref:`global_rivID` (grid)
RIVDIV,,Lake Eyre Basin,:ref:`global_rivID` (grid)
IBRACODE,,MAC,:ref:`global_ibraID` (giid)
IBRAREGION,,MacDonnell Ranges,:ref:`global_ibraID` (giid)
X_WGS84,decimal deg,132.71,:ref:`global_SiteMaster` (gsm)
Y_WGS84,decimal deg,-23.68,:ref:`global_SiteMaster` (gsm)
CORDS_ELEV,,INTP_ND,:ref:`global_SiteMaster` (gsm)
ELEVATION,m,-9999.99,:ref:`global_SiteMaster` (gsm)
SITE_COMMT,,NA,:ref:`global_SiteMaster` (gsm)
REFDBID,,Struck:2018australia,:ref:`global_RefCore` (grc)
OAID,,OAID-000158,:ref:`global_RefCore` (grc)
AUTHOR,,Struck,:ref:`global_Author` (ga)
PUBYEAR,,2018,:ref:`global_RefCore` (grc)
REFID,,Earth_Surf_Dynamics_6,:ref:`global_RefCore` (grc)
REFDOI,,10.5194/esurf-6-329-2018,:ref:`global_RefCore` (grc)
MATERIAL,,Sa,:ref:`global_GrainSize` (ggs)
SIZEMIN,µm,250,:ref:`crn_Sample` (cs)
SIZEMAX,µm,500,:ref:`crn_Sample` (cs)
PROJEPSGID,,32753,:ref:`crn_projepsgID` (cpi)
PROJECTION,,WGS84_UTM_53S,:ref:`crn_projepsgID` (cpi)
AREA,km^2,98.13,:ref:`crn_Sample` (cs)
ELEV_AVE,m,776.81,:ref:`crn_Sample` (cs)
ELEV_STD,m,81.23,:ref:`crn_Sample` (cs)
SLP_AVE,m.km^-1,118.62,:ref:`crn_Sample` (cs)
SLP_STD,m.km^-1,119.92,:ref:`crn_Sample` (cs)
SMP_DAY,,-9999,:ref:`crn_Sample` (cs)
SMP_MONTH,,-9999,:ref:`crn_Sample` (cs)
SMP_YEAR,,-9999,:ref:`crn_Sample` (cs)
SMP_COMMT,,NA,:ref:`crn_Sample` (cs)
BE10NP,atoms.g^-1,495437,:ref:`crn_be_DataCore` (cbdc)
BE10NP_ERR,atoms.g^-1,15151,:ref:`crn_be_DataCore` (cbdc)
BE10EP,atoms.g^-1,7.46,:ref:`crn_be_DataCore` (cbdc)
BE10EP_ERR,atoms.g^-1,0.25,:ref:`crn_be_DataCore` (cbdc)
BESTND,,07KNSTD,:ref:`crn_bestndID` (cbi)
BECORR,,1,:ref:`crn_bestndID` (cbi)
BEAMS,,ANSTO,:ref:`crn_amsID` (cai2)
BE10NC,atoms.g^-1,495437,:ref:`crn_be_DataCore` (cbdc)
BE10NC_ERR,atoms.g^-1,15151,:ref:`crn_be_DataCore` (cbdc)
BEPROD,dimless,1.295,:ref:`crn_be_DataCore` (cbdc)
BETOPO,dimless,0.996,:ref:`crn_be_DataCore` (cbdc)
BESELF,dimless,1,:ref:`crn_be_DataCore` (cbdc)
BESNOW,dimless,1,:ref:`crn_be_DataCore` (cbdc)
BETOTS,dimless,1.289,:ref:`crn_be_DataCore` (cbdc)
EBE_GCMYR,g.cm^-2.yr^-1,0.00188,:ref:`crn_be_DataCore` (cbdc)
ERRBE_AMS,g.cm^-2.yr^-1,0.00006,:ref:`crn_be_DataCore` (cbdc)
ERRBE_MUON,g.cm^-2.yr^-1,0.00015,:ref:`crn_be_DataCore` (cbdc)
ERRBE_PROD,g.cm^-2.yr^-1,0.00039,:ref:`crn_be_DataCore` (cbdc)
ERRBE_TOT,g.cm^-2.yr^-1,0.00042,:ref:`crn_be_DataCore` (cbdc)
EBE_MMKYR,mm.kyr^-1,7.09,:ref:`crn_be_DataCore` (cbdc)
EBE_ERR,mm.kyr^-1,1.6,:ref:`crn_be_DataCore` (cbdc)
AL26NP,atoms.g^-1,2785751,:ref:`crn_al_DataCore` (cadc)
AL26NP_ERR,atoms.g^-1,139733,:ref:`crn_al_DataCore` (cadc)
AL26EP,atoms.g^-1,-9999.99,:ref:`crn_al_DataCore` (cadc)
AL26EP_ERR,atoms.g^-1,-9999.99,:ref:`crn_al_DataCore` (cadc)
ALSTND,,KNSTD,:ref:`crn_alstndID` (cai)
ALCORR,,1,:ref:`crn_alstndID` (cai)
ALAMS,,ANSTO,:ref:`crn_amsID` (cai2)
AL26NC,atoms.g^-1,2785751,:ref:`crn_al_DataCore` (cadc)
AL26NC_ERR,atoms.g^-1,139733,:ref:`crn_al_DataCore` (cadc)
ALPROD,dimless,1.295,:ref:`crn_al_DataCore` (cadc)
ALTOPO,dimless,0.996,:ref:`crn_al_DataCore` (cadc)
ALSELF,dimless,1,:ref:`crn_al_DataCore` (cadc)
ALSNOW,dimless,1,:ref:`crn_al_DataCore` (cadc)
ALTOTS,dimless,1.289,:ref:`crn_al_DataCore` (cadc)
EAL_GCMYR,g.cm^-2.yr^-1,0.00246,:ref:`crn_al_DataCore` (cadc)
ERRAL_AMS,g.cm^-2.yr^-1,0.00014,:ref:`crn_al_DataCore` (cadc)
ERRAL_MUON,g.cm^-2.yr^-1,0.00008,:ref:`crn_al_DataCore` (cadc)
ERRAL_PROD,g.cm^-2.yr^-1,0.00051,:ref:`crn_al_DataCore` (cadc)
ERRAL_TOT,g.cm^-2.yr^-1,0.00053,:ref:`crn_al_DataCore` (cadc)
EAL_MMKYR,mm.kyr^-1,9.27,:ref:`crn_al_DataCore` (cadc)
EAL_ERR,mm.kyr^-1,2.01,:ref:`crn_al_DataCore` (cadc)
