PROJEPSGID,PROJECTION
-9999,NA
32601,WGS84_UTM_01N
32602,WGS84_UTM_02N
32603,WGS84_UTM_03N
32604,WGS84_UTM_04N
32605,WGS84_UTM_05N
32606,WGS84_UTM_06N
32607,WGS84_UTM_07N
32608,WGS84_UTM_08N
32609,WGS84_UTM_09N
32610,WGS84_UTM_10N
32611,WGS84_UTM_11N
32612,WGS84_UTM_12N
32613,WGS84_UTM_13N
32614,WGS84_UTM_14N
32615,WGS84_UTM_15N
32616,WGS84_UTM_16N
32617,WGS84_UTM_17N
32618,WGS84_UTM_18N
32619,WGS84_UTM_19N
32620,WGS84_UTM_20N
32621,WGS84_UTM_21N
32622,WGS84_UTM_22N
32623,WGS84_UTM_23N
32624,WGS84_UTM_24N
32625,WGS84_UTM_25N
32626,WGS84_UTM_26N
32627,WGS84_UTM_27N
32628,WGS84_UTM_28N
32629,WGS84_UTM_29N
32630,WGS84_UTM_30N
32631,WGS84_UTM_31N
32632,WGS84_UTM_32N
32633,WGS84_UTM_33N
32634,WGS84_UTM_34N
32635,WGS84_UTM_35N
32636,WGS84_UTM_36N
32637,WGS84_UTM_37N
32638,WGS84_UTM_38N
32639,WGS84_UTM_39N
32640,WGS84_UTM_40N
32641,WGS84_UTM_41N
32642,WGS84_UTM_42N
32643,WGS84_UTM_43N
32644,WGS84_UTM_44N
32645,WGS84_UTM_45N
32646,WGS84_UTM_46N
32647,WGS84_UTM_47N
32648,WGS84_UTM_48N
32649,WGS84_UTM_49N
32650,WGS84_UTM_50N
32651,WGS84_UTM_51N
32652,WGS84_UTM_52N
32653,WGS84_UTM_53N
32654,WGS84_UTM_54N
32655,WGS84_UTM_55N
32656,WGS84_UTM_56N
32657,WGS84_UTM_57N
32658,WGS84_UTM_58N
32659,WGS84_UTM_59N
32660,WGS84_UTM_60N
32701,WGS84_UTM_01S
32702,WGS84_UTM_02S
32703,WGS84_UTM_03S
32704,WGS84_UTM_04S
32705,WGS84_UTM_05S
32706,WGS84_UTM_06S
32707,WGS84_UTM_07S
32708,WGS84_UTM_08S
32709,WGS84_UTM_09S
32710,WGS84_UTM_10S
32711,WGS84_UTM_11S
32712,WGS84_UTM_12S
32713,WGS84_UTM_13S
32714,WGS84_UTM_14S
32715,WGS84_UTM_15S
32716,WGS84_UTM_16S
32717,WGS84_UTM_17S
32718,WGS84_UTM_18S
32719,WGS84_UTM_19S
32720,WGS84_UTM_20S
32721,WGS84_UTM_21S
32722,WGS84_UTM_22S
32723,WGS84_UTM_23S
32724,WGS84_UTM_24S
32725,WGS84_UTM_25S
32726,WGS84_UTM_26S
32727,WGS84_UTM_27S
32728,WGS84_UTM_28S
32729,WGS84_UTM_29S
32730,WGS84_UTM_30S
32731,WGS84_UTM_31S
32732,WGS84_UTM_32S
32733,WGS84_UTM_33S
32734,WGS84_UTM_34S
32735,WGS84_UTM_35S
32736,WGS84_UTM_36S
32737,WGS84_UTM_37S
32738,WGS84_UTM_38S
32739,WGS84_UTM_39S
32740,WGS84_UTM_40S
32741,WGS84_UTM_41S
32742,WGS84_UTM_42S
32743,WGS84_UTM_43S
32744,WGS84_UTM_44S
32745,WGS84_UTM_45S
32746,WGS84_UTM_46S
32747,WGS84_UTM_47S
32748,WGS84_UTM_48S
32749,WGS84_UTM_49S
32750,WGS84_UTM_50S
32751,WGS84_UTM_51S
32752,WGS84_UTM_52S
32753,WGS84_UTM_53S
32754,WGS84_UTM_54S
32755,WGS84_UTM_55S
32756,WGS84_UTM_56S
32757,WGS84_UTM_57S
32758,WGS84_UTM_58S
32759,WGS84_UTM_59S
32760,WGS84_UTM_60S
