Field,Data type,Unit,Key,Not Null,Parent
OBSID1, text,,pkey,TRUE,
SMPID, text,,fkey,TRUE,:ref:`fos_Sample`
OBSID2, text,,,,
LABID, text,,,,
IGSNID, text,,,,
LAB_ORIGID, int2,,fkey,,:ref:`cabah_LabCodes`
FOS_MTDID, int2,,fkey,,:ref:`cabah_methodID`
FOS_MTDSID, int2,,fkey,,:ref:`fos_mtdsID`
DBDOI, text,,fkey,,:ref:`global_dbDOI`
REFDBID1, text,,fkey,TRUE,:ref:`global_RefCore`
REFDBID2, text,,fkey,,:ref:`global_RefCore`
REFDBID3, text,,fkey,,:ref:`global_RefCore`
REFDBID4, text,,fkey,,:ref:`global_RefCore`
FOSMAT1ID, int2,,fkey,,:ref:`fos_fosmat1ID`
FOSMAT2ID, int2,,fkey,,:ref:`fos_fosmat2ID`
SPECIESID, int2,,fkey,,:ref:`fos_TaxRank6_speciesID`
GENUSID, int2,,fkey,,:ref:`fos_TaxRank5_genusID`
FAMILYID, int2,,fkey,,:ref:`fos_TaxRank4_familyID`
ORDRID, int2,,fkey,,:ref:`fos_TaxRank3_ordrID`
INFRACLAID, int2,,fkey,,:ref:`fos_TaxRank2_infraclaID`
CLASSID, int2,,fkey,,:ref:`fos_TaxRank1_classID`
STATUS, varchar(7):p,,,,
MEGAFAUNA, varchar(3):p,,,,
C14_CALIB, varchar(3):p,,,,
PHYSCLEAN, varchar(3):p,,,,
CONTAM, varchar(8):p,,,,
CHEMTYPEID, int2,,fkey,,:ref:`fos_chemtypeID`
CHEMPREPID, int2,,fkey,,:ref:`cabah_chemprepID`
XTR_PROBLEM, varchar(3):p,,,,
CN_RATIO, numeric,,,,
PCT_N, numeric,%,,,
C14_XRDIFF, varchar(3):p,,,,
AAR_T_HIST, varchar(4):p,,,,
AAR_CLOSD, varchar(3):p,,,,
AAR_UNCERT, varchar(3):p,,,,
AAR_INCAL, varchar(3):p,,,,
U_TH_PRE, text,,,,
U_TH_CLOSD, varchar(3):p,,,,
U_TH_DCORR, varchar(3):p,,,,
ESR_I_DR10, text,,,,
ESR_GAMMA, text,,,,
ALIQ_TYPE, varchar(2),,,,
BLEACH_STS, text,,,,
AGEMD_TRUE, varchar(3),,,,
AGE, numeric,ka,,,
AGE_ERR, numeric,ka,,,
AGE_TYPE, varchar(5):p,,,,
AGE_CI, varchar(3):p,,,,
AGE_PREQ, varchar(3):p,,,,
AGE_Q, varchar(3):p,,,,
AGE_SUBQ, varchar(6):p,,,,
AGE_ASSOC1, varchar(8):p,,,,
AGE_ASSOC2, text,,,,
AGE_PREQ_R, text,,,,
AGE_Q_R, text,,,,
AGE_COMMT, text,,,,
