ORDRID,ORDR,CREATED_AT,UPDATED_AT
-9999,ND,19.11.21,
-9991,NA,19.11.21,
1,Accipitriformes,19.11.21,
2,Anseriformes,19.11.21,
3,Anura,19.11.21,
4,Artiodactyla,19.11.21,
5,Carnivora,19.11.21,
6,Charadriiformes,19.11.21,
7,Chiroptera,19.11.21,
8,Chiroptera (Microchiroptera),19.11.21,
9,Ciconiiformes,19.11.21,
10,Columbiformes,19.11.21,
11,Crocodylia,19.11.21,
12,Dasyuromorphia,19.11.21,
13,Diprotodontia,19.11.21,
14,Falconiformes,19.11.21,
15,Galliformes,19.11.21,
16,Gruiformes,19.11.21,
17,Lagomorpha,19.11.21,
18,Monotremata,19.11.21,
19,Passeriformes,19.11.21,
20,Pelecaniformes,19.11.21,
21,Peramelemorphia,19.11.21,
22,Procellariiformes,19.11.21,
23,Psittaciformes,19.11.21,
24,Rodentia,19.11.21,
25,Sirenia,19.11.21,
26,Sphenisciformes,19.11.21,
27,Squamata,19.11.21,
28,Strigiformes,19.11.21,
29,Struthioniformes,19.11.21,12.01.23
30,Suliformes,19.11.21,
31,Testudines,19.11.21,
32,Turniciformes,19.11.21,
33,Didelphimorphia,09.01.23,
34,Paucituberculata,09.01.23,
35,Microbiotheria,09.01.23,
36,Notoryctemorphia,09.01.23,
37,Afrosoricida,09.01.23,
38,Macroscelidea,09.01.23,
39,Tubulidentata,09.01.23,
40,Hyracoidea,09.01.23,
41,Proboscidea,09.01.23,
42,Cingulata,09.01.23,
43,Pilosa,09.01.23,
44,Scandentia,09.01.23,
45,Dermoptera,09.01.23,
46,Primates,09.01.23,
47,Erinaceomorpha,09.01.23,
48,Soricomorpha,09.01.23,
49,Pholidota,09.01.23,
50,Perissodactyla,09.01.23,
51,Cetacea,09.01.23,
53,Gastornithiformes,24.01.23,24.01.23
54,Eulipotyphla,24.01.23,24.01.23
55,Casuariiformes,24.01.23,24.01.23
56,Perciformes,24.01.23,24.01.23
