GENUSID,GENUS,CREATED_AT,UPDATED_AT
-9999,ND,19.11.21,
-9991,NA,19.11.21,
1,Abeomelomys,19.11.21,
2,Acrobates,19.11.21,
3,Aepypodius,19.11.21,
4,Aepyprymnus,19.11.21,
5,Alectura,19.11.21,
6,Amphibolurus,19.11.21,
7,Anas,19.11.21,
8,Anhinga,19.11.21,
9,Anisomys,19.11.21,
10,Anseranas,19.11.21,
11,Antechinomys,19.11.21,
12,Antechinus,19.11.21,
13,Antechinus/Sminthopsis,19.11.21,
14,Aproteles,19.11.21,
15,Arctocephalus,19.11.21,
16,Aythya,19.11.21,
17,Baringa,19.11.21,
18,Bettongia,19.11.21,
19,Bohra,19.11.21,
20,Boid,19.11.21,
21,Borungaboodie,19.11.21,
22,Burhinus,19.11.21,
23,Cacatua,19.11.21,
24,Canis,19.11.21,
25,Casuarius,19.11.21,
26,Cercartetus,19.11.21,
27,Cereopsis,19.11.21,
28,Chaeropus,19.11.21,
29,Chelodina,19.11.21,
30,Chelonia,19.11.21,
31,Chlamydosaurus,19.11.21,
32,Chroicocephalus,19.11.21,
33,Cinclorhamphus,19.11.21,
34,Congruus,19.11.21,
35,Conilurus,19.11.21,
36,Corvus,19.11.21,
37,Coturnix,19.11.21,
38,Crinia,19.11.21,
39,Cyclodomorphus,19.11.21,
40,Cyclorana,19.11.21,
41,Cygnus/Anseranas,19.11.21,
42,Dactylopsila,19.11.21,
43,Dasycercus,19.11.21,
44,Dasyuroides,19.11.21,
45,Dasyurus,19.11.21,
46,Dendrolagus,19.11.21,
47,Diporiphora,19.11.21,
48,Diprotodon,19.11.21,
49,Distoechurus,19.11.21,
50,Dobsonia,19.11.21,
51,Dobsonia/Pteropus,19.11.21,
52,Dorcopsis,19.11.21,
53,Dorcopsulus,19.11.21,
54,Dromaius,19.11.21,
55,Dugong,19.11.21,
56,Echymipera,19.11.21,
57,Egernia,19.11.21,
58,Egretta,19.11.21,
59,Etnabatrachus,19.11.21,
60,Eudyptula,19.11.21,
61,Falco,19.11.21,
62,Fulica,19.11.21,
63,Gallinago,19.11.21,
64,Gallinula,19.11.21,
65,Gallus,19.11.21,
66,Genus indet.,19.11.21,
67,Genyornis,19.11.21,
68,Geocrinia,19.11.21,
69,Grallina,19.11.21,
70,Grus,19.11.21,
71,Gymnorhina,19.11.21,
72,Harpyopsis,19.11.21,
73,Hemisphaeriodon,19.11.21,
74,Hieraaetus,19.11.21,
75,Hipposideros,19.11.21,
76,Hirundo,19.11.21,
77,Hydromys,19.11.21,
78,Hyomys,19.11.21,
79,Hypsilurus,19.11.21,
80,Invictokoala,19.11.21,
81,Isoodon,19.11.21,
82,Kurrabi,19.11.21,
83,Kyarranus,19.11.21,
84,Lagorchestes,19.11.21,
85,Lagostrophus,19.11.21,
86,Lasiorhinus,19.11.21,
87,Lathamus,19.11.21,
88,Lechriodus,19.11.21,
89,Leggadina,19.11.21,
