Field Name,Unit,Example,Origin (Alias)
OBSID1,,FOS00009,:ref:`fos_polygons_EPSG3857` (fpe)
OBSID2,,NC4,:ref:`fos_polygons_EPSG3857` (fpe)
LABID,,ND,:ref:`fos_DataCore` (fdc)
LAB_FACLTY,,ND,:ref:`cabah_LabCodes` (clc)
IGSNID,,NA,:ref:`fos_DataCore` (fdc)
DBDOI,,FosSahul_Odbv.2_no_DOI_minted,:ref:`fos_DataCore` (fdc)
DBVERNO,,2,:ref:`global_dbDOI` (gdd)
SMPID,,FOSMP00008a,:ref:`fos_DataCore` (fdc)
SITEID,,FOSTE0003a,:ref:`global_SiteMaster` (gsm)
METASITEID,,META_FOS0057,:ref:`global_MetaSite` (gms)
METANAME,,Naracoorte Caves,:ref:`global_MetaSite` (gms)
METHODABBR,,OSL,:ref:`c_mdtID`(cmi)
FOS_MTDSUB,,ND,:ref:`fos_mtdsID`(fmi)
CNTRY,,AUS,:ref:`global_SiteMaster` (gsm)
REGION_INT,,ND,:ref:`global_SiteMaster` (gsm)
REGION_REG,,AUS,:ref:`global_SiteMaster` (gsm)
DIV_ADMIN,,AU-SA,:ref:`global_SiteMaster` (gsm)
DIV_OTHER,,NA,:ref:`global_SiteMaster` (gsm)
ISL_NAME,,NA,:ref:`global_SiteMaster` (gsm)
LAKE,,NA,:ref:`global_SiteMaster` (gsm)
BASIN,,Millicent Coast,:ref:`global_SiteMaster` (gsm)
AHGFL1,,SEV,:ref:`global_rivID` (grid)
AHGFL2,,SEV_14,:ref:`global_rivID` (grid)
RIVNAME,,Millicent Coast,:ref:`global_rivID` (grid)
RIVDIV,,South East Coast (Victoria),:ref:`global_rivID` (grid)
IBRACODE,,MDD,:ref:`global_ibraID` (giid)
IBRAREGION,,Murray Darling Depression,:ref:`global_ibraID`(giid)
CORDS_ELEV,,ND_ND,:ref:`global_SiteMaster` (gsm)
ELEVATION,,-9999.99,:ref:`global_SiteMaster` (gsm)
SITENAME,,Cathedral Cave,:ref:`global_SiteMaster` (gsm)
SITE_SPEC,,ND,:ref:`global_SiteMaster` (gsm)
ALTNAME1,,ND,:ref:`global_SiteMaster` (gsm)
SITE_COMMT,,NA,:ref:`global_SiteMaster` (gsm)
REFDBID1,,Prideaux:2007responses,:ref:`fos_DataCore` (fdc)
OAID1,,OAID-000365,:ref:`global_RefCore` (grc1)
AUTHOR1,,Prideaux,:ref:`global_Author` (ga1)
PUBYEAR1,,2007,:ref:`global_RefCore` (grc1)
REFID1,,Geology_35,:ref:`global_RefCore` (grc1)
REFDOI1,,10.1130/G23070A.1,:ref:`global_RefCore` (grc1)
REFDBID2,,,:ref:`fos_DataCore` (fdc)
...,...,...,...
REFDOI4,,,:ref:`global_RefCore` (grc1)
FOSMAT1,,Speleo,:ref:`fos_fosmat1ID` (ffi)
FOSMAT2,,Quartz,:ref:`fos_fosmat2ID` (ffi2)
STRAT_TAPH,,"Strat, REFDBID3",:ref:`fos_Sample` (fos)
SPEC_ABUND,,Yes,:ref:`fos_Sample` (fos)
SQUARE_XU,,"U. 3, 165 cm bel. dat.",:ref:`fos_Sample` (fos)
SMP_COMMT,,NA,:ref:`fos_Sample` (fos)
SPECIES,,pygmaeus,:ref:`fos_TaxRank6_speciesID` (ftrsi)
GENUS,,Acrobates,:ref:`fos_TaxRank5_genusID` (ftrgi)
FAMILY,,Acrobatidae,:ref:`fos_TaxRank4_familyID` (ftrfi)
ORDR,,Diprotodontia,:ref:`fos_TaxRank3_ordrID` (ftroi)
INFRACLASS,,Marsupialia,:ref:`fos_TaxRank2_infraclaID` (ftrii)
CLASS,,Mammalia,:ref:`fos_TaxRank1_classID` (ftrci)
STATUS,,Extant,:ref:`fos_DataCore` (fdc)
MEGAFAUNA,,No,:ref:`fos_DataCore` (fdc)
C14_CALIB,,NA,:ref:`fos_DataCore` (fdc)
PHYSCLEAN,,NA,:ref:`fos_DataCore` (fdc)
CONTAM,,NA,:ref:`fos_DataCore` (fdc)
CHEMTYPEAB,,NA,:ref:`fos_DataCore` (fdc)
CHEMPREPAB,,NA,:ref:`cabah_chemprepID` (cci)
XTR_PROBLE,,NA,:ref:`fos_DataCore` (fdc)
CN_RATIO,,-9999.99,:ref:`fos_DataCore` (fdc)
PCT_N,,-9999.99,:ref:`fos_DataCore` (fdc)
C14_XRDIFF,,NA,:ref:`fos_DataCore` (fdc)
AAR_T_HIST,,NA,:ref:`fos_DataCore` (fdc)
AAR_CLOSD,,NA,:ref:`fos_DataCore` (fdc)
AAR_UNCERT,,NA,:ref:`fos_DataCore` (fdc)
AAR_INCAL,,NA,:ref:`fos_DataCore` (fdc)
U_TH_PRE,,NA,:ref:`fos_DataCore` (fdc)
U_TH_CLOSD,,NA,:ref:`fos_DataCore` (fdc)
U_TH_DCORR,,NA,:ref:`fos_DataCore` (fdc)
ESR_I_DR10,,NA,:ref:`fos_DataCore` (fdc)
ESR_GAMMA,,NA,:ref:`fos_DataCore` (fdc)
ALIQ_TYPE,,SA,:ref:`fos_DataCore` (fdc)
BLEACH_STS,,Adequately,:ref:`fos_DataCore` (fdc)
AGEMD_TRUE,,NA,:ref:`fos_DataCore` (fdc)
AGE,,292,:ref:`fos_DataCore` (fdc)
AGE_ERR,,19,:ref:`fos_DataCore` (fdc)
AGE_TYPE,,Exact,:ref:`fos_DataCore` (fdc)
AGE_CI,,2SD,:ref:`fos_DataCore` (fdc)
AGE_PREQ,,m,:ref:`fos_DataCore` (fdc)
AGE_Q,,A,:ref:`fos_DataCore` (fdc)
AGE_SUBQ,,Within,:ref:`fos_DataCore` (fdc)
AGE_ASSOC1,,Indirect,:ref:`fos_DataCore` (fdc)
AGE_ASSOC2,,Yes,:ref:`fos_DataCore` (fdc)
AGE_PREQ_R,,All requirements met,:ref:`fos_DataCore` (fdc)
AGE_Q_R,,Indirect age,:ref:`fos_DataCore` (fdc)
AGE_COMMT,,NA,:ref:`fos_DataCore` (fdc)
