"DATASETID","UNITID","DSETTYPEID","NEODSETID","NEODSETDOI","DSETNAME","DSETSOURCE","DSETAGEOLD","DSETAGEYNG","DSETNOTE"
1,18,2,251,"10.21233/n31112","",8,NA,NA,"relation to 10.21233/n3f01f to be clarified"
3,18,3,252,"10.21233/n39890","",8,12183,19,"relation to 10.21233/n3w99m to be clarified. Archive material available from Geoff Hope at ANH/RSPAS, Australian National University, Canberra."
5,576,3,285,"10.21233/n34m6r","",8,13339,320,"relation to 10.21233/n3jk5r to be clarified"
7,589,3,1630,"10.21233/n38k9s","",8,116711,50,"relation to 10.21233/n3vm9d to be clarified"
9,586,2,1682,"10.21233/n3db3b","",8,NA,NA,"relation to 10.21233/n3t642 to be clarified"
11,586,3,1683,"10.21233/n38j1d","",8,192649,868,"relation to 10.21233/n3ph1s to be clarified"
13,532,3,3043,"10.21233/n3xj4f","",8,9804,-25,""
14,244,16,14621,"10.21233/3yjs-w212","",8,673,-32,""
15,244,3,14622,"10.21233/fs4c-mv83","",8,779,-32,""
16,120,16,14628,"10.21233/7k4f-qp63","",8,695,-28,"Charcoal in pollen samples."
17,120,3,14629,"10.21233/zjqh-j697","",8,826,-28,""
18,574,3,14897,"10.21233/wrb3-qd23","",8,4607,-37,""
19,573,3,14921,"10.21233/m8m6-rn46","",8,13220,-34,""
20,172,16,14940,"10.21233/0g31-7593","",8,18591,-34,""
21,172,3,14941,"10.21233/zdh7-r634","",8,18591,-34,""
22,533,3,14959,"10.21233/wrt5-qc27","",8,14510,-28,""
23,534,3,14961,"10.21233/bsdh-m107","",8,15614,-28,""
24,571,3,14963,"10.21233/6es0-qa61","",8,36576,1415,""
25,572,3,14964,"10.21233/3190-q898","",8,2224,283,""
26,73,16,14968,"10.21233/4mmj-5938","",8,9597,-21,""
27,73,3,14969,"10.21233/bxmn-yq94","",8,9597,-21,""
28,425,16,14971,"10.21233/gehp-ge83","",8,5290,-32,"Pollen and charcoal analyzed by H. Desmond, L. Lester, D. O'Dea, and G. Hope, but analysts of individual samples not supplied."
29,425,3,14972,"10.21233/sam2-cd21","",8,5290,-32,"Pollen and charcoal analyzed by H. Desmond, L. Lester, D. O'Dea, and G. Hope, but analysts of individual samples not supplied."
30,421,3,14989,"10.21233/hrjv-mx82","",8,6815,-29,""
31,588,3,15005,"10.21233/mhya-2v27","",8,11065,-40,""
32,568,16,15012,"10.21233/s20d-tk15","",8,41231,19228,""
33,568,3,15013,"10.21233/5mqf-9723","",8,41231,19228,"Upper 250 cm believed mixed and older pollen incorporated"
34,570,7,15015,"10.21233/2630-v967","Lac Suprin",8,NA,NA,""
35,569,16,15017,"10.21233/gf44-f574","",8,-43,-43,""
36,569,7,15018,"10.21233/phs4-0b11","Lac Suprin",8,NA,NA,""
37,145,16,15058,"10.21233/6e42-rz93","",8,8030,-70,""
38,145,3,15059,"10.21233/5yf4-yx81","",8,8030,-70,""
39,535,3,15160,"10.21233/atbs-xt65","",8,16399,825,""
40,536,3,15290,"10.21233/j8q3-sm07","",8,16406,-31,""
41,537,3,16209,"10.21233/2ac6-fd67","",8,1307,-51,""
42,538,3,16210,"10.21233/tgn5-an43","",8,NA,NA,""
43,567,16,20273,"10.21233/32he-7s20","",8,45549,-68,""
44,567,3,20274,"10.21233/6d54-4g60","",8,45255,-61,""
45,285,3,25511,"10.21233/f533-gn18","",8,2496,-51,""
46,364,16,32425,"10.21233/eq0h-n915","",8,15403,-75,"Microscopic charcoal enumerated on prepared pollen slides until a total of 300 terrestrial pollen grains were identified. Depths are the tops of the sections."
47,364,3,32426,"10.21233/7bhz-n612","",8,15403,-75,"Depths are the tops of the sections."
48,364,16,32891,"10.21233/gvdw-hh11","",8,15801,-75,"Depths are the tops of the sections. Samples were sieved through 250 µm and 125 µm mesh."
49,584,16,34552,"10.21233/mykb-3x02","",8,11984,-65,""
50,584,3,34553,"10.21233/kb77-8r67","",8,11984,-65,""
51,566,16,41505,"10.21233/bjbb-h803","",8,1428.2,-54.8,""
52,566,3,41506,"10.21233/xett-n046","",8,1428.2,-54.8,""
53,566,16,41508,"10.21233/smwb-d795","",8,1469.8,-58.2,""
54,596,16,41513,"10.21233/ahnz-yc32","",8,5567.5,-64.5,""
55,596,3,41514,"10.21233/07ah-4r18","",8,5567.5,-64.5,""
56,596,16,41515,"10.21233/7sx6-3h42","",8,1213.9,-64.5,""
57,433,16,41520,"10.21233/bssc-8n35","",8,634.4,-62.5,""
58,433,3,41521,"10.21233/rrzj-sp79","",8,634.4,-62.5,""
59,433,16,41522,"10.21233/drmn-qe22","",8,675.4,-53.8,""
60,565,16,41531,"10.21233/ck79-2787","",8,8736.6,-40.1,""
61,565,3,41532,"10.21233/w9z1-fn16","",8,8736.6,-40.1,""
62,565,16,41533,"10.21233/ht9f-mk79","",8,9268.7,-50.3,""
63,428,16,45647,"10.21233/p92y-ks13","",8,8512,-60,"Influx values based on Barr et al. 2019 age model."
64,428,3,45648,"10.21233/5rcm-aa91","",8,8512,-60,""
65,564,3,46531,"10.21233/DRMB-SS59","",8,1520000,1419000,"Zero datum for depth is at the bottom of the section. Depths are in meters. Depths in publication have been multiplied by -1."
66,563,3,46533,"10.21233/STWZ-MS95","",8,1730000,1130000,""
67,118,3,47110,"10.21233/XZYB-6819","",8,19295,-31,""
68,118,2,47111,"10.21233/MW0E-0259","",8,19295,-31,""
69,562,3,48647,"10.21233/DTQH-0C03","",8,28529,27386,""
70,561,3,48649,"10.21233/4MXX-C134","",8,18177,-34,""
71,560,3,48651,"10.21233/WG83-X438","",8,2369,-27,""
72,559,3,48653,"10.21233/FHH7-2056","",8,3154,-42,""
73,238,3,48656,"10.21233/CA6B-D485","",8,76222,-34,""
74,558,3,48666,"10.21233/MQMR-FV34","",8,141479,5006,""
75,539,3,49426,"10.21233/KGAV-1B35","",8,7292,1991,""
76,21,16,50065,"10.21233/C135-TW28","",8,13712,1070,"Top sample not included because catchement surface was recently burnt"
77,21,3,50066,"10.21233/PQHN-QR96","",8,13712,1070,"Top sample not included because catchement surface was recently burnt"
78,465,3,50117,"10.21233/YGCC-VC43","",8,6832.17,34,""
79,465,16,50116,"10.21233/FM87-B398","truwana East Coast Lagoon",8,NA,NA,""
80,147,16,50119,"10.21233/05HQ-DJ69","",8,7344.4,-69,""
81,147,3,50120,"10.21233/ZF37-0C73","",8,7344.4,-69,""
82,321,3,50122,"10.21233/PK95-3V68","",8,12143,544,""
83,524,16,50124,"10.21233/MSFB-X280","",8,644.8,-69,""
84,524,3,50125,"10.21233/58WF-YX76","",8,644.8,-69,""
85,124,16,50300,"10.21233/9VN5-F005","",8,48172,10764,""
86,124,3,50301,"10.21233/JKQ1-JX02","",8,48172,10764,""
87,124,16,50302,"10.21233/V526-WA80","",8,48172,10764,""
