"DATASETID","UNITID","DSETTYPEID","NEODSETID","NEODSETDOI","DSETNAME","DSETSOURCE","DSETAGEOLD","DSETAGEYNG","DSETNOTE"
1,18,2,251,"10.21233/n31112","",8,NA,NA,""
3,18,3,252,"10.21233/n39890","",8,12183,19,"Archive material available from Geoff Hope at ANH/RSPAS, Australian National University, Canberra."
5,576,3,285,"10.21233/n34m6r","",8,13339,320,""
7,589,3,1630,"10.21233/n38k9s","",8,116711,50,""
9,586,2,1682,"10.21233/n3db3b","",8,NA,NA,""
11,586,3,1683,"10.21233/n38j1d","",8,192649,868,""
13,532,3,3043,"10.21233/n3xj4f","",8,9804,-25,""
14,244,16,14621,"10.21233/3yjs-w212","",8,673,-32,""
15,244,3,14622,"10.21233/fs4c-mv83","",8,779,-32,""
16,120,16,14628,"10.21233/7k4f-qp63","",8,695,-28,"Charcoal in pollen samples."
...,...,...,...,...,...,...,...,...,...
317,610,3,58448,"","NgofePollen",8,NA,NA,""
