Field,Data type,Unit,Key,Not Null,Parent
SITEID,text,,pkey,TRUE,
METASITEID,text,,fkey,,:ref:`global_MetaSite`
CNTRY,varchar(3),,,TRUE,
REGION_INT,text,,,,
REGION_REG,varchar(3),,,,
DIV_ADMIN,varchar(7),,,,
DIV_OTHER,text,,,,
ISL_NAME,text,,,,
LAKE,text,,,,
BASIN,text,,,,
RIVID,int2,,fkey,,:ref:`global_rivID`
IBRAID,int2,,fkey,,:ref:`global_ibraID`
X_WGS84,"numeric(10, 6)",decimal deg,,,
Y_WGS84,"numeric(10, 6)",decimal deg,,,
CORDS_ELEV,varchar(9),,,TRUE,
ELEVATION,"numeric(6, 2)",m,,,
SITENAME ,text,,,,
SITE_SPEC ,text,,,,
ALTNAME1 ,text,,,,
ALTNAME2 ,text,,,,
ALTNAME3,text,,,,
SITECODEID,int2,,fkey,,:ref:`global_SiteCodeID`
OPENCLOSED,varchar(6),,,,
SITE_COMMT,text,,,,
BIOMEID,int4,,fkey,,:ref:`global_biomeID`
CATCHSZEID,int2,,fkey,,:ref:`cabah_catchmentsizeID`
BASINSZEID,int2,,fkey,,:ref:`cabah_basinsizeID`
FLOWTYPEID,int2,,fkey,,:ref:`cabah_flowtypeID`
NEO_SITEID,int4,,,,
SITEDESRC,text,,,,
