Field,Data type,Unit,Key,Not Null,Parent
UNITID,serial4,,pkey,TRUE,
SITEID,text,,fkey,TRUE,:ref:`global_SiteMaster`
UNITNAME,text,,,,
UNITHANDLE,varchar(10),,ukey,,
UNITTYPEID,int2,,fkey,TRUE,:ref:`cabah_unittypeID`
COLLECTID,int2,,fkey,TRUE,:ref:`cabah_col_mtdID`
DEPOSITID,int2,,fkey,TRUE,:ref:`cabah_depositID`
COLLDATE,varchar(10),,,,
WATERDEPTH,numeric,m,,,
NEO_HANDLE,varchar(10),,ukey,,
UNIT_COMMT,text,,,,
COLL_SPEC,text,,,,
IS:CHAR,boolean,,,TRUE,
IS_IPPD,boolean,,,TRUE,
IS_NEOTOMA,boolean,,,TRUE,
