"DSETTYPEID","DSETTYPE","DSTYPNOTE"
-9999,"no data",NA
1,"geochronologic",NA
2,"loss-on-ignition",NA
3,"pollen",NA
4,"plant macrofossil",NA
5,"vertebrate fauna",NA
6,"macroinvertebrate",NA
7,"pollen surface sample",NA
8,"insect",NA
9,"ostracode",NA
10,"water chemistry",NA
11,"diatom",NA
12,"ostracode surface sample",NA
13,"diatom surface sample",NA
14,"geochemistry",NA
15,"physical sedimentology",NA
16,"charcoal",NA
17,"testate amoebae",NA
18,"X-ray fluorescence (XRF)",NA
19,"X-ray diffraction (XRD)",NA
20,"energy dispersive X-ray spectroscopy (EDS/EDX)",NA
21,"biomarker",NA
22,"modern plant biomarker",NA
23,"phytolith",NA
24,"specimen stable isotope",NA
25,"paleomagnetic",NA
26,"biochemistry",NA
27,"modern biochemistry",NA
28,"organic carbon",NA
29,"insect modern",NA
30,"chironomid",NA
31,"stable isotope",NA
32,"testate amoebae surface sample",NA
33,"charcoal surface sample",NA
34,"cladocera",NA
35,"diatom top-bottom",NA
36,"microcharcoal",NA
37,"macrocharcoal",NA
38,"pollen trap",NA
39,"dinoflagellates",NA
40,"sedimentary DNA",NA
41,"diatom bottom sample",NA
