IBRAID,IBRACODE,IBRAREGION
-9999,NA,NA
1,ARC,Arnhem Coast
2,ARP,Arnhem Plateau
3,AUA,Australian Alps
4,AVW,Avon Wheatbelt
5,BBN,Brigalow Belt North
6,BBS,Brigalow Belt South
7,BEL,Ben Lomond
8,BHC,Broken Hill Complex
9,BRT,Burt Plain
10,CAR,Carnarvon
11,CEA,Central Arnhem
12,CEK,Central Kimberley
13,CER,Central Ranges
14,CHC,Channel Country
15,CMC,Central Mackay Coast
16,COO,Coolgardie
17,COP,Cobar Peneplain
18,COS,Coral Sea
19,CYP,Cape York Peninsula
20,DAB,Daly Basin
21,DAC,Darwin Coastal
22,DAL,Dampierland
23,DEU,Desert Uplands
24,DMR,Davenport Murchison Ranges
25,DRP,Darling Riverine Plains
26,EIU,Einasleigh Uplands
27,ESP,Esperance Plains
28,EYB,Eyre Yorke Block
29,FIN,Finke
30,FLB,Flinders Lofty Block
31,FUR,Furneaux
32,GAS,Gascoyne
33,GAW,Gawler
34,GES,Geraldton Sandplains
35,GFU,Gulf Fall and Uplands
36,GID,Gibson Desert
37,GSD,Great Sandy Desert
38,GUC,Gulf Coastal
39,GUP,Gulf Plains
40,GVD,Great Victoria Desert
41,HAM,Hampton
42,ITI,Indian Tropical Islands
43,JAF,Jarrah Forest
44,KAN,Kanmantoo
45,KIN,King
46,LSD,Little Sandy Desert
47,MAC,MacDonnell Ranges
48,MAL,Mallee
49,MDD,Murray Darling Depression
50,MGD,Mitchell Grass Downs
51,MII,Mount Isa Inlier
52,MUL,Mulga Lands
53,MUR,Murchison
54,NAN,Nandewar
55,NCP,Naracoorte Coastal Plain
56,NET,New England Tablelands
57,NNC,NSW North Coast
58,NOK,Northern Kimberley
59,NSS,NSW South Western Slopes
60,NUL,Nullarbor
61,OVP,Ord Victoria Plain
62,PCK,Pine Creek
63,PIL,Pilbara
64,PSI,Pacific Subtropical Islands
65,RIV,Riverina
66,SAI,Subantarctic Islands
67,SCP,South East Coastal Plain
68,SEC,South East Corner
69,SEH,South Eastern Highlands
70,SEQ,South Eastern Queensland
71,SSD,Simpson Strzelecki Dunefields
72,STP,Stony Plains
73,STU,Sturt Plateau
74,SVP,Southern Volcanic Plain
75,SWA,Swan Coastal Plain
76,SYB,Sydney Basin
77,TAN,Tanami
78,TCH,Tasmanian Central Highlands
79,TIW,Tiwi Cobourg
80,TNM,Tasmanian Northern Midlands
81,TNS,Tasmanian Northern Slopes
82,TSE,Tasmanian South East
83,TSR,Tasmanian Southern Ranges
84,TWE,Tasmanian West
85,VIB,Victoria Bonaparte
86,VIM,Victorian Midlands
87,WAR,Warren
88,WET,Wet Tropics
89,YAL,Yalgoo
