"CHRONLGYID","NEO_UNITID","AGETYPEID","CONTACTID","IS_DEFAULT","CHRONNAME","PREPDATE","AGEMODEL","AGEYOUNG","AGEOLD","CHRONNOTE","UNITID"
1,7,5,44,"true","NAPD 1","13/05/1994","LERP",-30,6490,"Chron uses surface date (-30 BP), Ambrosia-rise (110 BP), and 2 radiocarbon dates.",NA
2,8,5,44,"false","NAPD 1","28/08/1997","LERP",-40,5240,"Chron uses top (-40 BP), 5 cultural pollen stratigraphic dates, 4 radiocarbon dates adjusted by -1200 yrs for dead carbon, and 3 unadjusted radiocarbon dates. See Cole and Liu (1994) for explanation.",NA
4,11,5,118,"true","PALE preferred","19/12/1996","LERP",1000,8820,"",NA
6,15,5,148,"true","LAPD 1","01/01/1997","LERP",0,9830,"Chron uses surface and 3 radiocarbon dates.",NA
7,16,5,969,"true","EPD","01/03/1995","LERP",990,4280,"",NA
8,17,5,967,"true","LAPD 1","22/08/1996","LERP",0,1460,"",NA
9,19,5,44,"true","GPD 1","13/11/2003","LERP",29190,44480,"Only TIG-DVGU-17 14C date considered correct. 515 age is TL",NA
12,21,5,306,"true","Author's preferred","06/03/1997","single sample - single date",10430,10450,"",NA
13,22,5,306,"true","Author's preferred","06/03/1997","single sample - single date",4780,4800,"",NA
15,24,5,430,"false","NAPD 1","25/03/1997","LERP",3390,6030,"Chron uses one C14 date and one averaged C14 date (SI-1521 and SI-1331).",NA
16,24,5,NA,"false","COHMAP chron 2","","LERP",NA,NA,"3 C-14 dates and guess that top of core is missing. Jordan (pers. comm., 1980) suggests as much. Core taken by Fitzhugh in early sampling days and may have been flocculent at top. COHMAP age bounds for application of the model: top = 2000; bottom = 6000.",NA
17,25,5,NA,"true","COHMAP chron 1","","LERP",30,9890,"Chron uses top and four C14 dates in core from 527 to 919 cm. Picea pollen rise from 4% to 20% at 9.9k. Picea to 70 to 80% at 6k. 20% Abies 6k to 7K. COHMAP age bounds for application of the model: top = 0; bottom = 14000.",NA
