"PORTIONID","PORTION"
1,"anterior"
2,"centrum"
3,"complete"
4,"distal"
5,"dorsal"
6,"epiphysis"
7,"fragment"
8,"lateral"
10,"medial"
11,"neural arch"
12,"neural spine"
13,"posterior"
14,"proximal"
15,"shaft"
16,"transverse process"
18,"ventral"
19,"zygopophysis"
20,"lateral condyle"
21,"medial condyle"
22,"trochlea"
23,"head"
24,"distal, medial"
25,"condyle, distal"
26,"condyle"
27,"medial malleolus"
28,"spinous process"
29,"tubercle"
30,"medial crest"
31,"major tuberosity"
32,"base"
33,"tip"
34,"pectoral"
35,"fifth"
36,"fourth"
37,"second"
38,"third"
39,"partial"
40,"radial notch"
41,"root"
42,"corpus"
43,"enamel"
44,"eye orbit"
45,"greater trochanter"
46,"greater trochanteric epiphyseal plate"
47,"lesser trochanter"
50,"distal epiphysis"
51,"proximal epiphysis"
52,"dorsal epiphysis"
53,"epiphyseal plate"
54,"epiphyseal plate, anterior"
55,"epiphyseal plate, posterior"
56,"plate"
57,"blade"
58,"middle"
