"ELEMTYPEID","ELEMENTYPE","DATASRCID"
-9999,"no data",NA
1,"palynomorph",10
2,"pollen",10
3,"pollen/spore",10
4,"spore",10
5,"acetabulum",10
6,"antler",10
7,"astragalus",10
8,"auditory bulla",10
9,"baculum",10
10,"basihyal",10
11,"basioccipital",10
12,"basisphenoid",10
13,"bone",10
14,"bone/tooth",10
15,"calcaneum",10
16,"carpal",10
17,"centralia",10
18,"ceratohyoid",10
19,"claw",10
20,"cuboid",10
21,"cuneiform",10
22,"dung",10
23,"exoccipital",10
24,"external cuneiform",10
25,"fecal pellet",10
26,"femur",10
27,"fibula",10
28,"frontal",10
29,"frontal, antler",10
30,"frontal, horn core",10
31,"frontal, pedicle",10
32,"hair",10
33,"horn",10
34,"horn core",10
35,"humerus",10
36,"hyoid",10
37,"hyomandibular",10
38,"ilium",10
39,"innominate",10
40,"internal cuneiform",10
41,"ischium",10
42,"jugal",10
43,"limb",10
44,"lunate",10
45,"magnum",10
46,"mandible",10
47,"mandibular condyle",10
48,"mandibular ramus, edentulous",10
49,"mandibular ramus, teeth",10
50,"maxilla",10
51,"maxilla, edentulous",10
52,"maxilla, teeth",10
53,"metacarpal",10
54,"metapodial",10
55,"metatarsal",10
56,"middle cuneiform",10
57,"nasal",10
58,"navicular",10
59,"occipital",10
60,"occipital condyle",10
61,"palate",10
62,"palate, edentulous",10
63,"palate, teeth",10
64,"parietal",10
65,"pelvis",10
66,"phalanx, proximal (first)",10
67,"phalanx, intermediate (second)",10
68,"phalanx, distal (third)",10
69,"pisiform",10
70,"premaxilla, edentulous",10
71,"premaxilla, teeth",10
72,"prepubis",10
73,"presphenoid",10
74,"pterygoid",10
75,"pubis",10
76,"quill",10
77,"radius",10
78,"rib",10
80,"rostrum",10
81,"scaphoid",10
82,"scapula",10
83,"sesamoid",10
84,"skull",10
85,"skull, edentulous",10
86,"skull, teeth",10
87,"squamosal",10
88,"tarsal",10
89,"tibia",10
90,"tibia-fibula",10
91,"tooth",10
92,"tooth, canine",10
93,"tooth, crown",10
94,"tooth, deciduous",10
95,"tooth, deciduous canine",10
96,"tooth, deciduous incisor",10
97,"tooth, deciduous premolar",10
98,"tooth, fifth incisor",10
99,"tooth, first deciduous incisor",10
100,"tooth, first deciduous premolar",10
101,"tooth, first incisor",10
102,"tooth, first molar",10
103,"tooth, first premolar",10
104,"tooth, fourth deciduous premolar",10
105,"tooth, fourth incisor",10
106,"tooth, fourth molar",10
107,"tooth, fourth premolar",10
108,"tooth, incisor",10
109,"tooth, molar",10
110,"tooth, premolar",10
111,"tooth, root",10
112,"tooth, second deciduous incisor",10
113,"tooth, second deciduous premolar",10
114,"tooth, second incisor",10
115,"tooth, second molar",10
116,"tooth, second premolar",10
117,"tooth, third deciduous incisor",10
118,"tooth, third deciduous premolar",10
119,"tooth, third incisor",10
120,"tooth, third molar",10
121,"tooth, third premolar",10
122,"trapezium",10
123,"trapezoid",10
124,"tusk",10
125,"ulna",10
126,"unciform",10
127,"vertebra",10
128,"vertebra, atlas",10
129,"vertebra, axis",10
130,"vertebra, caudal",10
131,"vertebra, cervical",10
132,"vertebra, lumbar",10
133,"vertebra, sacrum",10
134,"vertebra, thoracic",10
135,"vomer",10
136,"zygomatic",10
137,"valve",10
138,"shell",10
139,"sediment/water",10
140,"field air",10
141,"field",10
142,"lab",10
143,"mean January",10
144,"mean July",10
145,"mean annual",10
146,">100 µm",10
147,">125 µm",10
148,">24 µm",10
149,">30 µm",10
150,">5 µm",10
151,">50 µm",10
152,">50 µm^2",10
153,"0-25 µm",10
154,"1000°C",10
155,"100-125 µm",10
156,"100-150 µm",10
157,"12-20 µm",10
158,"14-24 µm",10
159,"25-50 µm",10
160,"450°C",10
161,"500°C",10
162,"50-100 µm",10
163,"50-75 µm",10
164,"5-150 µm",10
165,"525°C",10
166,"5-50 µm",10
167,"550°C",10
168,"600°C",10
169,"75-100 µm",10
170,"800°C",10
171,"825°C",10
172,"900°C",10
173,"910°C",10
174,"915°C",10
175,"925°C",10
176,"950°C",10
177,"anther",10
178,"hyphae",10
179,"Jorgensen method",10
180,"kernel",10
181,"leaf hair",10
182,"bill",10
183,"quantity added",10
184,"ratio",10
186,"leaf spine",10
187,"bone/bill",10
188,"scute",10
189,"bone/plastron",10
190,"bone/shell",10
191,"suberized basal cells",10
192,"seed",10
194,"bone/tooth/scale",10
195,"bone/tooth/shell",10
196,"Lycopodium method",10
197,"macrobotanical",10
198,"carbonates",10
199,"massula",10
205,"cob",10
206,"concentration",10
207,"counted",10
209,"cyst",10
210,"dentary",10
211,"dry mass",10
212,"dry mass examined",10
213,"dry mass prepared",10
215,"egg shell",10
216,"Eucalyptus method",10
218,"megaspore",10
221,"glochidia",10
222,"glume",10
224,"spermatophore",10
225,"microsphere method",10
226,"organic matter",10
227,"spicule",10
228,"stalk fiber",10
229,"stomate",10
230,"test",10
231,"trichome",10
232,"plastron",10
233,"twig",10
234,"umbone",10
235,"volume",10
236,"volume examined",10
237,"xiphiplastron",10
238,"zygospore",10
239,"elytron",10
240,"head",10
241,"puparium",10
242,"thorax",10
243,"wing",10
244,"spine",10
245,"megastrobilus",10
246,"needle",10
247,"acorn cup",10
248,"ament bract",10
249,"coenobium",10
250,"colony",10
251,"achene",10
252,"acorn",10
253,"bark",10
254,"bulbil",10
255,"stem",10
256,"bud scale",10
258,"coracoid",10
259,"tooth, caniform",10
261,"tooth, second molariform",10
262,"tooth, fifth molariform",10
263,"tooth, fourth molariform",10
264,"tooth, third molariform",10
265,"metacarpal, third",10
266,"metacarpal, second",10
267,"metacarpal, first",10
268,"cranium",10
269,"navicular-cuboid, cuneiform",10
271,"navicular-cuboid",10
272,"patella",10
273,"metacarpal, fifth",10
274,"metacarpal, fourth",10
275,"metatarsal, fifth",10
276,"metatarsal, fourth",10
277,"metatarsal, second",10
278,"metatarsal, third",10
279,"sacrum",10
280,"stump",10
281,"frustule",10
282,"wood",10
283,"pedal ungual, pes, digit 2",10
284,"pedal ungual, pes, digit 4",10
285,"rib, posterior",10
286,"vertebra, thoracic 17",10
287,"vertebra, thoracic 18",10
288,"vertebra, lumbar 1",10
289,"vertebra, thoracic 1",10
290,"leaf",10
291,"cyst (reticulate)",10
292,"hystrichosphere cyst",10
293,"aedeagus",10
294,"pronotum",10
295,"hemelytra",10
296,"sternite",10
297,"seed wing",10
298,"stylohyoid",10
299,"thyrohyoid",10
300,"microstrobilus",10
301,"megastrobilus bract",10
302,"megastrobilus scale",10
303,"bud",10
304,"samara",10
305,"fruit",10
306,"bract",10
307,"microsporangium",10
308,"shoot, no needles",10
309,"shoot, with needles",10
310,"bract/fruit",10
311,"needle/seed",10
312,"bud scale/microstrobilus",10
313,"bud scale/needle",10
314,"microstrobilus/needle/twig",10
315,"oospore",10
316,"silique",10
317,"<50 µm",10
318,"ephippium",10
319,"unknown",10
320,"unspecified",10
321,"entocuneiform",10
322,"ectomesocuneiform",10
323,"tooth, deciduous molar",10
324,"phalanx",10
325,"sternebra",10
326,"petrosal",10
327,"cubonavicular",10
328,"endocarp/bark",10
329,"floret",10
330,"hook",10
331,"leaf/fruit",10
332,"leaf/hooks",10
333,"leaf/phyllaries",10
334,"leaf/pod",10
335,"nutlet",10
336,"nutshell",10
337,"seed/twig",10
339,"carpel",10
340,"leaf/leaf margin",10
341,"clypeus",10
342,"frontoclypeal apotome",10
343,"tergite",10
344,"endocarp",10
345,"flower",10
346,"exospore",10
347,"fragment",10
348,"area",10
349,"seed/nutshell",10
350,">10 µm",10
351,"scale",10
352,"sphenotic",10
353,"sternum",10
354,"125-250 µm",10
355,">250 µm",10
356,"frontoclypeus",10
357,"needle, semicircular",10
358,"puparia",10
359,"seed, trigonous",10
360,"seed coat",10
361,">8 µm",10
362,"head capsule",10
363,"abdominal segment",10
364,"exoskeleton",10
365,"larval head capsule",10
366,"puparium fragment",10
367,"scutellum",10
368,"sternites",10
369,"pod",10
370,"capule",10
371,"capsule",10
372,"oogonia",10
