"VARELEMTID","VARELEMENT","ELEMTYPEID","SYMMETRYID","PORTIONID","MATURITYID"
1,">100 µm",146,NA,NA,NA
2,">125 µm",147,NA,NA,NA
3,">24 µm",148,NA,NA,NA
4,">30 µm",149,NA,NA,NA
5,">5 µm",150,NA,NA,NA
6,">50 µm",151,NA,NA,NA
7,">50 µm^2",152,NA,NA,NA
8,"0-25 µm",153,NA,NA,NA
9,"1000°C",154,NA,NA,NA
10,"100-125 µm",155,NA,NA,NA
11,"100-150 µm",156,NA,NA,NA
12,"12-20 µm",157,NA,NA,NA
13,"14-24 µm",158,NA,NA,NA
14,"25-50 µm",159,NA,NA,NA
15,"450°C",160,NA,NA,NA
16,"500°C",161,NA,NA,NA
17,"50-100 µm",162,NA,NA,NA
18,"50-75 µm",163,NA,NA,NA
19,"5-150 µm",164,NA,NA,NA
20,"525°C",165,NA,NA,NA
21,"5-50 µm",166,NA,NA,NA
22,"550°C",167,NA,NA,NA
23,"600°C",168,NA,NA,NA
24,"75-100 µm",169,NA,NA,NA
25,"800°C",170,NA,NA,NA
26,"825°C",171,NA,NA,NA
27,"900°C",172,NA,NA,NA
28,"910°C",173,NA,NA,NA
29,"915°C",174,NA,NA,NA
30,"925°C",175,NA,NA,NA
31,"950°C",176,NA,NA,NA
32,"anther",177,NA,NA,NA
33,"antler",6,NA,NA,NA
34,"astragalus; left",7,1,NA,NA
35,"astragalus; right",7,2,NA,NA
36,"vertebra, atlas",128,NA,NA,NA
37,"baculum",9,NA,NA,NA
38,"bill",182,NA,NA,NA
39,"bone",13,NA,NA,NA
40,"bone/bill",187,NA,NA,NA
41,"bone/plastron",189,NA,NA,NA
42,"bone/shell",190,NA,NA,NA
43,"bone/tooth",14,NA,NA,NA
44,"bone/tooth/scale",194,NA,NA,NA
45,"bone/tooth/shell",195,NA,NA,NA
46,"calcaneum; right",15,2,NA,NA
47,"tooth, canine",92,NA,NA,NA
48,"carbonate",198,NA,NA,NA
49,"carpal",16,NA,NA,NA
50,"claw",19,NA,NA,NA
55,"cob",205,NA,NA,NA
56,"concentration",206,NA,NA,NA
57,"counted",207,NA,NA,NA
58,"cuboid; right",20,2,NA,NA
59,"cyst",209,NA,NA,NA
60,"dentary",210,NA,NA,NA
62,"dry mass",211,NA,NA,NA
63,"dry mass examined",212,NA,NA,NA
64,"dry mass prepared",213,NA,NA,NA
65,"dung",22,NA,NA,NA
66,"egg shell",215,NA,NA,NA
67,"Eucalyptus method",216,NA,NA,NA
68,"fecal pellet",25,NA,NA,NA
69,"femur",26,NA,NA,NA
70,"femur; left; distal; juvenile",26,1,4,4
71,"femur; proximal",26,NA,14,NA
72,"femur; left; proximal; juvenile",26,1,14,4
73,"femur; right; proximal",26,2,14,NA
74,"femur; right; proximal; juvenile",26,2,14,4
77,"glochidia",221,NA,NA,NA
78,"glume",222,NA,NA,NA
80,"hair",32,NA,NA,NA
81,"horn",33,NA,NA,NA
82,"humerus",35,NA,NA,NA
83,"humerus; left; distal",35,1,4,NA
84,"humerus; right; distal",35,2,4,NA
85,"humerus; proximal",35,NA,14,NA
86,"humerus; right; proximal",35,2,14,NA
87,"humerus; right; proximal; juvenile",35,2,14,4
88,"hyoid",36,NA,NA,NA
89,"hyphae",178,NA,NA,NA
90,"tooth, incisor",108,NA,NA,NA
91,"tooth, incisor; lower",108,3,NA,NA
