"VARELEMTID","VARELEMENT","ELEMTYPEID","SYMMETRYID","PORTIONID","MATURITYID"
1,">100 µm",146,NA,NA,NA
2,">125 µm",147,NA,NA,NA
3,">24 µm",148,NA,NA,NA
4,">30 µm",149,NA,NA,NA
5,">5 µm",150,NA,NA,NA
6,">50 µm",151,NA,NA,NA
7,">50 µm^2",152,NA,NA,NA
8,"0-25 µm",153,NA,NA,NA
9,"1000°C",154,NA,NA,NA
10,"100-125 µm",155,NA,NA,NA
11,"100-150 µm",156,NA,NA,NA
12,"12-20 µm",157,NA,NA,NA
13,"14-24 µm",158,NA,NA,NA
14,"25-50 µm",159,NA,NA,NA
15,"450°C",160,NA,NA,NA
16,"500°C",161,NA,NA,NA
17,"50-100 µm",162,NA,NA,NA
18,"50-75 µm",163,NA,NA,NA
19,"5-150 µm",164,NA,NA,NA
20,"525°C",165,NA,NA,NA
21,"5-50 µm",166,NA,NA,NA
22,"550°C",167,NA,NA,NA
23,"600°C",168,NA,NA,NA
24,"75-100 µm",169,NA,NA,NA
25,"800°C",170,NA,NA,NA
26,"825°C",171,NA,NA,NA
27,"900°C",172,NA,NA,NA
28,"910°C",173,NA,NA,NA
29,"915°C",174,NA,NA,NA
30,"925°C",175,NA,NA,NA
31,"950°C",176,NA,NA,NA
32,"anther",177,NA,NA,NA
33,"antler",6,NA,NA,NA
34,"astragalus; left",7,1,NA,NA
35,"astragalus; right",7,2,NA,NA
...,...,...,...,...,...
1012,"250 µm",NA,NA,NA,NA
