OCTOPUS v.1 collection,n samples,DOI,
*Core collections*,,,
The CRN Denudation Australian collection,,`10.25900/mpr9-yn15 <http://dx.doi.org/10.25900/mpr9-yn15>`_,
The CRN Denudation Global collection,,`10.25900/g76f-0h45 <http://dx.doi.org/10.25900/g76f-0h45>`_,
The SahulArch OSL collection,,`10.25900/ypr0-j711 <http://dx.doi.org/10.25900/ypr0-j711>`_,
The SahulArch Radiocarbon collection,,`10.25900/2mb4-rr36 <http://dx.doi.org/10.25900/2mb4-rr36>`_,
The SahulArch TL collection,,`10.25900/xq40-t003 <http://dx.doi.org/10.25900/xq40-t003>`_,
The SahulSed Aeolian OSL collection,,`10.25900/5jcw-tn50 <http://dx.doi.org/https://doi.org/10.25900/5jcw-tn50>`_,
The SahulSed Aeolian TL collection,,`10.25900/a2k9-kj43 <http://dx.doi.org/https://doi.org/10.25900/a2k9-kj43>`_,
The SahulSed Fluvial OSL collection,,`10.25900/p5ye-rn35 <http://dx.doi.org/10.25900/p5ye-rn35>`_,
The SahulSed Fluvial TL collection,,`10.25900/2a76-vw55 <http://dx.doi.org/10.25900/2a76-vw55>`_,
The SahulSed Lacustrine OSL collection,,`10.25900/6hmv-zz61 <http://dx.doi.org/https://doi.org/10.25900/6hmv-zz61>`_,
The SahulSed Lacustrine TL collection,,`10.25900/32de-mj32 <http://dx.doi.org/10.25900/32de-mj32>`_,
*Partner collections*,,,
FosSahul collection,,`10.1038/s41597-019-0267-3 <http://doi.org/10.1038/s41597-019-0267-3>`_,
ExpAge collection,,https://expage.github.io,
