LAKETYPEID,LAKETYPE,CREATED_AT,UPDATED_AT,PARENTID
-9999,ND,2021-11-19 12:11:05.011 +0100,2023-03-29 14:15:15.846 +0200,-9999
1,Tectonic lake,2021-11-19 12:11:05.011 +0100,2023-03-29 10:41:14.406 +0200,11
2,Landslide lake,2021-11-19 12:11:05.011 +0100,2023-03-29 10:41:14.841 +0200,11
3,Crater lake (volcanic),2021-11-19 12:11:05.011 +0100,2023-03-29 10:41:15.160 +0200,15
4,Oxbow lake,2021-11-19 12:11:05.011 +0100,2023-03-29 10:41:15.463 +0200,31
5,Playa lake,2021-11-19 12:11:05.011 +0100,2023-03-29 10:41:15.765 +0200,11
6,Fen,2021-11-19 12:11:05.011 +0100,2023-03-29 10:41:16.068 +0200,50
7,Swamp,2021-11-19 12:11:05.011 +0100,2023-03-29 10:41:16.370 +0200,50
8,Lagoon,2021-11-19 12:11:05.011 +0100,2023-03-29 10:41:16.673 +0200,11
9,Lake (unknown origin),2023-03-29 10:38:29.145 +0200,,10
10,Lake (non-specific),2023-03-29 10:38:29.145 +0200,,10
11,Natural lake,2023-03-29 10:38:29.145 +0200,,10
12,Natural lake (unknown origin),2023-03-29 10:38:29.145 +0200,,11
13,Artificial lake,2023-03-29 10:38:29.145 +0200,,10
14,Artificial lake (unknown origin),2023-03-29 10:38:29.145 +0200,,13
15,Volcanic lake,2023-03-29 10:38:29.145 +0200,,11
16,Caldera lake,2023-03-29 10:38:29.145 +0200,2023-03-29 10:42:07.960 +0200,15
17,Lava flow dammed lake,2023-03-29 10:38:29.145 +0200,,15
18,Glacial lake,2023-03-29 10:38:29.145 +0200,,11
19,Glacial meltwater channel lake,2023-03-29 10:38:29.145 +0200,,18
20,Glacial scour lake,2023-03-29 10:38:29.145 +0200,,18
21,Kettle lake,2023-03-29 10:38:29.145 +0200,,18
22,Cirque lake,2023-03-29 10:38:29.145 +0200,,18
23,Proglacial lake,2023-03-29 10:38:29.145 +0200,,18
24,Subglacial lake,2023-03-29 10:38:29.145 +0200,,18
25,Finger lake,2023-03-29 10:38:29.145 +0200,,18
26,Valley glacier lake,2023-03-29 10:38:29.145 +0200,,18
27,Glacial outburst flood lake,2023-03-29 10:38:29.145 +0200,,18
28,Ice thrust lake,2023-03-29 10:38:29.145 +0200,,18
29,Moraine dammed lake,2023-03-29 10:38:29.145 +0200,,18
30,Drift filled valley lake,2023-03-29 10:38:29.145 +0200,2023-03-29 10:42:33.776 +0200,18
31,Fluvial lake,2023-03-29 10:38:29.145 +0200,,11
32,Meander lake,2023-03-29 10:38:29.145 +0200,,31
33,Fluviatile dam lake,2023-03-29 10:38:29.145 +0200,,31
34,Lateral lake,2023-03-29 10:38:29.145 +0200,,31
35,Floodplain lake,2023-03-29 10:38:29.145 +0200,,31
36,Plunge pool lake,2023-03-29 10:38:29.145 +0200,,31
37,Alluvial fan dammed lake,2023-03-29 10:38:29.145 +0200,,31
38,Flood scour lake,2023-03-29 10:38:29.145 +0200,,31
39,Fluvial terrace lake,2023-03-29 10:38:29.145 +0200,,31
40,Drained lake,2023-03-29 10:38:29.145 +0200,2023-03-29 10:42:44.775 +0200,11
41,Backwater lake,2023-03-29 10:38:29.145 +0200,2023-03-29 10:42:50.244 +0200,31
42,Solution lake,2023-03-29 10:38:29.145 +0200,,11
43,Karst pond,2023-03-29 10:38:29.145 +0200,,42
44,Underground lake,2023-03-29 10:38:29.145 +0200,,42
45,Aeolian lake,2023-03-29 10:38:29.145 +0200,,11
46,Deflation basin lake,2023-03-29 10:38:29.145 +0200,,45
47,Dune dammed lake,2023-03-29 10:38:29.145 +0200,,45
48,Interdunal lake,2023-03-29 10:38:29.145 +0200,,45
49,Shoreline lake,2023-03-29 10:38:29.145 +0200,,11
50,Organic lake,2023-03-29 10:38:29.145 +0200,,11
51,Lake marginal fen,2023-03-29 10:38:29.145 +0200,,50
52,Anthropogenic lake,2023-03-29 10:38:29.145 +0200,,13
53,Reservoir,2023-03-29 10:38:29.145 +0200,,13
54,Meteorite impact lake,2023-03-29 10:38:29.145 +0200,,11
55,Peat lake,2023-03-29 10:38:29.145 +0200,,50
56,Periglacial lake,2023-03-29 10:38:29.145 +0200,,11
57,Thermokarst lake,2023-03-29 10:38:29.145 +0200,,56
