Field Name,Unit,Example,Origin (Alias)
OBSID1,,*SED_FLV_OSL0001*,:ref:`sed-osl_DataCore` (sodc)
OBSID2,,*EF-03*,:ref:`sed-osl_DataCore` (sodc)
LABID,,*ND*,:ref:`sed-osl_DataCore` (sodc)
LAB_FACLTY,,*ND*,:ref:`cabah_LabCodes` (clc)
IGSNID,,*NA*,:ref:`sed-osl_DataCore` (sodc)
DBDOI,,*10.25900/p5ye-rn35*,:ref:`global_dbDOI` (gdd)
DBVERNO,,*2.2(1)*,:ref:`global_dbDOI` (gdd)
SMPID,,*SEDSM00605*,:ref:`sed_Sample` (ss)
SITEID,,*SEDST0319o.a*,:ref:`global_SiteMaster` (gsm)
METASITEID,,*NA*,:ref:`global_MetaSite` (gms)
METANAME,,*NA*,:ref:`global_MetaSite` (gms)
METHODABBR,,*OSL*,:ref:`c_mtdID` (cmi)
CNTRY,,*AUS*,:ref:`global_SiteMaster` (gsm)
REGION_INT,,*ND*,:ref:`global_SiteMaster` (gsm)
REGION_REG,,*AUS*,:ref:`global_SiteMaster` (gsm)
DIV_ADMIN,,*AU-TAS*,:ref:`global_SiteMaster` (gsm)
DIV_OTHER,,*NA*,:ref:`global_SiteMaster` (gsm)
ISL_NAME,,*NA*,:ref:`global_SiteMaster` (gsm)
LAKE,,*NA*,:ref:`global_SiteMaster` (gsm)
BASIN,,*Huon River*,:ref:`global_SiteMaster` (gsm)
AHGFL1,,*TAS*,:ref:`global_rivID` (grid)
AHGFL2,,*TAS_06*,:ref:`global_rivID` (grid)
RIVNAME,,*Huon River*,:ref:`global_rivID` (grid)
RIVDIV,,*Tasmania*,:ref:`global_rivID` (grid)
IBRACODE,,*TWE*,:ref:`global_ibraID` (giid)
IBRAREGION,,*Tasmanian West*,:ref:`global_ibraID` (giid)
X_WGS84,decimal deg,*146.35*,:ref:`global_SiteMaster` (gsm)
Y_WGS84,decimal deg,*-43.04*,:ref:`global_SiteMaster` (gsm)
CORDS_ELEV,,*ORIG_INTP*,:ref:`global_SiteMaster` (gsm)
ELEVATION,m,*309*,:ref:`global_SiteMaster` (gsm)
SITENAME,,*Lake Edgar*,:ref:`global_SiteMaster` (gsm)
SITE_SPEC,,*NA*,:ref:`global_SiteMaster` (gsm)
ALTNAME1,,*Terrace 1*,:ref:`global_SiteMaster` (gsm)
ALTNAME2,,*Footwall Block*,:ref:`global_SiteMaster` (gsm)
ALTNAME3,,*NA*,:ref:`global_SiteMaster` (gsm)
SITE_COMMT,,*NA*,:ref:`global_SiteMaster` (gsm)
REFDBID1,,*Clark:2011edgar*,:ref:`sed-osl_DataCore` (sodc)
OAID1,,*OAID-000950*,:ref:`global_RefCore` (grc1)
AUTHOR1,,*Clark*,:ref:`global_Author` (ga1)
PUBYEAR1,,*2011*,:ref:`global_RefCore` (grc1)
REFID1,,*Geol_Soc_Am_S_479*,:ref:`global_RefCore` (grc1)
REFDOI1,,*10.1130/2011.2479(05)*,:ref:`global_RefCore` (grc1)
