Field Name,Unit,Example,Origin (Alias)
OBSID1,,*SED_FLV_TL0001*,:ref:`sed-tl_DataCore` (stdc)
OBSID2,,*W2409*,:ref:`sed-tl_DataCore` (stdc)
LABID,,*W2409*,:ref:`sed-tl_DataCore` (stdc)
LAB_FACLTY,,"*UOW TL Dating Lab. Wollongong*",:ref:`cabah_LabCodes` (clc)
IGSNID,,*NA*,:ref:`sed-tl_DataCore` (stdc)
DBDOI,,*10.25900/2a76-vw55*,:ref:`global_dbDOI` (gdd)
DBVERNO,,*v2.2(1)*,:ref:`global_dbDOI` (gdd)
SMPID,,*SEDSM02174*,:ref:`sed_Sample` (ss)
SITEID,,*SEDST0464t.a*,:ref:`global_SiteMaster` (gsm)
METASITEID,,*NA*,:ref:`global_MetaSite` (gms)
METANAME,,*NA*,:ref:`global_MetaSite` (gms)
METHODABBR,,*TL*,:ref:`c_mtdID` (cmi)
CNTRY,,*AUS*,:ref:`global_SiteMaster` (gsm)
REGION_INT,,*ND*,:ref:`global_SiteMaster` (gsm)
REGION_REG,,*AUS*,:ref:`global_SiteMaster` (gsm)
DIV_ADMIN,,*AU-QLD*,:ref:`global_SiteMaster` (gsm)
DIV_OTHER,,*NA*,:ref:`global_SiteMaster` (gsm)
ISL_NAME,,*NA*,:ref:`global_SiteMaster` (gsm)
LAKE,,*NA*,:ref:`global_SiteMaster` (gsm)
BASIN,,*Mulgrave-Russell Rivers*,:ref:`global_SiteMaster` (gsm)
AHGFL1,,*NEC*,:ref:`global_rivID` (grid)
AHGFL2,,*NEC_11*,:ref:`global_rivID` (grid)
RIVNAME,,*Mulgrave-Russell Rivers*,:ref:`global_rivID` (grid)
RIVDIV,,*North East Coast*,:ref:`global_rivID` (grid)
IBRACODE,,*WET*,:ref:`global_ibraID` (giid)
IBRAREGION,,*Wet Tropics*,:ref:`global_ibraID` (giid)
X_WGS84,decimal deg,*145.8*,:ref:`global_SiteMaster` (gsm)
Y_WGS84,decimal deg,*-17.1*,:ref:`global_SiteMaster` (gsm)
CORDS_ELEV,,*INTP_INTP*,:ref:`global_SiteMaster` (gsm)
ELEVATION,m,*14*,:ref:`global_SiteMaster` (gsm)
SITENAME,,*Mulgrave River*,:ref:`global_SiteMaster` (gsm)
SITE_SPEC,,*NA*,:ref:`global_SiteMaster` (gsm)
ALTNAME1,,*Gordonvale*,:ref:`global_SiteMaster` (gsm)
ALTNAME2,,*Mulgrave Terrace*,:ref:`global_SiteMaster` (gsm)
ALTNAME3,,*NA*,:ref:`global_SiteMaster` (gsm)
SITE_COMMT,,*NA*,:ref:`global_SiteMaster` (gsm)
REFDBID1,,*Nott:2001wet*,:ref:`sed-tl_DataCore` (stdc)
OAID1,,*OAID-000347*,:ref:`global_RefCore` (grc1)
AUTHOR1,,*Nott*,:ref:`global_Author` (ga1)
PUBYEAR1,,*2001*,:ref:`global_RefCore` (grc1)
REFID1,,*Aust_J_Earth_Sci_48*,:ref:`global_RefCore` (grc1)
REFDOI1,,*10.1046/j.1440-0952.2001.00906.x*,:ref:`global_RefCore` (grc1)
REFDBID2,,,:ref:`sed-osl_DataCore` (sodc)
...,...,...,...
REFDOI4,,,:ref:`global_RefCore` (grc1)
SEDTYPE,,*FLV*,:ref:`sed_Sample` (ss)
GEOTYPE,,*Terrace*,:ref:`sed_geotypeID` (sg)
DEPCON,,,:ref:`sed_depconID` (sdi)
DUNEFIELD,,,:ref:`sed_Sample` (ss)
GEOMMOD,,,:ref:`sed_geommodID` (sgi)
MORPH,,,:ref:`sed_morphID` (smi)
DUNTRND,° (deg),,:ref:`sed_Sample` (ss)
SITETYPE,,*Outcrop*,:ref:`sed_sitetypeID` (ssi)
DEPTHICK,m,*11.3*,:ref:`sed_Sample` (ss)
SMPDEPTH,m,*2*,:ref:`sed_Sample` (ss)
SED_MAT,,*Sa*,:ref:`global_GrainSize` (gss)
FACIES,,*Overbank*,:ref:`sed_faciesID` (sfi)
LAKETYPE,,,:ref:`sed_laketypeID` (sli)
BEACHEI,m,,:ref:`sed_Sample` (ss)
BEACHAHD,m,,:ref:`sed_Sample` (ss)
SMP_COMMT,,*ND*,:ref:`sed_Sample` (ss)
COL_MTD,,*ND*,:ref:`cabah_col_mtdID` (ccmi)
LUM_MAT,,*Sediment*,:ref:`osl-tl_lum_matID` (otlmi)
MINERAL,,*Quartz*,:ref:`osl-tl_mineralID` (otmi)
SIZE_MIN,µm,*90*,:ref:`sed-tl_DataCore` (stdc)
SIZE_MAX,µm,*125*,:ref:`sed-tl_DataCore` (stdc)
H2O_MEAS,%,*0.6*,:ref:`sed-tl_DataCore` (stdc)
H2O_USED,%,*0.6*,:ref:`sed-tl_DataCore` (stdc)
H2O_ERR,%,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
ALIQ_SIZE,mm,*-9999*,:ref:`sed-tl_DataCore` (stdc)
ED_PROCABR,,*MAR*,:ref:`osl-tl_ed_procID` (otepi)
RESCOR,,*ND*,:ref:`sed-tl_DataCore` (stdc)
AGEMODELAB,,*AVG*,:ref:`osl-tl_agemodelID` (otai)
PLAT_REG,°C,*300-500*,:ref:`sed-tl_DataCore` (stdc)
AN_TEMP,°C,*375*,:ref:`sed-tl_DataCore` (stdc)
NUM_MEAS,,*-9999*,:ref:`sed-tl_DataCore` (stdc)
EQUIVDOSE,Gy,*54*,:ref:`sed-tl_DataCore` (stdc)
ED_ERR,Gy,*4.5*,:ref:`sed-tl_DataCore` (stdc)
ED_SAT,Gy,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
ED_SATERR,Gy,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
U,ppm / μg/g ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
U_ERR,ppm / μg/g ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
U_MTDAB,,*ND*,:ref:`osl-tl_mineralID` (otmi2)
TH,ppm / μg/g ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
TH_ERR,ppm / μg/g ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
TH_MTDAB,,*ND*,:ref:`osl-tl_mineralID` (otmi3)
U_TH,Bq/kg ,*71.5*,:ref:`sed-tl_DataCore` (stdc)
U_TH_ERR,Bq/kg ,*-9999.99*,:ref:`sed-tl_DataCore` (stdc)
U_TH_MTDAB,,*ND*,:ref:`osl-tl_mineralID` (otmi8)
