CALCURVEID,CALCURVE,CALCURVREF,CALCRVNOTE,CREATED_AT,UPDATED_AT
-9999,no data,,,2023-06-17 07:41:43.925 +0200,2023-06-17 07:41:43.925 +0200
1,ATM10.14C,Stuiver:1986program,10 yr atmospheric record to 2490 cal BC (circa 4200 14-C BP); younger terrestrial samples,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
2,ATM20.14C,Stuiver:1986program,20 yr atmospheric record to 7210 cal BC (circa 8200 14-C BP); terrestrial samples,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
3,MARINE.14C,Stuiver:1986program,20 yr marine model record to 7190 cal BC (circa 8585 14-C BP); marine samples,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
4,IntCal93,Stuiver:1993intcal,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
5,IntCal98,Stuiver:1998intcal,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
6,IntCal04,Reimer:2004intcal,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
7,SHCal04,McCormac:2004shcal,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
8,Hughen et al. 2004,Hughen:2004changes,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
9,Fairbanks0107,Fairbanks:2005calibration,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
10,CalPal2007_HULU,Weninger:2007calpal,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
11,IntCal09,Reimer:2009intcal,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
12,Marine09,Reimer:2009intcal,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
13,IntCal13,Reimer:2013intcal,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
14,Marine13,Reimer:2013intcal,Part of IntCal13,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
15,SHCal13,Hogg:2013shcal,Part of IntCal13,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
16,IntCal20,Reimer:2020intcal,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
17,Marine20,Heaton:2020marine,Part of IntCal20,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
18,SHCal20,Hogg:2020shcal,Part of IntCal20,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
19,Other,,,2023-06-17 07:40:28.934 +0200,2023-06-17 07:40:28.934 +0200
