CALPROGID,CALPROGRAM,CALPROGVER,CALPROGREF,PARENTID,CALPRODATE,CALPRONOTE,CREATED_AT,UPDATED_AT
-9999,no data,,,-9999,,,2023-06-16 09:58:36.508 +0200,2023-06-16 09:58:36.508 +0200
1,Radiocarbon calibration (non-specific),,,1,,,2023-06-16 09:56:22.112 +0200,
2,Radiocarbon calibration (Bayesian),,,1,,,2023-06-16 09:56:22.112 +0200,
3,Radiocarbon calibration (classic),,,1,,,2023-06-16 09:56:22.112 +0200,
4,post-bomb correction,,,1,,,2023-06-16 09:56:22.112 +0200,
5,Age-Depth modelling (non-specific),,,5,,,2023-06-16 09:56:22.112 +0200,
6,Age-Depth modelling (Bayesian),,,5,,,2023-06-16 09:56:22.112 +0200,
7,Age-Depth modelling (classic),,,5,,,2023-06-16 09:56:22.112 +0200,
8,BCal,,Buck:1999bcal,2,,,2023-06-16 09:56:22.112 +0200,
9,CAL a.k.a. The Groningen Program (non-specific),,vanderPlicht:1987illustrative,3,,,2023-06-16 09:56:22.112 +0200,
10,CAL a.k.a. The Groningen Program (non-specific),CAL4,vanderPlicht:1989computer,9,,,2023-06-16 09:56:22.112 +0200,
11,CAL a.k.a. The Groningen Program (non-specific),CAL10,,9,,,2023-06-16 09:56:22.112 +0200,
12,CAL a.k.a. The Groningen Program (non-specific),CAL15,vanderPlicht:1993groningen,9,,,2023-06-16 09:56:22.112 +0200,
13,CALIB (non-specific),,Stuiver:1993intcal,3,,,2023-06-16 09:56:22.112 +0200,
14,CALIB,2.0,,13,1987,CALIB rev. 2 (Execute Version 2.0); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,2023-06-16 10:07:41.585 +0200
15,CALIB,2.1,,13,1987,CALIB rev. 2 (Execute Version 2.1); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,2023-06-16 10:07:42.035 +0200
16,CALIB,3.0,,13,1993,CALIB rev. 3 (Execute Version 3.0); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,2023-06-16 10:07:42.348 +0200
17,CALIB,4.0,,13,,CALIB rev. 4 (Execute Version 4.0); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
18,CALIB,4.1,,13,,CALIB rev. 4 (Execute Version 4.1); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
19,CALIB,4.2,,13,,CALIB rev. 4 (Execute Version 4.2; Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
20,CALIB,4.3,,13,,CALIB rev. 4 (Execute Version 4.3); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
21,CALIB,4.4,,13,,CALIB rev. 4 (Execute Version 4.4); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
22,CALIB,4.4.1,,13,,CALIB rev. 4 (Execute Version 4.4.1); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
23,CALIB,4.4.2,,13,,CALIB rev. 4 (Execute Version 4.4.2); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
24,CALIB,5,,13,,CALIB rev. 5 (Execute Version 5); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
25,CALIB,5.0.1,,13,,CALIB rev. 5 (Execute Version 5.0.1); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
26,CALIB,5.0.2,,13,,CALIB rev. 5 (Execute Version 5.0.2); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
27,CALIB,5.1,,13,,CALIB rev. 5 (Execute Version 5.1); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
28,CALIB,6.0,,13,,CALIB rev. 6 (Execute Version 6.0); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
29,CALIB,6.0.1,,13,,CALIB rev. 6 (Execute Version 6.0.1); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
30,CALIB,6.0.2,,13,,CALIB rev. 6 (Execute Version 6.0.2); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
31,CALIB,6.1.0,,13,,CALIB rev. 6 (Execute Version 6.1.0); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
32,CALIB,6.1.1,,13,,CALIB rev. 6 (Execute Version 6.1.1); Stuiver:1993intcal,2023-06-16 09:56:22.112 +0200,
