HUM_MODID,HUM_MOD,CREATED_AT,UPDATED_AT
-9999,ND,2021-11-19 12:11:05.011 +0100,
1,Yes,2021-11-19 12:11:05.011 +0100,
2,No,2021-11-19 12:11:05.011 +0100,
10,Artefact,2021-11-19 12:11:05.011 +0100,
11,Cut marked,2021-11-19 12:11:05.011 +0100,
19,Other,2021-11-19 12:11:05.011 +0100,
100,Bead,2021-11-19 12:11:05.011 +0100,
101,String,2021-11-19 12:11:05.011 +0100,
102,Boomerang,2021-11-19 12:11:05.011 +0100,
103,Point,2021-11-19 12:11:05.011 +0100,
104,Hook,2021-11-19 12:11:05.011 +0100,
109,Other artefact,2021-11-19 12:11:05.011 +0100,
