MATERIA1ID,MATERIAL1,MATERIA1AB,CREATED_AT,UPDATED_AT
-9999,no data,ND,2021-11-19 12:11:05.011 +0100,
1,Biogenic Carbonate,CarbBio,2021-11-19 12:11:05.011 +0100,
2,Inorganic Carbonate,CarbInorg,2021-11-19 12:11:05.011 +0100,
3,Charred Plant,Charred,2021-11-19 12:11:05.011 +0100,
4,Faunal,Faunal,2021-11-19 12:11:05.011 +0100,
5,Oxalate,Oxalate,2021-11-19 12:11:05.011 +0100,
6,Paint,Paint,2021-11-19 12:11:05.011 +0100,
7,Plant,Plant,2021-11-19 12:11:05.011 +0100,
8,Sediment,Sediment,2021-11-19 12:11:05.011 +0100,
9,Other,Other,2021-11-19 12:11:05.011 +0100,
10,Mix of materials,Bulk,2022-09-13 00:02:01.373 +0200,2022-09-13 00:02:01.373 +0200
