MATERIA2ID,MATERIAL2,CREATED_AT,UPDATED_AT,PARENTID,MAT2_DESCR
-9999,ND,2021-11-19 12:11:05.011 +0100,2023-05-03 07:55:17.580 +0200,-9999,
1,Bark,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:49.450 +0200,39,
2,Beeswax,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:49.884 +0200,40,
3,Binder,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:50.194 +0200,3,
4,Bone,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:50.497 +0200,40,
5,Calcined bone,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:50.798 +0200,40,
6,Calcium soil carbonate,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:51.098 +0200,45,
7,Celtis seed,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:51.399 +0200,39,
8,Coral,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:51.699 +0200,40,
9,Dentine,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:52.001 +0200,40,
10,Egg shell,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:52.302 +0200,40,
11,Enamel,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:52.604 +0200,40,
12,Foraminifera,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:52.911 +0200,12,
13,Freshwater shell,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:53.214 +0200,44,
14,Hair,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:53.516 +0200,40,
15,Marine shell,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:53.816 +0200,44,
16,Nut,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:54.117 +0200,39,
17,Otolith,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:54.417 +0200,40,
18,Peat,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:54.718 +0200,39,
19,Pigment,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:55.019 +0200,19,
20,Pollen,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:55.319 +0200,39,
21,Resin,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:55.621 +0200,39,
22,Seed,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:55.924 +0200,39,
23,Speleothem,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:56.290 +0200,45,
24,Terrestrial snail,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:56.595 +0200,40,
25,Tooth dentine,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:56.896 +0200,40,
26,Tooth enamel,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:57.196 +0200,40,
27,Tufa,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:57.498 +0200,45,
28,Wood,2021-11-19 12:11:05.011 +0100,2023-05-03 07:59:57.798 +0200,39,
29,Bulk,2022-09-13 00:03:09.790 +0200,2023-05-03 07:59:58.097 +0200,29,
30,Bulk sediment,2023-05-03 07:52:15.548 +0200,,29,
31,"Bulk sediment, lake deposits",2023-05-03 07:52:15.548 +0200,,30,
32,"Bulk sediment, calcareous lake deposits",2023-05-03 07:52:15.548 +0200,,31,
33,"Bulk sediment, organic lake deposits",2023-05-03 07:52:15.548 +0200,,31,
34,"Bulk sediment, organic lake deposits, diatomaceous",2023-05-03 07:52:15.548 +0200,,33,
35,"Bulk sediment, organic lake deposits, diatomite",2023-05-03 07:52:15.548 +0200,,33,
36,"Bulk sediment, peat",2023-05-03 07:52:15.548 +0200,,29,
37,"Bulk sediment, gyttja",2023-05-03 07:52:15.548 +0200,2023-05-03 08:00:56.817 +0200,36,
38,Soil,2023-05-03 07:52:15.548 +0200,,38,
39,Plant origin,2023-05-03 07:52:15.548 +0200,,39,
40,Animal origin,2023-05-03 07:52:15.548 +0200,,40,
41,Plant macrofossil,2023-05-03 07:52:15.548 +0200,,39,
42,Pollen concentrate,2023-05-03 07:52:15.548 +0200,,20,
43,Pollen suspension,2023-05-03 07:52:15.548 +0200,,20,
44,Shell,2023-05-03 07:52:15.548 +0200,,40,
45,Calcareous precipitate / aggregate,2023-05-03 07:52:15.548 +0200,,45,
46,Dripstone,2023-05-03 07:52:15.548 +0200,,23,
47,Flowstone,2023-05-03 07:52:15.548 +0200,,23,
48,Cave crystal,2023-05-03 07:52:15.548 +0200,,23,
49,Speleogen,2023-05-03 07:52:15.548 +0200,,23,
50,Calcareous crust,2023-05-03 07:52:15.548 +0200,,45,
51,Minerogenic sample (indet.),2023-05-03 07:52:15.548 +0200,,51,
52,Artificial / Processed,2023-05-03 07:52:15.548 +0200,,52,
53,Hydrogen pyrolysis residue,2023-05-03 07:52:15.548 +0200,,52,
54,Dispersed NaOH insoluble fraction (humic materials),2023-05-03 07:52:15.548 +0200,,52,
55,Archaeological artefact (indet.),2023-05-03 07:52:15.548 +0200,,52,
56,Charcoal,2023-05-03 07:52:15.548 +0200,,56,
99,Other,2021-11-19 12:11:05.011 +0100,2023-05-03 07:55:18.029 +0200,99,
