SOLVENT2ID,SOLVENT2,SOLVENT2AB,CREATED_AT,UPDATED_AT
-9999,no data,ND,2021-11-19 12:11:05.011 +0100,
1,Methanol,Met,2021-11-19 12:11:05.011 +0100,
2,Ethanol,Eth,2021-11-19 12:11:05.011 +0100,
3,Chloroform,Chl,2021-11-19 12:11:05.011 +0100,
4,Dichloromethane,Dic,2021-11-19 12:11:05.011 +0100,
5,Toluene,Tol,2021-11-19 12:11:05.011 +0100,
6,Hexane,Hex,2021-11-19 12:11:05.011 +0100,
7,Chloroform: Methanol,Chl:Met,2021-11-19 12:11:05.011 +0100,
8,Dichloromethane: Methanol,Dic:Met,2021-11-19 12:11:05.011 +0100,
9,Other,Other,2021-11-19 12:11:05.011 +0100,
