LAB_ORIGID,LAB_PREFIX,LAB_FACLTY,CNTRY,LAB_ACTIVE,LAB_MTD,LAB_URL,LAB_SOURCE,CREATED_AT,UPDATED_AT
-9999,Lab_indet.,ND,ND,FALSE,NA,,NA,2021-11-19 22:11:05.011 +1100,
1,A,Univ. of Arizona,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
2,AA,NSF-Ariz. AMS Facility,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
3,AAR,Univ. of Aarhus,DNK,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,2022-01-17 20:36:15.769 +1100
4,AC,Ingeis,ARG,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
5,AECV,Alberta Environmental Center of Vegreville,CAN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
6,AERIK,Atomic Energy Res. Inst.,KOR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
7,ALG,Algiers,DZA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
8,ANAS,Applied Nuclear-Atomic Science (ANAS) Lab.,KOR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
9,ANL,Argonne Nat. Lab.,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
10,ANSTO,Australian Nuclear Science & Technology,AUS,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
11,ANTW,Antwerp,BEL,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
12,ANU,"Australian National Univ., 1965--2003, gas proportional counting",AUS,FALSE,C14,,HM: Internet,2021-11-19 22:11:05.011 +1100,2023-11-16 01:31:47.978 +1100
13,ANUA,"ANU Accelerator, 2002-2012, 14 UD Pelletron accelerator",AUS,,C14,,HM: Internet,2021-11-19 22:11:05.011 +1100,2023-11-16 01:31:47.987 +1100
14,AU,Univ. of Alaska,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
15,AURIS,Ahmedabad,IND,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
16,B,Bern,CHE,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
17,Ba,Bratislava,SVK,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
18,BC,Brooklyn College,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
19,BE,Univ. of Bern,CHE,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
20,Beta,Beta Analytic,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
21,BGS,Brock Univ.,CAN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
22,BIOCAMS,Miami,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
23,Birm,Birmingham,GBR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
24,Bln,Berlin,DEU,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
25,BM,British Museum,GBR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
26,BONN,Univ. Bonn,DEU,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
27,BRAMS,Univ. of Bristol,GBR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
28,BS,Birbal Sahni Inst.,IND,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
29,C,Chicago,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
30,CAMS,Center for AMS,USA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
31,CAR,"Univ. College, Cardiff",GBR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
32,CENA,Centro Energia Nuclear na Agricultura,BRA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
33,CG,Inst. of Geology,CHN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
34,CH,Chemistry Lab.,IND,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
35,CN-XX,Chinese Academy of Sciences,CHN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
36,CNA,Centro Nacional de Aceleradores,ESP,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
