CHEMPREPID,CHEMPREP,CHEMPREPAB,CREATED_AT,UPDATED_AT
-9999,no data,ND,2021-11-19 12:11:05.011 +0100,
-9991,not applicable,NA,2021-11-19 12:11:05.011 +0100,
1,Acid-Base-Acid,ABA,2021-11-19 12:11:05.011 +0100,
2,ABA (base soluble),ABA (base soluble),2021-11-19 12:11:05.011 +0100,
3,ABA and bleach,ABA and bleach,2021-11-19 12:11:05.011 +0100,
4,ABA and bleach-Stepped Combustion,ABA and bleach-SC,2021-11-19 12:11:05.011 +0100,
5,Acid-Base-Acid Stepped Combustion,ABA-SC,2021-11-19 12:11:05.011 +0100,
6,Acid-Base Oxidation,ABOx,2021-11-19 12:11:05.011 +0100,
7,Acid-Base Oxidation Stepped Combustion,ABOx-SC,2021-11-19 12:11:05.011 +0100,
8,Acid treatment,Acid,2021-11-19 12:11:05.011 +0100,
9,Acid (to extract apatite),Acid (to extract apatite),2021-11-19 12:11:05.011 +0100,
10,Acid or ABA gelatinisation-ultrafiltration,Acid or ABA gelatin-ultra,2021-11-19 12:11:05.011 +0100,2023-04-23 09:15:39.686 +0200
11,Acid or ABA-gelatinisation,Acid or ABA-gelatin,2021-11-19 12:11:05.011 +0100,2023-04-23 09:15:47.869 +0200
12,Alpha cellulose,Alpha cellulose,2021-11-19 12:11:05.011 +0100,
13,Alpha cellulose-SC,Alpha cellulose-SC,2021-11-19 12:11:05.011 +0100,
14,AOx,AOx,2021-11-19 12:11:05.011 +0100,
15,AOx-SC,AOx-SC,2021-11-19 12:11:05.011 +0100,
16,Carbonate Density Separation,CARDS,2021-11-19 12:11:05.011 +0100,
17,CARDS + acid,CARDS + acid,2021-11-19 12:11:05.011 +0100,
18,Hydroxyproline,Hydroxyproline,2021-11-19 12:11:05.011 +0100,
19,Hydrogen Pyrolysis,HyPy,2021-11-19 12:11:05.011 +0100,
20,Plasma Oxidation,Plasma Oxidation,2021-11-19 12:11:05.011 +0100,
21,Potassium permanganate (to extract oxalate),KMnO4 (to extract oxalate),2021-11-19 12:11:05.011 +0100,2023-04-23 09:15:25.982 +0200
22,Stepped hydrolysis,Stepped hydrolysis,2021-11-19 12:11:05.011 +0100,
23,Resin used to clean amino acids,XAD,2021-11-19 12:11:05.011 +0100,
24,Acid-Alkali-Acid,AAA,2021-11-19 12:11:05.011 +0100,
25,AAA or ABA,AAA/ABA,2021-11-19 12:11:05.011 +0100,
26,AAA or ABA or Acid wash,AAA/ABA/Acid,2021-11-19 12:11:05.011 +0100,
27,ABA + Ultrafiltration,ABAu,2021-11-19 12:11:05.011 +0100,
28,Several fragments dated together,Bulk,2021-11-19 12:11:05.011 +0100,
29,Collagen Stepped Combustion,Coll_SC,2021-11-19 12:11:05.011 +0100,
30,Collagen ultrafiltration,Coll_ultra,2021-11-19 12:11:05.011 +0100,
31,Gelatinisation,Gelatin,2021-11-19 12:11:05.011 +0100,
32,Modified Longin method,Longin,2021-11-19 12:11:05.011 +0100,
33,no treatment,No,2021-11-19 12:11:05.011 +0100,
34,Ultrafiltration,Ultra,2021-11-19 12:11:05.011 +0100,
99,for other method,Other,2021-11-19 12:11:05.011 +0100,
