"CCONTRLID","CCONTRLTYP","PARENTID","METHODID","CREATED_AT","UPDATED_AT"
1,"Core top",45,81,"2024-03-28 11:50:27.323 +0100","2024-03-28 11:59:55.813 +0100"
2,"Radiocarbon",44,2,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:00:10.432 +0100"
3,"Tephra",35,70,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:00:24.468 +0100"
4,"Radiocarbon, average of two or more dates",2,NA,"2024-03-28 11:50:27.323 +0100",""
5,"Other dating methods",5,NA,"2024-03-28 11:50:27.323 +0100",""
6,"Biostratigraphic, pollen",38,NA,"2024-03-28 11:50:27.323 +0100",""
7,"Guess",5,NA,"2024-03-28 11:50:27.323 +0100",""
8,"Sediment stratigraphic",45,NA,"2024-03-28 11:50:27.323 +0100",""
9,"Relative time scale",9,NA,"2024-03-28 11:50:27.323 +0100",""
10,"Lead-210",44,40,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:01:23.388 +0100"
11,"Extrapolated",5,86,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:01:33.435 +0100"
13,"Annual laminations (varves)",59,57,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:01:50.513 +0100"
15,"Core bottom",45,82,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:02:01.512 +0100"
16,"Radiocarbon, reservoir correction",2,NA,"2024-03-28 11:50:27.323 +0100",""
17,"Radiocarbon, calibrated",2,NA,"2024-03-28 11:50:27.323 +0100",""
18,"Radiocarbon, infinite",2,NA,"2024-03-28 11:50:27.323 +0100",""
19,"Interpolated, corrected for compaction",23,NA,"2024-03-28 11:50:27.323 +0100",""
20,"Deglaciation",8,NA,"2024-03-28 11:50:27.323 +0100",""
23,"Interpolated",5,87,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:02:20.898 +0100"
25,"Radiocarbon, calibrated from calendar years",2,NA,"2024-03-28 11:50:27.323 +0100",""
26,"Thermoluminescence",44,7,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:02:32.891 +0100"
28,"Uranium-series",44,8,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:02:45.882 +0100"
31,"Palaeomagnetic",59,76,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:02:57.625 +0100"
32,"Argon-argon",44,32,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:13:48.855 +0100"
33,"Potassium-argon",44,31,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:13:49.296 +0100"
35,"Event stratigraphic",45,NA,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:17:06.364 +0100"
