COL_MTDID,COL_MTD,CREATED_AT,UPDATED_AT,PARENTID
-9999,ND,2021-11-19 12:11:05.011 +0100,2023-04-18 09:42:55.640 +0200,-9999
1,Auger,2021-11-19 12:11:05.011 +0100,2023-04-18 09:42:56.040 +0200,1
2,Block,2021-11-19 12:11:05.011 +0100,2023-04-18 09:42:56.351 +0200,2
3,Core,2021-11-19 12:11:05.011 +0100,2023-04-18 09:42:56.659 +0200,3
4,Downhole Tube,2021-11-19 12:11:05.011 +0100,2023-04-18 09:42:56.963 +0200,6
5,Excavated,2021-11-19 12:11:05.011 +0100,2023-04-18 09:42:57.264 +0200,5
6,Tube,2021-11-19 12:11:05.011 +0100,2023-04-18 09:42:57.565 +0200,6
7,Other,2021-11-19 12:11:05.011 +0100,2023-04-18 09:42:57.867 +0200,7
8,InSitu,2021-11-19 12:11:05.011 +0100,2023-04-18 09:42:58.169 +0200,8
9,Sieve,2021-11-19 12:11:05.011 +0100,2023-04-18 09:42:58.468 +0200,9
10,Grab sample,2023-04-18 09:35:53.347 +0200,2023-04-18 09:42:58.770 +0200,10
11,Composite sample,2023-04-18 09:37:55.103 +0200,2023-04-18 09:42:59.071 +0200,10
12,Van Veen grab sampler,2023-04-18 09:37:55.402 +0200,2023-04-18 09:42:59.374 +0200,10
13,Casq corer,2023-04-18 09:37:55.703 +0200,2023-04-18 09:42:59.675 +0200,3
14,Russian corer,2023-04-18 09:37:56.002 +0200,2023-04-18 09:42:59.976 +0200,3
15,Wardenaar corer,2023-04-18 09:37:56.302 +0200,2023-04-18 09:43:00.277 +0200,3
16,Freeze corer,2023-04-18 09:37:56.604 +0200,2023-04-18 09:43:00.579 +0200,3
17,Gravity corer,2023-04-18 09:37:56.905 +0200,2023-04-18 09:43:00.881 +0200,3
18,Percussion corer,2023-04-18 09:37:57.204 +0200,2023-04-18 09:43:01.182 +0200,3
19,Piston corer,2023-04-18 09:37:57.503 +0200,2023-04-18 09:43:01.484 +0200,3
20,D-section corer,2023-04-18 09:37:57.803 +0200,2023-04-18 09:43:01.785 +0200,14
21,Vibro corer,2023-04-18 09:37:58.105 +0200,2023-04-18 09:43:02.087 +0200,3
22,Box corer,2023-04-18 09:37:58.404 +0200,2023-04-18 09:43:02.389 +0200,3
23,Reineck box corer,2023-04-18 09:37:58.704 +0200,2023-04-18 09:43:02.690 +0200,22
24,USNEL box corer,2023-04-18 09:37:59.004 +0200,2023-04-18 09:43:02.992 +0200,22
25,Grab sample amalgamated,2023-04-18 09:43:39.631 +0200,2023-04-18 09:43:39.631 +0200,10
26,Colinvaux-Vohnout piston corer,2023-09-26 13:14:23.880 +0200,,19
27,Dachnowski corer,2023-09-26 13:14:23.880 +0200,,3
28,Eijkelkamp corer,2023-09-26 13:14:23.880 +0200,,3
29,Freeze corer,2023-09-26 13:14:23.880 +0200,,3
30,Glew gravity corer,2023-09-26 13:14:23.880 +0200,,17
31,Hiller peat corer,2023-09-26 13:14:23.880 +0200,,3
32,Kullenberg piston corer,2023-09-26 13:14:23.880 +0200,,19
33,Livingstone piston corer,2023-09-26 13:14:23.880 +0200,,19
34,PVC tube,2023-09-26 13:14:23.880 +0200,,6
35,Square rod piston corer,2023-09-26 13:14:23.880 +0200,,19
36,Streif-Livingstone piston corer,2023-09-26 13:14:23.880 +0200,2023-09-26 13:14:57.675 +0200,33
37,Usinger piston corer,2023-09-26 13:14:23.880 +0200,,19
38,Vallentyne piston corer,2023-09-26 13:14:23.880 +0200,2023-09-26 13:15:10.852 +0200,33
39,Wright square-rod piston corer,2023-09-26 13:14:23.880 +0200,2023-09-26 13:15:24.769 +0200,35
40,Monolith,2023-11-14 19:46:25.316 +0100,2023-11-14 19:46:25.316 +0100,2
41,Hydraulic corer,2023-11-14 19:47:05.143 +0100,2023-11-14 19:47:05.143 +0100,3
42,Mackereth corer,2024-03-05 10:19:14.185 +0100,2024-03-05 10:19:40.447 +0100,3
43,Universal corer,2024-03-05 10:19:34.162 +0100,2024-03-05 10:19:34.162 +0100,3
