DATASRCID,DATASOURCE,DATASRCDSC,DATASRCREF,CREATED_AT,UPDATED_AT
-9999,ND,no data,,2023-09-11 10:35:30.259 +0200,2023-09-11 10:35:30.259 +0200
1,Author,Author provided data,,2023-09-11 10:33:58.002 +0200,
2,Digitised,Data digitised from diagram using software,,2023-09-11 10:33:58.002 +0200,2023-09-11 10:38:03.251 +0200
3,QUAVIDA,"The QUAVIDA synergy: quaternary fire, vegetation and climate change in Australasia",Rowe et al. (2007). DOI: https://doi.org/10.1016/j.quaint.2007.04.001,2023-09-11 10:33:58.002 +0200,2023-10-10 09:15:58.030 +0200
4,Paleofire database,Digitised data sourced from the Global Paleofire Database or Neotoma Paleoecology Database,,2023-09-11 10:33:58.002 +0200,2023-09-11 10:37:26.293 +0200
5,Optical approximation,,,2023-09-11 10:33:58.002 +0200,2023-09-11 10:37:15.126 +0200
6,Other,,,2023-09-11 10:33:58.002 +0200,
7,AHGF [BOM],Data fetched from Australian Hydrological Geospatial Fabric (Geofabric) [Bureau of Meteorology],http://www.opengis.net/wfs/2.0 http://geofabric.bom.gov.au:80/simplefeatures/schemas/wfs/2.0/wfs.xsd,2023-10-10 09:03:08.621 +0200,2023-10-10 09:05:42.416 +0200
8,neotoma_IPPD,Neotoma db constituent Indo-Pacific Pollen Database,https://www.neotomadb.org/data/constituent-databases,2023-10-10 09:15:00.524 +0200,2023-10-10 09:16:21.560 +0200
9,OCTOPUS,Feature created by OCTOPUS database,https://github.com/orgs/octopus-db/,2023-11-20 14:34:20.178 +0100,2023-11-20 14:34:20.178 +0100
10,Neotoma,Neotoma database,https://www.neotomadb.org/,2024-03-12 08:34:16.596 +0100,2024-03-12 08:34:16.596 +0100
