DEPOSITID,DEPOSIT,PARENTID,DEPOSITDSC,CREATED_AT,UPDATED_AT
-9999,ND,-9999,no data,2023-09-13 19:54:46.429 +1000,2023-09-13 19:54:46.429 +1000
1,Sedimentary (non-specific),1,"Sedimentary deposit, regardless of origin / genesis",2023-09-13 19:50:30.176 +1000,
2,"Sedimentary, clastic",1,,2023-09-13 19:50:30.176 +1000,2023-09-13 19:56:05.403 +1000
3,"Sedimentary, chemical",1,,2023-09-13 19:50:30.176 +1000,2023-09-13 19:56:05.843 +1000
4,"Sedimentary, biogenic",1,,2023-09-13 19:50:30.176 +1000,2023-09-13 19:56:06.155 +1000
5,"Sedimentary, residual",1,,2023-09-13 19:50:30.176 +1000,2023-09-13 19:56:06.457 +1000
6,Aeolian origin (non-specific),1,,2023-09-13 19:50:30.176 +1000,
7,Fluvial origin (non-specific),1,,2023-09-13 19:50:30.176 +1000,
8,Lacustrine origin (non-specific),1,Equals 'Limnic',2023-09-13 19:50:30.176 +1000,
9,Marine origin (non-specific),1,,2023-09-13 19:50:30.176 +1000,
10,Glacial origin (non-specific),1,,2023-09-13 19:50:30.176 +1000,
11,Pyroclastic origin ( non-specific),1,,2023-09-13 19:50:30.176 +1000,
12,Gravitational origin (non-specific),1,"Primarily gravitational origin, other processes may be involved",2023-09-13 19:50:30.176 +1000,
13,Mass wasting origin,12,,2023-09-13 19:50:30.176 +1000,
14,Landslip origin,13,,2023-09-13 19:50:30.176 +1000,
15,Landslide origin,13,,2023-09-13 19:50:30.176 +1000,
16,Rockslide origin,13,,2023-09-13 19:50:30.176 +1000,
17,Rock fall origin,13,,2023-09-13 19:50:30.176 +1000,
18,Slump origin,13,,2023-09-13 19:50:30.176 +1000,
19,Debris flow origin,13,,2023-09-13 19:50:30.176 +1000,
20,Pedogenic origin (non-specific),20,,2023-09-13 19:50:30.176 +1000,
21,Soil (non-specific),20,,2023-09-13 19:50:30.176 +1000,
22,Palaeosol,21,,2023-09-13 19:50:30.176 +1000,
23,Organic origin (non-specific),23,,2023-09-13 19:50:30.176 +1000,
24,Animal origin (non-specific),23,,2023-09-13 19:50:30.176 +1000,
25,Animal midden (non-specific),25,,2023-09-13 19:50:30.176 +1000,
26,Plant origin (non-specific),23,,2023-09-13 19:50:30.176 +1000,
27,Composite deposit (non-specific),27,"Composite refers to classification / terminology, not to material composition",2023-09-13 19:50:30.176 +1000,
28,Alluvial (non-specific),7,,2023-09-13 19:50:30.176 +1000,
29,Archaeological (non-specific),29,,2023-09-13 19:50:30.176 +1000,
30,Chemical precipitates (non-specific),3,,2023-09-13 19:50:30.176 +1000,
31,Asphaltic sand,27,,2023-09-13 19:50:30.176 +1000,
32,Asphaltic seep,27,,2023-09-13 19:50:30.176 +1000,
33,Bar,7,,2023-09-13 19:50:30.176 +1000,
34,Beach (non-specific),115,,2023-09-13 19:50:30.176 +1000,
35,Bedrock desintegration,2,,2023-09-13 19:50:30.176 +1000,
36,Burial,29,,2023-09-13 19:50:30.176 +1000,
37,Burrow,25,,2023-09-13 19:50:30.176 +1000,
38,Channel (non-specific),7,,2023-09-13 19:50:30.176 +1000,
39,Channel lag,38,,2023-09-13 19:50:30.176 +1000,
40,Coarse-grained (non-specific),2,,2023-09-13 19:50:30.176 +1000,
41,Colluvium (non-specific),7,,2023-09-13 19:50:30.176 +1000,
42,Crevasse splay,7,,2023-09-13 19:50:30.176 +1000,
43,Deep water muds,9,,2023-09-13 19:50:30.176 +1000,
44,Deltaic coarse,7,,2023-09-13 19:50:30.176 +1000,
45,Diatomite,9,,2023-09-13 19:50:30.176 +1000,
46,Dune (non-specific),6,,2023-09-13 19:50:30.176 +1000,
47,Dung,25,,2023-09-13 19:50:30.176 +1000,
48,Fine-grained (non-specific),2,,2023-09-13 19:50:30.176 +1000,
49,Floodplain,7,,2023-09-13 19:50:30.176 +1000,
50,Levee,7,,2023-09-13 19:50:30.176 +1000,
51,Marl (non-specific),2,,2023-09-13 19:50:30.176 +1000,
52,Loam (non-specific),2,,2023-09-13 19:50:30.176 +1000,
53,Midden,23,,2023-09-13 19:50:30.176 +1000,
54,Mound origin (non-specific),54,,2023-09-13 19:50:30.176 +1000,
55,Occupation debris,29,,2023-09-13 19:50:30.176 +1000,
56,Packrat midden,25,,2023-09-13 19:50:30.176 +1000,
57,Point Bar,7,,2023-09-13 19:50:30.176 +1000,
58,Talus cone,12,,2023-09-13 19:50:30.176 +1000,
59,Terrace (non-specific),59,,2023-09-13 19:50:30.176 +1000,
60,"Terrace, fluvial",7,,2023-09-13 19:50:30.176 +1000,
61,"Terrace, Kame",10,,2023-09-13 19:50:30.176 +1000,
62,"Terrace, marine",9,,2023-09-13 19:50:30.176 +1000,
63,"Terrace, lacustrine",8,,2023-09-13 19:50:30.176 +1000,
64,"Terrace, structural",59,Formed by differential erosion in layered rocks,2023-09-13 19:50:30.176 +1000,
65,"Terrace, travertine",66,,2023-09-13 19:50:30.176 +1000,
66,Travertine,30,,2023-09-13 19:50:30.176 +1000,
67,Tufa,30,,2023-09-13 19:50:30.176 +1000,
68,Chaotic deposit (non-specific),2,,2023-09-13 19:50:30.176 +1000,
69,Unsorted (non-specific),2,,2023-09-13 19:50:30.176 +1000,
70,Ejecta (non-specific),2,,2023-09-13 19:50:30.176 +1000,
71,Varved,8,,2023-09-13 19:50:30.176 +1000,
72,Tephra,11,,2023-09-13 19:50:30.176 +1000,
73,Loess,6,,2023-09-13 19:50:30.176 +1000,
74,Loess (reworked),73,,2023-09-13 19:50:30.176 +1000,
75,Gravel (non-specific),2,,2023-09-13 19:50:30.176 +1000,
76,Silt (non-specific),2,,2023-09-13 19:50:30.176 +1000,
77,Clay (non-specific),2,,2023-09-13 19:50:30.176 +1000,
78,Silty clay,77,,2023-09-13 19:50:30.176 +1000,
79,Clayey silt,76,,2023-09-13 19:50:30.176 +1000,
80,Silty sand,98,,2023-09-13 19:50:30.176 +1000,
81,Laminated silt and clay,2,,2023-09-13 19:50:30.176 +1000,
82,Gyttja,76,Equals 'Organic silt',2023-09-13 19:50:30.176 +1000,
83,Wetland origin (non-specific),83,,2023-09-13 19:50:30.176 +1000,
84,Bog sediment,83,Usually enclosed depression filled by rain water,2023-09-13 19:50:30.176 +1000,
85,Swamp origin,83,,2023-09-13 19:50:30.176 +1000,
86,Marsh origin,83,,2023-09-13 19:50:30.176 +1000,
87,Fen origin,83,Steady supply by ground water source,2023-09-13 19:50:30.176 +1000,
88,Pond origin,83,,2023-09-13 19:50:30.176 +1000,
89,Shallow water muds,83,,2023-09-13 19:50:30.176 +1000,
90,Peat deposit (non-specific),83,,2023-09-13 19:50:30.176 +1000,
91,Muck deposit,83,,2023-09-13 19:50:30.176 +1000,
92,Fibric peat,90,,2023-09-13 19:50:30.176 +1000,
93,Silty peat,90,,2023-09-13 19:50:30.176 +1000,
94,Detrital Peat,90,,2023-09-13 19:50:30.176 +1000,
95,"Peat, sedge",90,,2023-09-13 19:50:30.176 +1000,
96,"Peat, tephra",90,,2023-09-13 19:50:30.176 +1000,
97,Organic Detritus,90,,2023-09-13 19:50:30.176 +1000,
98,Sand (non-specific),2,,2023-09-13 19:50:30.176 +1000,
99,Cross-bedded sand,98,,2023-09-13 19:50:30.176 +1000,
100,Fine sand,98,,2023-09-13 19:50:30.176 +1000,
101,Fossiliferous silt,27,,2023-09-13 19:50:30.176 +1000,
102,Sapropel,27,,2023-09-13 19:50:30.176 +1000,
103,Cave deposits,103,,2023-09-13 19:50:30.176 +1000,
104,Owl roost,25,,2023-09-13 19:50:30.176 +1000,
105,Fish bed,25,,2023-09-13 19:50:30.176 +1000,
106,Organic sand,98,,2023-09-13 19:50:30.176 +1000,
107,Organic silty clay,77,,2023-09-13 19:50:30.176 +1000,
108,Medium sand,98,,2023-09-13 19:50:30.176 +1000,
109,Moss (non-specific),23,,2023-09-13 19:50:30.176 +1000,
110,Other,110,,2023-09-13 19:50:30.176 +1000,
111,Lake sediment,8,,2023-09-13 19:50:30.176 +1000,
112,Estuarine sediment (non-specific),112,,2023-09-13 19:50:30.176 +1000,
113,Buried surface (non-specific),113,,2023-09-13 19:50:30.176 +1000,
114,Bulk deposit (non-specific),114,,2023-09-13 19:50:30.176 +1000,
115,Coastal origin (non-specific),1,,2023-09-13 19:50:30.176 +1000,
116,Buried organic sediment,23,,2023-11-15 06:43:39.904 +1100,2023-11-15 06:43:53.997 +1100
