ELEMTYPEID,ELEMENTYPE,ELMTSOURCE,CREATED_AT,UPDATED_AT
-9999,no data,,2024-03-15 11:19:45.686 +0100,2024-03-15 11:19:45.686 +0100
1,palynomorph,10,2024-03-15 11:19:09.687 +0100,
2,pollen,10,2024-03-15 11:19:09.687 +0100,
3,pollen/spore,10,2024-03-15 11:19:09.687 +0100,
4,spore,10,2024-03-15 11:19:09.687 +0100,
5,acetabulum,10,2024-03-15 11:19:09.687 +0100,
6,antler,10,2024-03-15 11:19:09.687 +0100,
7,astragalus,10,2024-03-15 11:19:09.687 +0100,
8,auditory bulla,10,2024-03-15 11:19:09.687 +0100,
9,baculum,10,2024-03-15 11:19:09.687 +0100,
10,basihyal,10,2024-03-15 11:19:09.687 +0100,
11,basioccipital,10,2024-03-15 11:19:09.687 +0100,
12,basisphenoid,10,2024-03-15 11:19:09.687 +0100,
13,bone,10,2024-03-15 11:19:09.687 +0100,
14,bone/tooth,10,2024-03-15 11:19:09.687 +0100,
15,calcaneum,10,2024-03-15 11:19:09.687 +0100,
16,carpal,10,2024-03-15 11:19:09.687 +0100,
17,centralia,10,2024-03-15 11:19:09.687 +0100,
18,ceratohyoid,10,2024-03-15 11:19:09.687 +0100,
19,claw,10,2024-03-15 11:19:09.687 +0100,
20,cuboid,10,2024-03-15 11:19:09.687 +0100,
21,cuneiform,10,2024-03-15 11:19:09.687 +0100,
22,dung,10,2024-03-15 11:19:09.687 +0100,
23,exoccipital,10,2024-03-15 11:19:09.687 +0100,
24,external cuneiform,10,2024-03-15 11:19:09.687 +0100,
25,fecal pellet,10,2024-03-15 11:19:09.687 +0100,
26,femur,10,2024-03-15 11:19:09.687 +0100,
27,fibula,10,2024-03-15 11:19:09.687 +0100,
28,frontal,10,2024-03-15 11:19:09.687 +0100,
29,"frontal, antler",10,2024-03-15 11:19:09.687 +0100,
30,"frontal, horn core",10,2024-03-15 11:19:09.687 +0100,
31,"frontal, pedicle",10,2024-03-15 11:19:09.687 +0100,
32,hair,10,2024-03-15 11:19:09.687 +0100,
33,horn,10,2024-03-15 11:19:09.687 +0100,
34,horn core,10,2024-03-15 11:19:09.687 +0100,
35,humerus,10,2024-03-15 11:19:09.687 +0100,
36,hyoid,10,2024-03-15 11:19:09.687 +0100,
37,hyomandibular,10,2024-03-15 11:19:09.687 +0100,
38,ilium,10,2024-03-15 11:19:09.687 +0100,
39,innominate,10,2024-03-15 11:19:09.687 +0100,
40,internal cuneiform,10,2024-03-15 11:19:09.687 +0100,
41,ischium,10,2024-03-15 11:19:09.687 +0100,
42,jugal,10,2024-03-15 11:19:09.687 +0100,
43,limb,10,2024-03-15 11:19:09.687 +0100,
44,lunate,10,2024-03-15 11:19:09.687 +0100,
45,magnum,10,2024-03-15 11:19:09.687 +0100,
46,mandible,10,2024-03-15 11:19:09.687 +0100,
47,mandibular condyle,10,2024-03-15 11:19:09.687 +0100,
48,"mandibular ramus, edentulous",10,2024-03-15 11:19:09.687 +0100,
