"TAXAGRPID","TAXAGROUP","TXAGRPHDLE","TXAGRPSRC","CREATED_AT","UPDATED_AT"
-9999,"no data","ND",NA,"2024-03-15 11:33:30.857 +0100","2024-03-15 11:33:30.857 +0100"
1,"Acritarchs","ACR",10,"2024-03-15 11:33:04.112 +0100",""
2,"Algae","ALG",10,"2024-03-15 11:33:04.112 +0100",""
3,"Ambiguous names","AMB",10,"2024-03-15 11:33:04.112 +0100",""
4,"Annelids","ANL",10,"2024-03-15 11:33:04.112 +0100",""
5,"Animals undiff.","ANM",10,"2024-03-15 11:33:04.112 +0100",""
6,"Aquatic parameters","AQU",10,"2024-03-15 11:33:04.112 +0100",""
7,"Arthropods undiff.","ART",10,"2024-03-15 11:33:04.112 +0100",""
8,"Birds","AVE",10,"2024-03-15 11:33:04.112 +0100",""
9,"Biometric variables","BIM",10,"2024-03-15 11:33:04.112 +0100",""
10,"Brachiopods","BRC",10,"2024-03-15 11:33:04.112 +0100",""
11,"Bryophytes","BRY",10,"2024-03-15 11:33:04.112 +0100",""
12,"Bryozoa","BRZ",10,"2024-03-15 11:33:04.112 +0100",""
13,"Organic carbon","CAR",10,"2024-03-15 11:33:04.112 +0100",""
14,"Chemical substance","CHM",10,"2024-03-15 11:33:04.112 +0100",""
15,"Chromista","CHO",10,"2024-03-15 11:33:04.112 +0100",""
16,"Charcoal","CHR",10,"2024-03-15 11:33:04.112 +0100",""
17,"Cnidaria","CNI",10,"2024-03-15 11:33:04.112 +0100",""
18,"Crustaceans undiff.","CRU",10,"2024-03-15 11:33:04.112 +0100",""
19,"Diatoms","DIA",10,"2024-03-15 11:33:04.112 +0100",""
20,"Dinoflagellates","DIN",10,"2024-03-15 11:33:04.112 +0100",""
21,"Sedimentary ancient DNA","DNA",10,"2024-03-15 11:33:04.112 +0100",""
22,"Echinoderms","ECH",10,"2024-03-15 11:33:04.112 +0100",""
23,"Eukaryota","EUK",10,"2024-03-15 11:33:04.112 +0100",""
24,"Flatworms","FLT",10,"2024-03-15 11:33:04.112 +0100",""
25,"Foraminifera","FOR",10,"2024-03-15 11:33:04.112 +0100",""
26,"Fish","FSH",10,"2024-03-15 11:33:04.112 +0100",""
27,"Fungi","FUN",10,"2024-03-15 11:33:04.112 +0100",""
28,"Geochemistry","GCH",10,"2024-03-15 11:33:04.112 +0100",""
29,"Reptiles and amphibians","HRP",10,"2024-03-15 11:33:04.112 +0100",""
30,"Insects","INS",10,"2024-03-15 11:33:04.112 +0100",""
31,"Invertebrates undiff.","INV",10,"2024-03-15 11:33:04.112 +0100",""
32,"Stable isotopes","ISO",10,"2024-03-15 11:33:04.112 +0100",""
33,"Laboratory analyses","LAB",10,"2024-03-15 11:33:04.112 +0100",""
34,"Loss-on-ignition","LOI",10,"2024-03-15 11:33:04.112 +0100",""
35,"Paleomagnetics","MAG",10,"2024-03-15 11:33:04.112 +0100",""
36,"Mammals","MAM",10,"2024-03-15 11:33:04.112 +0100",""
37,"Macroinvertebrates","MIV",10,"2024-03-15 11:33:04.112 +0100",""
38,"Molluscs","MOL",10,"2024-03-15 11:33:04.112 +0100",""
39,"Nematodes","NEM",10,"2024-03-15 11:33:04.112 +0100",""
40,"Ostracode","OST",10,"2024-03-15 11:33:04.112 +0100",""
41,"Phytolith","PHT",10,"2024-03-15 11:33:04.112 +0100",""
42,"Physical variables","PHY",10,"2024-03-15 11:33:04.112 +0100",""
43,"Plants undiff.","PLA",10,"2024-03-15 11:33:04.112 +0100",""
44,"Prokaryota","PRK",10,"2024-03-15 11:33:04.112 +0100",""
45,"Protista undiff.","PRO",10,"2024-03-15 11:33:04.112 +0100",""
46,"Protozoa","PRZ",10,"2024-03-15 11:33:04.112 +0100",""
47,"Rotifers","ROT",10,"2024-03-15 11:33:04.112 +0100",""
48,"Physical sedimentology","SED",10,"2024-03-15 11:33:04.112 +0100",""
49,"Silicoflagellates","SIL",10,"2024-03-15 11:33:04.112 +0100",""
50,"Sponges","SPO",10,"2024-03-15 11:33:04.112 +0100",""
51,"Testate amoebae","TES",10,"2024-03-15 11:33:04.112 +0100",""
52,"Unidentified palynomorphs","UPA",10,"2024-03-15 11:33:04.112 +0100",""
53,"Vertebrates undiff.","VER",10,"2024-03-15 11:33:04.112 +0100",""
54,"Vascular plants","VPL",10,"2024-03-15 11:33:04.112 +0100",""
55,"Water chemistry","WCH",10,"2024-03-15 11:33:04.112 +0100",""
