UNITTYPEID,UNITTYPE,UNITTDESCR,CREATED_AT,UPDATED_AT
-9999,ND,no data,2023-09-26 13:18:42.815 +0200,2023-09-26 13:18:42.815 +0200
1,Animal midden,,2023-09-26 13:17:18.683 +0200,2023-09-26 13:18:25.182 +0200
2,Artefact,"an object made by a human being, typically one of cultural or historical interest (Oxford Languages)",2023-09-26 13:17:18.683 +0200,
3,Collection piece,a collection / museum piece,2023-09-26 13:17:18.683 +0200,
4,Composite,any composite unit as for instance a dip-net water sample,2023-09-26 13:17:18.683 +0200,
5,Core,the product of a coring (not boring!) process,2023-09-26 13:17:18.683 +0200,
6,Excavation,,2023-09-26 13:17:18.683 +0200,2023-09-26 13:18:20.357 +0200
7,Outcrop,a rock formation that is visible on the surface (Oxford Languages),2023-09-26 13:17:18.683 +0200,
8,Plot,"a method of abundance estimation, mainly used in ecology",2023-09-26 13:17:18.683 +0200,
9,Road cut,,2023-09-26 13:17:18.683 +0200,2023-09-26 13:18:16.182 +0200
10,Section,,2023-09-26 13:17:18.683 +0200,2023-09-26 13:18:10.145 +0200
11,Shell midden,(aka 'shell mound') an archaeological feature consisting mainly of mollusc shells,2023-09-26 13:17:18.683 +0200,
12,Surface float,,2023-09-26 13:17:18.683 +0200,2023-09-26 13:18:05.567 +0200
13,Trap,,2023-09-26 13:17:18.683 +0200,2023-09-26 13:17:58.612 +0200
14,Other,,2023-09-26 13:17:18.683 +0200,2023-09-26 13:17:53.488 +0200
