ALSTNDID,ALSTND,ALSTND_PUB,ALCORR,ALSTNDRTIO,ALSTNDCOMT,CREATED_AT,UPDATED_AT
-9999,NA,NA,,,not applicable,2021-11-19 12:11:05.011 +0100,
1,ZAL94,AL09,0.9134,1.19E-09,"ETH-Zurich standard, former Cologne standard, equivalent to ZAL94",2021-11-19 12:11:05.011 +0100,
2,ZAL94,AL09-Assumed,0.9134,1.19E-09,"ETH-Zurich standard, former Cologne standard, equivalent to ZAL94",2021-11-19 12:11:05.011 +0100,
3,KNSTD,KN-4-2,1,3.10E-11,"ANSTO, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
4,KNSTD,KN-4-2-Assumed,1,3.10E-11,"ANSTO, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
5,KNSTD,KN01-X-Y,1,,"Cologne, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
6,KNSTD,KN01-X-Y-Assumed,1,,"Cologne, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
7,KNSTD,KNSTD,1,,"Nishiizumi, 2004",2021-11-19 12:11:05.011 +0100,
8,KNSTD,KNSTD-Assumed,1,,"Nishiizumi, 2004",2021-11-19 12:11:05.011 +0100,
9,KNSTD,KNSTD10650,1,1.07E-11,"LLNL-CAMS, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
10,KNSTD,KNSTD10650-Assumed,1,1.07E-11,"LLNL-CAMS, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
11,KNSTD,KNSTD30960,1,3.10E-11,"LLNL-CAMS, PRIME-Lab, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
12,KNSTD,KNSTD30960-Assumed,1,3.10E-11,"LLNL-CAMS, PRIME-Lab, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
13,KNSTD,NBS,1,,"LLNL-CAMS, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
14,KNSTD,NBS-Assumed,1,,"LLNL-CAMS, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
15,SMAL11,SMAL11,1.021,7.40E-12,ASTER in-house standard,2021-11-19 12:11:05.011 +0100,
16,SMAL11,SMAL11-Assumed,1.021,7.40E-12,ASTER in-house standard,2021-11-19 12:11:05.011 +0100,
17,KNSTD,Z92-0222,1,4.11E-11,"PRIME Lab standard, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
18,KNSTD,Z92-0222-Assumed,1,4.11E-11,"PRIME Lab standard, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
19,KNSTD,Z93-0221,1,1.68E-11,"PRIME Lab standard, ANSTO, ANSTO-Assumed, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
20,KNSTD,Z93-0221-Assumed,1,1.68E-11,"PRIME Lab standard, ANSTO, ANSTO-Assumed, equivalent to KNSTD",2021-11-19 12:11:05.011 +0100,
21,ZAL94,ZAL94,0.9134,5.26E-10,"ETH-Zurich standard used prior to 1 Apr 2010, Kubik and Christl, 2010",2021-11-19 12:11:05.011 +0100,
22,ZAL94,ZAL94-Assumed,0.9134,5.26E-10,"ETH-Zurich standard used prior to 1 Apr 2010, Kubik and Christl, 2010",2021-11-19 12:11:05.011 +0100,
23,ZAL94N,ZAL94N,1,4.90E-10,"ETH-Zurich standard, equivalent to KNSTD, effective 1 Apr 2010, Kubik and Christl, 2010",2021-11-19 12:11:05.011 +0100,
24,ZAL94N,ZAL94N-Assumed,1,4.90E-10,"ETH-Zurich standard, equivalent to KNSTD, effective 1 Apr 2010, Kubik and Christl, 2010",2021-11-19 12:11:05.011 +0100,
25,ND,ND,,,no data,2021-11-19 12:11:05.011 +0100,
