"INFRACLAID","INFRACLASS","CREATED_AT","UPDATED_AT"
1,Anapsida,2021-11-19 12:11:05.011 +0100,
2,Archosauromorpha,2021-11-19 12:11:05.011 +0100,
3,Eutheria,2021-11-19 12:11:05.011 +0100,
4,Gnathostomata,2021-11-19 12:11:05.011 +0100,
5,Holotheria,2021-11-19 12:11:05.011 +0100,
6,Lepidosauromorpha,2021-11-19 12:11:05.011 +0100,
8,Marsupialia,2021-11-19 12:11:05.011 +0100,
9,Neoaves,2021-11-19 12:11:05.011 +0100,
10,Ornithoraces,2021-11-19 12:11:05.011 +0100,
11,Prototheria,2021-11-19 12:11:05.011 +0100,
-9991,NA,2021-11-19 12:11:05.011 +0100,
-9999,ND,2021-11-19 12:11:05.011 +0100,
7,tba,2021-11-19 12:11:05.011 +0100,2022-12-08 16:44:57.526 +0100
