"ORDRID","ORDR","CREATED_AT","UPDATED_AT"
33,Didelphimorphia,2023-01-09 16:47:00.875 +0100,
34,Paucituberculata,2023-01-09 16:47:00.875 +0100,
35,Microbiotheria,2023-01-09 16:47:00.875 +0100,
36,Notoryctemorphia,2023-01-09 16:47:00.875 +0100,
37,Afrosoricida,2023-01-09 16:47:00.875 +0100,
38,Macroscelidea,2023-01-09 16:47:00.875 +0100,
39,Tubulidentata,2023-01-09 16:47:00.875 +0100,
40,Hyracoidea,2023-01-09 16:47:00.875 +0100,
41,Proboscidea,2023-01-09 16:47:00.875 +0100,
42,Cingulata,2023-01-09 16:47:00.875 +0100,
43,Pilosa,2023-01-09 16:47:00.875 +0100,
44,Scandentia,2023-01-09 16:47:00.875 +0100,
45,Dermoptera,2023-01-09 16:47:00.875 +0100,
46,Primates,2023-01-09 16:47:00.875 +0100,
47,Erinaceomorpha,2023-01-09 16:47:00.875 +0100,
48,Soricomorpha,2023-01-09 16:47:00.875 +0100,
49,Pholidota,2023-01-09 16:47:00.875 +0100,
50,Perissodactyla,2023-01-09 16:47:00.875 +0100,
51,Cetacea,2023-01-09 16:47:00.875 +0100,
29,Struthioniformes,2021-11-19 12:11:05.011 +0100,2023-01-12 15:08:54.851 +0100
53,Gastornithiformes,2023-01-24 14:20:17.797 +0100,2023-01-24 14:20:17.797 +0100
54,Eulipotyphla,2023-01-24 14:20:18.244 +0100,2023-01-24 14:20:18.244 +0100
55,Casuariiformes,2023-01-24 14:20:18.558 +0100,2023-01-24 14:20:18.558 +0100
56,Perciformes,2023-01-24 14:20:18.866 +0100,2023-01-24 14:20:18.866 +0100
1,Accipitriformes,2021-11-19 12:11:05.011 +0100,
2,Anseriformes,2021-11-19 12:11:05.011 +0100,
3,Anura,2021-11-19 12:11:05.011 +0100,
4,Artiodactyla,2021-11-19 12:11:05.011 +0100,
5,Carnivora,2021-11-19 12:11:05.011 +0100,
6,Charadriiformes,2021-11-19 12:11:05.011 +0100,
7,Chiroptera,2021-11-19 12:11:05.011 +0100,
8,Chiroptera (Microchiroptera),2021-11-19 12:11:05.011 +0100,
9,Ciconiiformes,2021-11-19 12:11:05.011 +0100,
10,Columbiformes,2021-11-19 12:11:05.011 +0100,
11,Crocodylia,2021-11-19 12:11:05.011 +0100,
12,Dasyuromorphia,2021-11-19 12:11:05.011 +0100,
13,Diprotodontia,2021-11-19 12:11:05.011 +0100,
14,Falconiformes,2021-11-19 12:11:05.011 +0100,
15,Galliformes,2021-11-19 12:11:05.011 +0100,
16,Gruiformes,2021-11-19 12:11:05.011 +0100,
17,Lagomorpha,2021-11-19 12:11:05.011 +0100,
18,Monotremata,2021-11-19 12:11:05.011 +0100,
19,Passeriformes,2021-11-19 12:11:05.011 +0100,
20,Pelecaniformes,2021-11-19 12:11:05.011 +0100,
21,Peramelemorphia,2021-11-19 12:11:05.011 +0100,
22,Procellariiformes,2021-11-19 12:11:05.011 +0100,
23,Psittaciformes,2021-11-19 12:11:05.011 +0100,
24,Rodentia,2021-11-19 12:11:05.011 +0100,
25,Sirenia,2021-11-19 12:11:05.011 +0100,
26,Sphenisciformes,2021-11-19 12:11:05.011 +0100,
27,Squamata,2021-11-19 12:11:05.011 +0100,
28,Strigiformes,2021-11-19 12:11:05.011 +0100,
30,Suliformes,2021-11-19 12:11:05.011 +0100,
31,Testudines,2021-11-19 12:11:05.011 +0100,
32,Turniciformes,2021-11-19 12:11:05.011 +0100,
-9991,NA,2021-11-19 12:11:05.011 +0100,
-9999,ND,2021-11-19 12:11:05.011 +0100,
