FAMILYID,FAMILY,CREATED_AT,UPDATED_AT
-9999,ND,19.11.21,
-9991,NA,19.11.21,
1,Accipitridae,19.11.21,
2,Acrobatidae,19.11.21,
3,Agamidae,19.11.21,
4,Anatidae,19.11.21,
5,Anatidae/Anseranatidae,19.11.21,
6,Anhingidae,19.11.21,
7,Anseranatidae,19.11.21,
8,Ardeidae,19.11.21,
9,Artamidae,19.11.21,
10,Boidae,19.11.21,
11,Bovidae,19.11.21,
12,Burhinidae,19.11.21,
13,Burramyidae,19.11.21,
14,Cacatuidae,19.11.21,
15,Canidae,19.11.21,
16,Casuariidae,19.11.21,
17,Chaeropodidae,19.11.21,
18,Chelidae,19.11.21,
19,Cheloniidae,19.11.21,
20,Columbidae,19.11.21,
21,Corvidae,19.11.21,
22,Cracticidae,19.11.21,
23,Crocodylidae,19.11.21,
24,Dasyuridae,19.11.21,
25,Dasyuridae (cat-like),19.11.21,
26,Dasyuridae (mouse-like),19.11.21,
27,Diprotodontidae,19.11.21,
28,Dromaiidae,19.11.21,
29,Dromornithidae,19.11.21,
30,Dugongidae,19.11.21,
31,Elapidae,19.11.21,
32,Falconidae,19.11.21,
33,Family indet.,19.11.21,
34,Gekkonidae,19.11.21,
35,Gruidae,19.11.21,
36,Hirundinidae,19.11.21,
37,Hylidae,19.11.21,
38,Laridae,19.11.21,
39,Leporidae,19.11.21,
40,Locustellidae,19.11.21,
41,Macropodidae,19.11.21,
42,Macropodidae (Macropodinae) ,19.11.21,
43,Macropodidae (Sthenurine),19.11.21,
44,Madtsoiidae,19.11.21,
45,Megadermatidae,19.11.21,
46,Megapodiidae,19.11.21,
47,Meiolaniidae,19.11.21,
48,Mekosuchinae,19.11.21,
49,Meliphagidae,19.11.21,
50,Microhylidae,19.11.21,
51,Monarchidae,19.11.21,
52,Muridae,19.11.21,
53,Muridae (Conilurini),19.11.21,
54,Myobatrachidae,19.11.21,
55,Ophidae,19.11.21,
56,Ornithorhynchidae,19.11.21,
57,Otariidae,19.11.21,
58,Palorchestidae,19.11.21,
59,Peramelidae,19.11.21,
60,Peroryctidae,19.11.21,
61,Petauridae,19.11.21,
62,Phalangeridae,19.11.21,
63,Phalocrocoracidae,19.11.21,
64,Phascolarctidae,19.11.21,
65,Phasianidae,19.11.21,
66,Phocidae,19.11.21,
67,Potoroidae,19.11.21,
68,Potoroidae (Potoroinae),19.11.21,
69,Procellariidae,19.11.21,
70,Pseudocheiridae,19.11.21,
71,Psittacidae,19.11.21,
72,Psittaculidae,19.11.21,
73,Pteropodidae,19.11.21,
74,Pythonidae,19.11.21,
75,Rallidae,19.11.21,
76,Rhinolophidae,19.11.21,
77,Scincidae,19.11.21,
78,Scindidae,19.11.21,
79,Scindidae/Geckonidae,19.11.21,
80,Scolopacidae,19.11.21,
81,Spheniscidae,19.11.21,
82,Sternidae,19.11.21,
83,Strigidae,19.11.21,
84,Suidae,19.11.21,
