"GENUSID","GENUS","CREATED_AT","UPDATED_AT"
4,Aepyprymnus,2021-11-19 12:11:05.011 +0100,
5,Alectura,2021-11-19 12:11:05.011 +0100,
6,Amphibolurus,2021-11-19 12:11:05.011 +0100,
7,Anas,2021-11-19 12:11:05.011 +0100,
9,Anisomys,2021-11-19 12:11:05.011 +0100,
10,Anseranas,2021-11-19 12:11:05.011 +0100,
11,Antechinomys,2021-11-19 12:11:05.011 +0100,
13,Antechinus/Sminthopsis,2021-11-19 12:11:05.011 +0100,
14,Aproteles,2021-11-19 12:11:05.011 +0100,
15,Arctocephalus,2021-11-19 12:11:05.011 +0100,
17,Baringa,2021-11-19 12:11:05.011 +0100,
18,Bettongia,2021-11-19 12:11:05.011 +0100,
19,Bohra,2021-11-19 12:11:05.011 +0100,
20,Boid,2021-11-19 12:11:05.011 +0100,
22,Burhinus,2021-11-19 12:11:05.011 +0100,
23,Cacatua,2021-11-19 12:11:05.011 +0100,
24,Canis,2021-11-19 12:11:05.011 +0100,
26,Cercartetus,2021-11-19 12:11:05.011 +0100,
27,Cereopsis,2021-11-19 12:11:05.011 +0100,
28,Chaeropus,2021-11-19 12:11:05.011 +0100,
30,Chelonia,2021-11-19 12:11:05.011 +0100,
31,Chlamydosaurus,2021-11-19 12:11:05.011 +0100,
32,Chroicocephalus,2021-11-19 12:11:05.011 +0100,
34,Congruus,2021-11-19 12:11:05.011 +0100,
35,Conilurus,2021-11-19 12:11:05.011 +0100,
36,Corvus,2021-11-19 12:11:05.011 +0100,
37,Coturnix,2021-11-19 12:11:05.011 +0100,
38,Crinia,2021-11-19 12:11:05.011 +0100,
40,Cyclorana,2021-11-19 12:11:05.011 +0100,
41,Cygnus/Anseranas,2021-11-19 12:11:05.011 +0100,
42,Dactylopsila,2021-11-19 12:11:05.011 +0100,
43,Dasycercus,2021-11-19 12:11:05.011 +0100,
45,Dasyurus,2021-11-19 12:11:05.011 +0100,
46,Dendrolagus,2021-11-19 12:11:05.011 +0100,
47,Diporiphora,2021-11-19 12:11:05.011 +0100,
49,Distoechurus,2021-11-19 12:11:05.011 +0100,
50,Dobsonia,2021-11-19 12:11:05.011 +0100,
51,Dobsonia/Pteropus,2021-11-19 12:11:05.011 +0100,
53,Dorcopsulus,2021-11-19 12:11:05.011 +0100,
54,Dromaius,2021-11-19 12:11:05.011 +0100,
55,Dugong,2021-11-19 12:11:05.011 +0100,
56,Echymipera,2021-11-19 12:11:05.011 +0100,
58,Egretta,2021-11-19 12:11:05.011 +0100,
59,Etnabatrachus,2021-11-19 12:11:05.011 +0100,
60,Eudyptula,2021-11-19 12:11:05.011 +0100,
61,Falco,2021-11-19 12:11:05.011 +0100,
63,Gallinago,2021-11-19 12:11:05.011 +0100,
64,Gallinula,2021-11-19 12:11:05.011 +0100,
66,Genus indet.,2021-11-19 12:11:05.011 +0100,
67,Genyornis,2021-11-19 12:11:05.011 +0100,
68,Geocrinia,2021-11-19 12:11:05.011 +0100,
69,Grallina,2021-11-19 12:11:05.011 +0100,
71,Gymnorhina,2021-11-19 12:11:05.011 +0100,
72,Harpyopsis,2021-11-19 12:11:05.011 +0100,
74,Hieraaetus,2021-11-19 12:11:05.011 +0100,
75,Hipposideros,2021-11-19 12:11:05.011 +0100,
76,Hirundo,2021-11-19 12:11:05.011 +0100,
77,Hydromys,2021-11-19 12:11:05.011 +0100,
79,Hypsilurus,2021-11-19 12:11:05.011 +0100,
80,Invictokoala,2021-11-19 12:11:05.011 +0100,
81,Isoodon,2021-11-19 12:11:05.011 +0100,
82,Kurrabi,2021-11-19 12:11:05.011 +0100,
84,Lagorchestes,2021-11-19 12:11:05.011 +0100,
85,Lagostrophus,2021-11-19 12:11:05.011 +0100,
86,Lasiorhinus,2021-11-19 12:11:05.011 +0100,
88,Lechriodus,2021-11-19 12:11:05.011 +0100,
89,Leggadina,2021-11-19 12:11:05.011 +0100,
90,Leipoa,2021-11-19 12:11:05.011 +0100,
92,Litoria,2021-11-19 12:11:05.011 +0100,
93,Lymnodynastes,2021-11-19 12:11:05.011 +0100,
94,Macroderma,2021-11-19 12:11:05.011 +0100,
95,Macropus,2021-11-19 12:11:05.011 +0100,
97,Macropus (Osphranter),2021-11-19 12:11:05.011 +0100,
98,Macrotis,2021-11-19 12:11:05.011 +0100,
99,Macruromys,2021-11-19 12:11:05.011 +0100,
100,Malacorhynchus,2021-11-19 12:11:05.011 +0100,
102,Maokopia,2021-11-19 12:11:05.011 +0100,
103,Mastacomys,2021-11-19 12:11:05.011 +0100,
104,Megalibgwilia,2021-11-19 12:11:05.011 +0100,
105,Megapodius,2021-11-19 12:11:05.011 +0100,
107,Melomys,2021-11-19 12:11:05.011 +0100,
108,Melomys/Pogonomelomys,2021-11-19 12:11:05.011 +0100,
109,Mesembriomys,2021-11-19 12:11:05.011 +0100,
111,Micromurexia,2021-11-19 12:11:05.011 +0100,
112,Microperoryctes,2021-11-19 12:11:05.011 +0100,
113,Micropterus,2021-11-19 12:11:05.011 +0100,
115,Mirounga,2021-11-19 12:11:05.011 +0100,
116,Morelia,2021-11-19 12:11:05.011 +0100,
117,Murexia,2021-11-19 12:11:05.011 +0100,
118,Mus,2021-11-19 12:11:05.011 +0100,
120,Neobatrachus,2021-11-19 12:11:05.011 +0100,
121,Neophascogale,2021-11-19 12:11:05.011 +0100,
122,Ningaui,2021-11-19 12:11:05.011 +0100,
123,Ninox,2021-11-19 12:11:05.011 +0100,
125,Nototherium,2021-11-19 12:11:05.011 +0100,
126,Nyctimene,2021-11-19 12:11:05.011 +0100,
128,Nyctophilus,2021-11-19 12:11:05.011 +0100,
129,Ocyphaps,2021-11-19 12:11:05.011 +0100,
130,Onychogalea,2021-11-19 12:11:05.011 +0100,
132,Oryctolagus,2021-11-19 12:11:05.011 +0100,
133,Ovis,2021-11-19 12:11:05.011 +0100,
134,Pachyptila,2021-11-19 12:11:05.011 +0100,
135,Pallimnarchus,2021-11-19 12:11:05.011 +0100,
136,Palorchestes,2021-11-19 12:11:05.011 +0100,
138,Parantechinus,2021-11-19 12:11:05.011 +0100,
139,Perameles,2021-11-19 12:11:05.011 +0100,
141,Peroryctes,2021-11-19 12:11:05.011 +0100,
198,Thylacoleo,2021-11-19 12:11:05.011 +0100,
199,Thylogale,2021-11-19 12:11:05.011 +0100,
200,Tiliqua,2021-11-19 12:11:05.011 +0100,
201,Trichosurus,2021-11-19 12:11:05.011 +0100,
202,Trichosurus/Wyulda,2021-11-19 12:11:05.011 +0100,
203,Troposodon,2021-11-19 12:11:05.011 +0100,
204,Turnix,2021-11-19 12:11:05.011 +0100,
205,Tympanocryptis,2021-11-19 12:11:05.011 +0100,
206,Tyto,2021-11-19 12:11:05.011 +0100,
207,Uromys,2021-11-19 12:11:05.011 +0100,
208,Uromys/Melomys,2021-11-19 12:11:05.011 +0100,
209,Varanus,2021-11-19 12:11:05.011 +0100,
210,Vombatus,2021-11-19 12:11:05.011 +0100,
211,Wallabia,2021-11-19 12:11:05.011 +0100,
-9991,NA,2021-11-19 12:11:05.011 +0100,
-9999,ND,2021-11-19 12:11:05.011 +0100,
2,Acrobates,2021-11-19 12:11:05.011 +0100,
1,Abeomelomys,2021-11-19 12:11:05.011 +0100,
3,Aepypodius,2021-11-19 12:11:05.011 +0100,
8,Anhinga,2021-11-19 12:11:05.011 +0100,
12,Antechinus,2021-11-19 12:11:05.011 +0100,
16,Aythya,2021-11-19 12:11:05.011 +0100,
21,Borungaboodie,2021-11-19 12:11:05.011 +0100,
25,Casuarius,2021-11-19 12:11:05.011 +0100,
29,Chelodina,2021-11-19 12:11:05.011 +0100,
33,Cinclorhamphus,2021-11-19 12:11:05.011 +0100,
39,Cyclodomorphus,2021-11-19 12:11:05.011 +0100,
44,Dasyuroides,2021-11-19 12:11:05.011 +0100,
48,Diprotodon,2021-11-19 12:11:05.011 +0100,
52,Dorcopsis,2021-11-19 12:11:05.011 +0100,
57,Egernia,2021-11-19 12:11:05.011 +0100,
62,Fulica,2021-11-19 12:11:05.011 +0100,
65,Gallus,2021-11-19 12:11:05.011 +0100,
70,Grus,2021-11-19 12:11:05.011 +0100,
73,Hemisphaeriodon,2021-11-19 12:11:05.011 +0100,
78,Hyomys,2021-11-19 12:11:05.011 +0100,
83,Kyarranus,2021-11-19 12:11:05.011 +0100,
87,Lathamus,2021-11-19 12:11:05.011 +0100,
91,Leporillus,2021-11-19 12:11:05.011 +0100,
96,Macropus (Notamacropus),2021-11-19 12:11:05.011 +0100,
101,Mallomys,2021-11-19 12:11:05.011 +0100,
106,Meiolania,2021-11-19 12:11:05.011 +0100,
110,Metasthenurus,2021-11-19 12:11:05.011 +0100,
114,Miniopterus,2021-11-19 12:11:05.011 +0100,
119,Myrmecobius,2021-11-19 12:11:05.011 +0100,
124,Notomys,2021-11-19 12:11:05.011 +0100,
127,Nyctimystes,2021-11-19 12:11:05.011 +0100,
131,Ornithorhynchus,2021-11-19 12:11:05.011 +0100,
137,Parahydromys,2021-11-19 12:11:05.011 +0100,
140,Perameles/Isoodon,2021-11-19 12:11:05.011 +0100,
142,Petauroides,2021-11-19 12:11:05.011 +0100,
143,Petaurus,2021-11-19 12:11:05.011 +0100,
144,Petrochelidon,2021-11-19 12:11:05.011 +0100,
145,Petrogale,2021-11-19 12:11:05.011 +0100,
146,Petropseudes,2021-11-19 12:11:05.011 +0100,
147,Pezoporus,2021-11-19 12:11:05.011 +0100,
148,Phalanger,2021-11-19 12:11:05.011 +0100,
149,Phalocrocorax,2021-11-19 12:11:05.011 +0100,
150,Phascogale,2021-11-19 12:11:05.011 +0100,
151,Phascolarctos,2021-11-19 12:11:05.011 +0100,
152,Phascolonus,2021-11-19 12:11:05.011 +0100,
153,Physignathus,2021-11-19 12:11:05.011 +0100,
154,Planigale,2021-11-19 12:11:05.011 +0100,
155,Pogona,2021-11-19 12:11:05.011 +0100,
156,Pogonomelomys,2021-11-19 12:11:05.011 +0100,
157,Pogonomys,2021-11-19 12:11:05.011 +0100,
158,Porzana,2021-11-19 12:11:05.011 +0100,
159,Potorous,2021-11-19 12:11:05.011 +0100,
160,Prionotemnus,2021-11-19 12:11:05.011 +0100,
161,Procoptodon,2021-11-19 12:11:05.011 +0100,
162,Progura,2021-11-19 12:11:05.011 +0100,
163,Propleopus,2021-11-19 12:11:05.011 +0100,
164,Protemnodon,2021-11-19 12:11:05.011 +0100,
165,Pseudocheirops,2021-11-19 12:11:05.011 +0100,
166,Pseudocheirus,2021-11-19 12:11:05.011 +0100,
167,Pseudochirulus,2021-11-19 12:11:05.011 +0100,
168,Pseudokoala,2021-11-19 12:11:05.011 +0100,
169,Pseudomys,2021-11-19 12:11:05.011 +0100,
