"SPECIESID","SPECIES","CREATED_AT","UPDATED_AT"
4,aitkeni,2021-11-19 12:11:05.011 +0100,
5,alba,2021-11-19 12:11:05.011 +0100,
6,albipes,2021-11-19 12:11:05.011 +0100,
8,albopunctatus,2021-11-19 12:11:05.011 +0100,
9,altus,2021-11-19 12:11:05.011 +0100,
10,anak,2021-11-19 12:11:05.011 +0100,
12,andersoni,2021-11-19 12:11:05.011 +0100,
13,antilopinus,2021-11-19 12:11:05.011 +0100,
14,apicalis,2021-11-19 12:11:05.011 +0100,
15,apodemoides,2021-11-19 12:11:05.011 +0100,
17,argurus,2021-11-19 12:11:05.011 +0100,
18,aries,2021-11-19 12:11:05.011 +0100,
19,arnhemensis,2021-11-19 12:11:05.011 +0100,
20,asper,2021-11-19 12:11:05.011 +0100,
22,auratus,2021-11-19 12:11:05.011 +0100,
23,auritus,2021-11-19 12:11:05.011 +0100,
25,australis/shortridgei,2021-11-19 12:11:05.011 +0100,
26,azael,2021-11-19 12:11:05.011 +0100,
27,baileyi,2021-11-19 12:11:05.011 +0100,
29,barbatus,2021-11-19 12:11:05.011 +0100,
30,baudinianus,2021-11-19 12:11:05.011 +0100,
31,benigora,2021-11-19 12:11:05.011 +0100,
33,bicolor,2021-11-19 12:11:05.011 +0100,
34,bilineata,2021-11-19 12:11:05.011 +0100,
35,billardierii,2021-11-19 12:11:05.011 +0100,
36,bolami,2021-11-19 12:11:05.011 +0100,
38,brachyotis,2021-11-19 12:11:05.011 +0100,
39,brachyurus,2021-11-19 12:11:05.011 +0100,
40,brehus,2021-11-19 12:11:05.011 +0100,
42,browneorum,2021-11-19 12:11:05.011 +0100,
43,browni,2021-11-19 12:11:05.011 +0100,
44,brubidgei,2021-11-19 12:11:05.011 +0100,
46,bruijni goodfellowi,2021-11-19 12:11:05.011 +0100,
47,brunii,2021-11-19 12:11:05.011 +0100,
48,bulmerae,2021-11-19 12:11:05.011 +0100,
49,burtoni,2021-11-19 12:11:05.011 +0100,
51,carbo,2021-11-19 12:11:05.011 +0100,
52,carmelitae,2021-11-19 12:11:05.011 +0100,
53,carnifex,2021-11-19 12:11:05.011 +0100,
55,caudatus,2021-11-19 12:11:05.011 +0100,
56,caudimaculatus,2021-11-19 12:11:05.011 +0100,
