CHEMTYPEID,CHEMTYPE,CHEMTYPEAB,CREATED_AT,UPDATED_AT
-9999,no data,ND,2021-11-19 12:11:05.011 +0100,
-9991,not applicable,NA,2021-11-19 12:11:05.011 +0100,
1,Acid-alkali-acid and decalcification,AAA_decal,2021-11-19 12:11:05.011 +0100,
2,ABA_BC technique,ABA-BC,2021-11-19 12:11:05.011 +0100,
3,Acid-base-oxidation stepped combustion,ABOx-SC,2021-11-19 12:11:05.011 +0100,
4,Acetic acid treatment,Acetic,2021-11-19 12:11:05.011 +0100,
5,Alkali wash,Alkali_wash,2021-11-19 12:11:05.011 +0100,
6,Etching,Etch,2021-11-19 12:11:05.011 +0100,
7,Filtration,Filtration,2021-11-19 12:11:05.011 +0100,
8,Gelatinisation,Gelatinisation,2021-11-19 12:11:05.011 +0100,
9,Hydrochloric acid etching,HCl_etch,2021-11-19 12:11:05.011 +0100,
10,Hydrocloric acid wash,HCl_wash,2021-11-19 12:11:05.011 +0100,
11,Treatment with HCl and NaOH,"HCl,NaOH",2021-11-19 12:11:05.011 +0100,
12,Leaching,Leach,2021-11-19 12:11:05.011 +0100,
13,Boiling in saturated NaCl solution,NaCl_boil,2021-11-19 12:11:05.011 +0100,
14,no treatment,No,2021-11-19 12:11:05.011 +0100,
15,not reported,Not_rep,2021-11-19 12:11:05.011 +0100,
16,Ultrafiltration,Ultra,2021-11-19 12:11:05.011 +0100,
17,Wash,Wash,2021-11-19 12:11:05.011 +0100,
18,for other treatment (see attachment),Other,2021-11-19 12:11:05.011 +0100,
