FOSMAT1ID,FOSMAT1,FOSMAT1ABB,CREATED_AT,UPDATED_AT
-9999,no data,ND,2021-11-19 12:11:05.011 +0100,
-9991,not applicable,NA,2021-11-19 12:11:05.011 +0100,
1,Bone,Bone,2021-11-19 12:11:05.011 +0100,
2,Bulk bone,Bone_bulk,2021-11-19 12:11:05.011 +0100,
3,Multiple bones,Bone_mult,2021-11-19 12:11:05.011 +0100,
4,Calcite filling in bone,Calc_bone,2021-11-19 12:11:05.011 +0100,
5,Calcite straw (reworked in bone breccia),Calc_straw,2021-11-19 12:11:05.011 +0100,
6,Calcite within tooth,Calc_tooth,2021-11-19 12:11:05.011 +0100,
7,Carcass remains,Carcass,2021-11-19 12:11:05.011 +0100,
8,Calcite cement,Cement,2021-11-19 12:11:05.011 +0100,
9,Charcoal,Charcoal,2021-11-19 12:11:05.011 +0100,
10,Diprotodon crop content,Dipto_crop,2021-11-19 12:11:05.011 +0100,
11,Eggshell,Eggshell,2021-11-19 12:11:05.011 +0100,
12,Fireplace,Fireplace,2021-11-19 12:11:05.011 +0100,
13,Fish otolith,Fish_olth,2021-11-19 12:11:05.011 +0100,
14,Flowstone,Flow,2021-11-19 12:11:05.011 +0100,
15,Flowstone (oldest),Flow_old,2021-11-19 12:11:05.011 +0100,
16,Flowstone straw,Flow_straw,2021-11-19 12:11:05.011 +0100,
17,Flowstone (youngest),Flow_young,2021-11-19 12:11:05.011 +0100,
18,Gut content,Gut,2021-11-19 12:11:05.011 +0100,
19,Sarcophilus hair,Hair_sarco,2021-11-19 12:11:05.011 +0100,
20,Midden,Midden,2021-11-19 12:11:05.011 +0100,
21,Carbonate nodule,Nodule,2021-11-19 12:11:05.011 +0100,
22,Plant remains,Plant,2021-11-19 12:11:05.011 +0100,
23,Post-depositional formation,Post-deposit,2021-11-19 12:11:05.011 +0100,
24,Sediment,Sed,2021-11-19 12:11:05.011 +0100,
25,Shell,Shell,2021-11-19 12:11:05.011 +0100,
26,Marine shell,Shell_mare,2021-11-19 12:11:05.011 +0100,
27,Skull,Skull,2021-11-19 12:11:05.011 +0100,
28,Skull (dentary),Skull_dnty,2021-11-19 12:11:05.011 +0100,
29,Skull (maxilla),Skull_max,2021-11-19 12:11:05.011 +0100,
30,Snail shell,Snail,2021-11-19 12:11:05.011 +0100,
31,Speleothem,Speleo,2021-11-19 12:11:05.011 +0100,
32,Coralline speleothem,Speleo_coral,2021-11-19 12:11:05.011 +0100,
33,Tooth,Tooth,2021-11-19 12:11:05.011 +0100,
34,Wood,Wood,2021-11-19 12:11:05.011 +0100,
35,for other,Other,2021-11-19 12:11:05.011 +0100,
