FOS_MTDSID,FOS_MTDSUB,FOS_MTDSAB,CREATED_AT,UPDATED_AT
-9999,ND,ND,2021-11-19 12:11:05.011 +0100,
-9991,NA,NA,2021-11-19 12:11:05.011 +0100,
1,Accelerator Mass Spectroscopy,AMS,2021-11-19 12:11:05.011 +0100,
2,C13 adjusted,C13_adj,2021-11-19 12:11:05.011 +0100,
3,Early uptake ESR,EU,2021-11-19 12:11:05.011 +0100,
4,Inductively Coupled Plasma Mass Spectrometry,ICP-MS,2021-11-19 12:11:05.011 +0100,
5,Linear uptake ESR,LU,2021-11-19 12:11:05.011 +0100,
6,Multicollector ICP-MS,MC-ICP-MS,2021-11-19 12:11:05.011 +0100,
7,Thermal Ionization Mass Spectrometry,TIMS,2021-11-19 12:11:05.011 +0100,
8,Thermally-transferred,TT,2021-11-19 12:11:05.011 +0100,
