"OAID","AUTH","FORENAME","INITIALS","ORCID","SCOPUSID","WSCC_RESID","AUTH_COMMT","CREATED_AT","UPDATED_AT","AUTH_URL","URL_DATE"
OAID-000004,Aguilar,Germán,G.,"0000-0002-3926-835X","36624833300",P-7681-2014,,2021-11-19 12:11:05.011 +0100,,,
OAID-000006,Ansberque,Claire,C.,"0000-0003-4602-6911","56724222600",,,2021-11-19 12:11:05.011 +0100,2022-07-07 10:03:48.699 +0200,,
OAID-000008,Balco,Greg,G.,,"6508182808",,,2021-11-19 12:11:05.011 +0100,2022-07-07 10:03:49.294 +0200,,
OAID-000009,Barreto,Helen N.,H. N.,,"55638166000",,,2021-11-19 12:11:05.011 +0100,2022-07-07 10:03:49.593 +0200,,
OAID-000082,Hu,Kai,K.,,,,,2021-11-19 12:11:05.011 +0100,2023-11-11 19:42:05.144 +0100,,
OAID-000012,Bestland,Erick A.,E. A.,"0000-0001-8424-9150","6602741368",F-1311-2015,,2021-11-19 12:11:05.011 +0100,,,
OAID-000013,Bierman,Paul R.,P. R.,"0000-0001-9627-4601","7006832233",AAA-9466-2020,,2021-11-19 12:11:05.011 +0100,,,
OAID-000010,Bellin,Nicolas,N.,,"25653815300",,,2021-11-19 12:11:05.011 +0100,2022-07-07 10:01:48.674 +0200,,
OAID-000016,Brown,Erik Thorson,E. T.,"0000-0001-7154-2729","35566488900",,,2021-11-19 12:11:05.011 +0100,,,
OAID-000014,Binnie,Steven A.,S. A.,"0000-0003-0883-0212","23003805700",,,2021-11-19 12:11:05.011 +0100,2022-07-07 10:01:08.681 +0200,,
OAID-000018,Burdis,Abby Jade,A. J.,,,,,2021-11-19 12:11:05.011 +0100,,,
OAID-000019,Buscher,Jamie T.,J. T.,"0000-0002-9089-4102","6506386026",M-2315-2016,,2021-11-19 12:11:05.011 +0100,,,
OAID-000021,Callahan,Russell P.,R. P.,"0000-0002-0091-3446","57210793869",,,2021-11-19 12:11:05.011 +0100,2022-07-07 09:55:49.728 +0200,,
OAID-000023,Cazes,Gaël,G.,,"57192676939",,,2021-11-19 12:11:05.011 +0100,2022-07-07 09:55:50.325 +0200,,
OAID-000025,Chappell,John M. A.,J. M. A.,,"7102682272",,,2021-11-19 12:11:05.011 +0100,2022-07-07 09:55:50.920 +0200,,
