"JOURNALID","JOURNAL","JOURNALABB","PRINT_ISSN","ONLIN_ISSN","CREATED_AT","UPDATED_AT"
1,"Advances in Earth Science","Adv_Earth_Sci","","1001-912X","2021-11-19 12:11:05.011 +0100",""
2,"American Journal of Science","Am_J_Sci","0002-9599","1945-452X","2021-11-19 12:11:05.011 +0100","2023-03-27 10:51:35.027 +0200"
3,"Basin Research","Basin_Res","0950-091X","1365-2117","2021-11-19 12:11:05.011 +0100",""
4,"Earth and Planetary Science Letters","Earth_Planet_Sc_Lett","0012-821X","1385-013X","2021-11-19 12:11:05.011 +0100",""
5,"Earth-Science Reviews","Earth-Sci_Rev","0012-8252","1872-6828","2021-11-19 12:11:05.011 +0100",""
6,"Earth Surface Dynamics","Earth_Surf_Dynamics","2196-6311","2196-632X","2021-11-19 12:11:05.011 +0100",""
7,"Earth Surface Processes and Landforms","Earth_Surf_Proc_Land","0197-9337","1096-9837","2021-11-19 12:11:05.011 +0100",""
8,"Geochimica et Cosmochimica Acta","Geochim_Cosmochim_Ac","0016-7037","1872-9533","2021-11-19 12:11:05.011 +0100",""
9,"Geological Society of America Bulletin","Geol_Soc_Am_Bull","0016-7606","1943-2674","2021-11-19 12:11:05.011 +0100",""
10,"Geological Society, London, Special Publications","Geol_Soc_London_Spec_Pub","","2041-4927","2021-11-19 12:11:05.011 +0100",""
11,"Geology","Geology","0091-7613","1943-2682","2021-11-19 12:11:05.011 +0100",""
12,"Geomorphology","Geomorphology","0169-555X","1872-695X","2021-11-19 12:11:05.011 +0100",""
13,"Geophysical Research Letters","Geophys_Res_Lett","0094-8276","1944-8007","2021-11-19 12:11:05.011 +0100",""
14,"Geosphere","Geosphere","","1553-040X","2021-11-19 12:11:05.011 +0100",""
15,"Global and Planetary Change","Global_Planet_Change","0921-8181","1872-6364","2021-11-19 12:11:05.011 +0100",""
16,"GSA Today","GSA_Today","1052-5173","1943-2690","2021-11-19 12:11:05.011 +0100",""
17,"International Journal of Earth Sciences","Int_J_Earth_Sci","1437-3254","1437-3262","2021-11-19 12:11:05.011 +0100",""
18,"Journal of Asian Earth Sciences","J_Asian_Earth_Sci","1367-9120","1878-5786","2021-11-19 12:11:05.011 +0100",""
19,"Journal of Geophysical Research: Earth Surface","J_Geophys_Res-Earth","2169-9003","2169-9011","2021-11-19 12:11:05.011 +0100",""
20,"Journal of Human Evolution","J_Hum_Evol","0047-2484","1095-8606","2021-11-19 12:11:05.011 +0100",""
21,"Journal of Mountain Science","J_Mt_Sci","1672-6316","1993-0321","2021-11-19 12:11:05.011 +0100",""
22,"Journal of South American Earth Sciences","J_S_Am_Earth_Sci","0895-9811","1873-0647","2021-11-19 12:11:05.011 +0100",""
23,"Journal of the Geological Society","J_Geol_Soc_London","0016-7649","2041-479X","2021-11-19 12:11:05.011 +0100",""
