"PUBTYPEID","PUBTYPE","CREATED_AT","UPDATED_AT"
1,article,2021-11-19 12:11:05.011 +0100,
2,book,2021-11-19 12:11:05.011 +0100,
3,booklet,2021-11-19 12:11:05.011 +0100,
4,conference,2021-11-19 12:11:05.011 +0100,
5,inbook,2021-11-19 12:11:05.011 +0100,
6,incollection,2021-11-19 12:11:05.011 +0100,
7,inproceedings,2021-11-19 12:11:05.011 +0100,
8,manual,2021-11-19 12:11:05.011 +0100,
9,mastersthesis,2021-11-19 12:11:05.011 +0100,
10,misc,2021-11-19 12:11:05.011 +0100,
11,phdthesis,2021-11-19 12:11:05.011 +0100,
12,proceedings,2021-11-19 12:11:05.011 +0100,
13,techreport,2021-11-19 12:11:05.011 +0100,
14,unpublished,2021-11-19 12:11:05.011 +0100,
15,pers_comm,2021-11-19 12:11:05.011 +0100,
16,online,2022-12-09 15:47:14.621 +0100,2022-12-09 15:47:25.743 +0100
