REFDBID,ABSTRACT,CREATED_AT,UPDATED_AT
Abbuehl:2010peruvian,"High magnitude precipitation events provide large contributions to landscape formation and surface denudation in arid environments. Here, we quantify the precipitation-dependent geomorphic processes within the Rio Piura drainage basin located on the Western Escarpment of the northern Peruvian Andes at 5°S latitude. In this region, monsoonal easterly winds bring precipitation to the > 3000 m asl high headwaters, from where the annual amount of precipitation decreases downstream toward the Pacific coast. Denudation rates are highest in the knickzones near the headwaters, ~ 200–300 mm ky− 1, and sediment discharge is limited by the transport capacity of the channel network. Every few years, this situation is perturbed by westerly, wind-driven heavy precipitation during El Niño events and results in supply-limited sediment discharge as indicated by bedrock channels. ... [_truncated_]",2021-11-19 12:11:05.011 +0100,2023-01-11 09:28:34.866 +0100
Abbuhl:2009zero,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Abrahami:2016sikkim,"Understanding the relative strengths of tectonic and climatic forcing on erosion at different spatial and temporal scales is important to understand the evolution of orogenic topography. To address this question, we quantified exhumation rates at geological timescales and erosion rates at millennial timescales in modern river sands from 10 sub-catchments of the Tista River drainage basin in the Sikkim Himalaya (northeast India) using detrital apatite fission-track thermochronology and cosmogenic 10Be analyses, respectively. We compare these rates to several potential geomorphic or climatic forcing parameters. Our results show that millennial erosion rates are generally higher and spatially more variable than long-term exhumation rates in Sikkim. They also show strongly contrasting spatial patterns, suggesting that the processes controlling these rates are decoupled. ... [_truncated_]",2021-11-19 12:11:05.011 +0100,2023-01-11 09:28:35.160 +0100
Abramowski:2004nepal,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Abramowski:2006pamir,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Ackert:2007divide,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Ackert:2008patagonian,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Ackert:2011ohio,ND,2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Acosta:201vegetation,"The mechanisms by which climate and vegetation affect erosion rates over various time scales lie at the heart of understanding landscape response to climate change. Plot-scale field experiments show that increased vegetation cover slows erosion, implying that faster erosion should occur under low to moderate vegetation cover. However, demonstrating this concept over long time scales and across landscapes has proven to be difficult, especially in settings complicated by tectonic forcing and variable slopes. We investigate this problem by measuring cosmogenic 10Be-derived catchment-mean denudation rates across a range of climate zones and hillslope gradients in the Kenya Rift, and by comparing our results with those published from the Rwenzori Mountains of Uganda. We find that denudation rates from sparsely vegetated parts of the Kenya Rift are up to 0.13 mm/yr, while those from humid and more densely vegetated parts of the Kenya Rift flanks and the Rwenzori Mountains reach a maximum of 0.08 mm/yr, despite higher median hillslope gradients. While differences in lithology and recent land-use changes likely affect the denudation rates and vegetation cover values in some of our studied catchments, hillslope gradient and vegetation cover appear to explain most of the variation in denudation rates across the study area. Our results support the idea that changing vegetation cover can contribute to complex erosional responses to climate or land-use change and that vegetation cover can play an important role in determining the steady-state slopes of mountain belts through its stabilizing effects on the land surface.",2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Adams:2016bhutan,"Prior studies have proposed tectonic and climatic mechanisms to explain surface uplift throughout the Bhutan Himalaya. While the resulting enigmatic, low‐relief landscapes, elevated above deeply incised canyons, are a popular setting to test ideas of interacting tectonic and climatic forces, when and why these landscapes formed is still debated. We test the idea that these landscapes were created by a spatially variable and recent increase in rock uplift rate associated with the formation of structural duplexes at depth. We utilize a new suite of erosion rates derived from detrital cosmogenic nuclide techniques, geomorphic observations, and a landscape evolution model to demonstrate the viability of this hypothesis. Low‐relief landscapes in Bhutan are eroding at a rate of ~70 m/Ma, while basins from surrounding steep landscapes yield erosion rates of ~950 m/Ma, demonstrating that this portion of the range is in a transient period of increasing relief. Applying insights from our erosion rates, we explore the influence of an active duplex on overlying topography using a landscape evolution model by imposing a high rock uplift rate in the middle of a mountain range. Our simulations show that low‐relief landscapes with thick alluvial fills form upstream of convex knickpoints as rivers adjust to higher uplift rates downstream, a pattern consistent with geologic, geomorphic, and thermochronometric data from Bhutan. With our new erosion rates, reconstructed paleo‐river profiles, and landscape evolution simulations, we show that the low‐relief landscapes were formed in situ as they were uplifted ~800 m in the past ~0.8–1 Ma.",2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Adams:2018holocene,"Recent work has highlighted a strong, worldwide, alpine glacial impact on orogen erosion rates over the last 2 Ma. While it may be assumed that glaciers increased erosion rates when active, the degree to which past glaciations influence Holocene erosion rates through the adjustment of topography is not known. In this study, we investigate the influence of long-term tectonic and post-glacial topographic controls on erosion in a glaciated orogen: the Olympic Mountains, USA. We present 14 new 10Be and 26Al analyses which constrain Holocene erosion rates across the Olympic Mountains. Basin-averaged erosion rates scale with basin-averaged values of 5 km local relief, channel steepness, and hillslope angle throughout the range, similar to observations from non-glaciated orogens. These erosion rates are not related to mean annual precipitation or the marked change in Pleistocene alpine glacier size across the range, implying that glacier modification of topography and modern precipitation parameters do not exert strong controls on these rates. Rather, we find that despite spatial variations in glacial modification of topography, patterns of recent erosion are similar to those from estimates of long-term tectonic rock uplift. This is consistent with a tectonic model where erosion and rock uplift patterns are controlled by the deformation of the Cascadia subduction zone.",2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Adams:2020climate,"The ongoing debate about the nature of coupling between climate and tectonics in mountain ranges derives, in part, from an imperfect understanding of how topography, climate, erosion, and rock uplift are interrelated. Here, we demonstrate that erosion rate is nonlinearly related to fluvial relief with a proportionality set by mean annual rainfall. These relationships can be quantified for tectonically active landscapes, and calculations based on them enable estimation of erosion where observations are lacking. Tests of the predictive power of this relationship in the Himalaya, where erosion is well constrained, affirm the value of our approach. Our model allows estimation of erosion rates in fluvial landscapes using readily available datasets, and the underlying relationship between erosion and rainfall offers the promise of a deeper understanding of how climate and tectonic evolution affect erosion and topography in space and time and of the potential influence of climate on tectonics.",2021-11-19 12:11:05.011 +0100,2022-07-10 14:04:40.403 +0200
Adams:2020community,"Bioarchaeological research in Australia has lagged behind that in other regions due to understandable concerns arising from the disregard of Indigenous Australians rights over their ancestors‘ remains. To improve this situation, bioarchaeologists working in Australia need to employ more community-oriented approaches to research. This paper reports a project in which we employed such an approach. The project focused on burials in the Flinders Group, Queensland. Traditional Owners played a key role in the excavations and helped devise analyses that would deliver both scientific contributions and socially relevant outcomes. The fieldwork and laboratory analyses yielded a number of interesting results. Most significantly, they revealed that the pattern of mortuary practices recorded by ethnographers in the region in the early 20th century - complex burial of powerful people and simple interment of less important individuals - has a time depth of several hundred years or more. More generally, the project shows that there can be fruitful collaboration between archaeologists and Indigenous communities in relation to the excavation and scientific analysis of Aboriginal ancestral remains.",2022-07-10 16:01:09.673 +0200,2022-07-10 14:04:40.403 +0200
Adeleye:2021bridge,"The Last Glacial Maximum (LGM) remains an enigmatic period in southeast Australia due to the limited spatial and temporal resolution of its palaeoclimatic records. A major feature of the LGM landscape was the existence of the Bassian Land Bridge, joining Tasmania with the mainland of Australia during periods of low sea level, and potentially facilitating increased biotic movement between these regions. To better understand biogeographical changes on the land bridge and in southeast Australia generally during the LGM, we present a 35 ka-year palaeoecological record from one of the larger islands of Bass Strait.",2022-07-10 16:01:09.673 +0200,2022-07-10 14:04:40.403 +0200
Adeleye:2021furneaux,"Indigenous land use and climate have shaped fire regimes in southeast Australia during the Holocene, although their relative influence remains unclear. The archaeologically attested mid-Holocene decline in land-use intensity on the Furneaux Group islands (FGI) relative to mainland Tasmanian and SE Australia presents a natural experiment to identify the roles of climate and anthropogenic land use. We reconstruct two key facets of regional fire regimes, biomass (vegetation) burned (BB) and recurrence rate of fire episodes (RRFE), by using total charcoal influx and charcoal peaks in palaeoecological records, respectively. Our results suggest climate-driven biomass accumulation and dryness-controlled BB across southeast Australia during the Holocene. Insights from the FGI suggest people elevated the recurrence rate of fire episodes through frequent cultural burning during the early Holocene and reduction in recurrent Indigenous cultural burning during the mid--late Holocene led to increases in BB. These results provide long-term evidence of the effectiveness of Indigenous cultural burning in reducing biomass burned and may be effective in stabilizing fire regimes in flammable landscapes in the future.",2023-07-22 06:51:38.269 +0200,
Adeleye:2021heathland,"Understanding long-term heathland development is key in mitigating their current attrition globally. However, such knowledge is limited in Australia and the wider Southern Hemisphere. We aim to identify potential climatic and environmental drivers of Holocene heathland development in temperate-oceanic Australia (Bass Strait), and also assess the applicability of Iversen‘s conceptual model of interglacial vegetation development to the area.",2022-07-10 16:01:09.673 +0200,2022-07-10 14:04:40.403 +0200
