"REFDBID","OAID","REFDOI","AUTHORS","TITLE","PUBTYPEID","JOURNALID","VOLUME","NUMBER","PAGES","YEAR","ADDRESS","NOTE","URL","BOOKTITLE","CHAPTER","EDITOR","PUBLISHER","INSTITUTION","SCHOOL","CREATED_AT","UPDATED_AT"
AIAS:1965report,OAID-000980,,AIAS,Australian Institute of Aboriginal Studies Report for the period 2nd June 1964 - 30th June 1965,13,,,,,1965,,Report for the period 2/06/1964-30/06/1965,https://catalogue.nla.gov.au/Record/1409175,,,,,Australian Institute of Aboriginal Studies,,2022-07-19 11:16:05.257 +0200,
Alfredson:1983helena,OAID-000951,"10.1080/03122417.1983.12092912","Alfredson, Gillian",St Helena Island - A Changing Pattern of Exploitation?,1,56,"17","1","79--86",1983,,,https://www.jstor.org/stable/40286833,,,,,,,2022-07-19 11:16:05.257 +0200,
Attenbrow:2003mangrove,OAID-000196,"10.1080/03122417.2003.11681759","Attenbrow, Val","Habitation and land use patterns in the Upper Mangrove Creek catchment, New South Wales central coast, Australia",1,56,"57","1","20--31",2003,,,,,,,,,,2022-07-19 11:16:05.257 +0200,
Abrahami:2016sikkim,OAID-000002,"10.1016/j.epsl.2015.10.039","Abrahami, Rachel; van der Beek, Peter A.; Huyghe, Pascale; Hardwick, Elisabeth; Carcaillet, Julien",Decoupling of long-term exhumation and short-term erosion rates in the Sikkim Himalaya,1,4,"433",C,"76--88",2016,,,,,,,Elsevier,,,2021-11-19 12:11:05.011 +0100,
Adams:2016bhutan,OAID-000003,"10.1002/2015jf003508","Adams, Byron A.; Whipple, Kelin X.; Hodges, Kip V.; Heimsath, Arjun M.","In situ development of high-elevation, low-relief landscapes via duplex deformation in the Eastern Himalayan hinterland, Bhutan",1,19,"121","2","294--319",2016,,,,,,,American Geophysical Union (AGU),,,2021-11-19 12:11:05.011 +0100,
Adams:2018holocene,OAID-000003,"10.5194/esurf-6-595-2018","Adams, Byron A.; Ehlers, Todd A.",Tectonic controls of Holocene erosion in a glaciated orogen,1,6,"6","3","595--610",2018,,,,,,,,,,2021-11-19 12:11:05.011 +0100,
Adams:2020climate,OAID-000003,"10.1126/sciadv.aaz3166","Adams, B. A.; Whipple, K. X.; Forte, A. M.; Heimsath, A. M.; Hodges, K. V.",Climate controls on erosion in tectonically active landscapes,1,167,"6","42",eaaz3166,2020,,,,,,,,,,2021-11-19 12:11:05.011 +0100,
Aguilar:2014huasco,OAID-000004,"10.1016/j.quageo.2013.01.011","Aguilar, Germán; Carretier, Sébastien; Regard, Vincent; Vassallo, R.; Riquelme, R.; Martinod, J.","Grain size-dependent 10Be concentrations in alluvial stream sediment of the Huasco Valley, a semi-arid Andes region",1,30,"19",,"163--172",2014,,,,,,,Elsevier,,,2021-11-19 12:11:05.011 +0100,
Andermann:2011nepal,OAID-000005,,"Andermann, Christoff","Climate, topography and erosion in the Nepal Himalayas",11,,,,"173",2011,,,https://tel.archives-ouvertes.fr/tel-00674919/document,,,,Université Rennes 1,Université Rennes 1,Université Rennes 1,2021-11-19 12:11:05.011 +0100,
Arkle:2017trinidad,OAID-000007,"10.1016/j.geomorph.2017.07.013","Arkle, Jeanette C.; Owen, Lewis A.; Weber, John; Caffee, Marc W.; Hammer, Sarah","Transient Quaternary erosion and tectonic inversion of the Northern Range, Trinidad",1,12,"295",,"337--353",2017,,,,,,,,,,2021-11-19 12:11:05.011 +0100,
