UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC
1,PAL00151,Aguai Ramata_core1,AGUAI,5,-9999,111,,2.9,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
2,PAL00152,Aire Crossing_core1,AIRECROSS,5,-9999,28,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
3,PAL00153,X77/50,AJAX,5,14,84,01.01.77,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
4,PAL00154,Ajkwa Estuary core 3,AJKWA3,5,20,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
5,PAL00155,Ajkwa Estuary core 4,AJKWA4,5,20,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
6,PAL00156,Ajkwa Estuary core 5,AJKWA5,5,20,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
7,PAL00157,Alexandra Cave ALEX,ALEX,5,7,110,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
8,PAL00049,Allom Lake_core1,ALLOM,5,19,111,01.07.03,3.7,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
9,PAL00119,Aluaipugua core 2,ALUAIPUGUA,5,14,84,1989,-9999.99,ALUAIPUGUA,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
10,PAL00158,Anggi Lake_core1,ANGGILK,5,-9999,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
11,PAL00159,Apple Orchard Lagoon_core1,APPLELGN,5,-9999,111,01.12.19,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
12,PAL00093,Argan Swamp_core1,ARGANSWP,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
13,PAL00160,Awanui_core1,AWANUI,5,21,84,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
14,PAL00161,Badu 15_core1,BADU15,5,14,29,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
15,PAL00094,Bar 20_core1,BAR20,5,14,111,,0.625,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
16,PAL00064,Barker Swamp BSC BSCX composite,BARKERSWP,5,19,111,01.12.03,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
17,PAL00062,TAS1104,TAS1104,5,19,111,01.01.11,5.2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
18,PAL00095,Bega Swamp_core1,BEGASWP,14,40,84,,-9999.99,BEGASWAM,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
19,PAL00023,Bells Lagoon_core1,BELLSLGN,5,19,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
20,PAL00162,Ben Dhu_core1,BENDHU,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
21,PAL00083,Big Reedy Lagoon_core1,BIGREEDY,5,14,111,08.12.17,-9999.99,BIGREEDY,For more information on site/data contact Matthew Adeleye or Simon Haberle,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
22,PAL00011,Big Willum BW01,BW01,5,-9999,111,01.08.11,4,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
23,PAL00012,Big Willum BW03,BW03,5,19,111,01.08.11,4,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
24,PAL00013,BWIL2,BWIL2,5,41,111,01.07.17,3.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
25,PAL00163,Bishops Swamp core BS1,BS1,5,20,84,18.11.09,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
26,PAL00164,Black Creek Swamp Bone Bed trench section B6 East,BLACKCKTR,6,5,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
27,PAL00164,Black Creek Swamp pollen core,BLACKCK,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
28,PAL00112,Black Springs BSP00,BSP00,5,-9999,116,01.07.05,-9999.99,,COREDATE source is IPPD,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
29,PAL00112,Black Springs BSP02,BSP02,5,14,116,01.06.15,-9999.99,BSP02,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
30,PAL00096,Black Swamp_core1,BLACKSWP,5,-9999,84,,-9999.99,BLACKSW,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
31,PAL00165,Blackwater Lake_core1,BLACKWLK,5,-9999,111,2008,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
32,PAL00166,Blackwells' Bush_core1,BLACKWELL,5,21,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
33,PAL00167,Blanche Cave BC,BLANCHE,5,7,110,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
34,PAL00168,TAS1602,TAS1602,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
35,PAL00007,Blue Lake Karboora 2007 composite,BLUEKARB,5,18,111,2007,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
36,PAL00028,Blue Lake Kosciuszko_core1,BLUEKOS,5,-9999,111,,28,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
37,PAL00029,Blue Lake Kosciuszko Core 6,BLUEKOS6,5,7,111,,28,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
38,PAL00030,Blue Lake Kosciuszko Core 2,BLUEKOS2,5,7,111,,28,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
39,PAL00030,Blue Lake Kosciuszko Core 3,BLUEKOS3,5,7,111,,28,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
40,PAL00030,Blue Lake Kosciuszko Core 1,BLUEKOS1,5,7,111,,28,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
41,PAL00169,Blundells Flat_core1,BLUNDELL,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
42,PAL00170,Boat Harbour Creek BH2,BH2,5,20,84,01.01.96,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
43,PAL00001,Bobundara Swamp pollen core,BOBUNDSWP,5,14,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
44,PAL00171,Boggy Swamp_core1,BOGGY,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
45,PAL00078,Boigu Gawat Swamp 1 core 2,BOIGUSWP1,5,14,111,,1.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
46,PAL00079,Boigu Gawat Swamp 2 core 2,BOIGUSWP2,5,14,111,,1.2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
47,PAL00172,Bolin Billabong Core 1 Core 4 composite,BOLIN,5,-9999,111,,3,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
48,PAL00024,Bondi Lake centre core,BONDIC,5,14,111,,4.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
49,PAL00025,Bondi Lake south core,BONDIS,5,14,111,,4.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
50,PAL00173,Boomer Swamp Core 12,BOOMERSWP,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
51,PAL00174,Boulder Flat_core1,BOULDER,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
52,PAL00175,Breadalbane SE_core1,BREADALB,5,18,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
53,PAL00045,Bridgewater Lake Core A,BRIDGELKA,5,-9999,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
54,PAL00046,Bridgewater Lake Core B,BRIDGELKB,5,-9999,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
55,PAL00047,Bridgewater Lake in situ beach peat,BRIDGELKIN,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
56,PAL00048,Bridgewater Lake not in situ beach peat,BRIDGELKPE,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
57,PAL00002,Bromfield Swamp core BS02,BS02,5,19,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
58,PAL00003,Bromfield Swamp BSAT03,BSAT03,5,19,84,01.06.09,1.1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
59,PAL00004,Bromfield Swamp_core1,BROMFIELD,5,17,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
60,PAL00176,Brooks Ridge Fen_core1,BROOKSR,14,40,-9999,01.01.95,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
61,PAL00177,Buck03,BUCK03,5,7,7,01.12.16,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
62,PAL00177,Buck02,BUCK02,5,7,7,01.12.16,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
63,PAL00178,Bullock Creek BC1,BC1,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
