"UNITID","SITEID","UNITNAME","UNITHANDLE","UNITTYPEID","COLLECTID","DEPOSITID","COLLDATE","WATERDEPTH","NEO_HANDLE","UNIT_COMMT","COLL_SPEC","IS_CHAR","IS_IPPD","IS_NEOTOMA","UNIT_REF","NEO_UNITID"
1,"PAL00151","Aguai Ramata_core1","AGUAI",5,-9999,111,"",2.9,"","","","true","false","false","Haberle:2007terrestrial",NA
2,"PAL00152","Aire Crossing_core1","AIRECROSS",5,-9999,28,"",0,"","","","true","false","false","McKenzie:2004aire",NA
3,"PAL00153","X77/50","AJAX",5,14,84,"1/01/1977",0,"","","","true","false","false","McGlone:2001origin",NA
4,"PAL00154","Ajkwa Estuary core 3","AJKWA3",5,20,112,"",-9999.99,"","","","true","false","false","Ellison:2005irian",NA
5,"PAL00155","Ajkwa Estuary core 4","AJKWA4",5,20,112,"",-9999.99,"","","","true","false","false","Ellison:2005irian",NA
6,"PAL00156","Ajkwa Estuary core 5","AJKWA5",5,20,112,"",-9999.99,"","","","true","false","false","Ellison:2005irian",NA
7,"PAL00157","Alexandra Cave ALEX","ALEX",5,7,110,"",0,"","","","true","false","false","Weij:2022naracoorte",NA
8,"PAL00049","Allom Lake_core1","ALLOM",5,19,111,"1/07/2003",3.7,"","","","true","false","false","Donders:2006fraser",NA
9,"PAL00119","Aluaipugua core 2","ALUAIPUGUA",5,14,84,"1989",-9999.99,"ALUAIPUGUA","","","true","true","true","Haberle:1993tari",39640
10,"PAL00158","Anggi Lake_core1","ANGGILK",5,-9999,111,"",-9999.99,"","","","true","false","false","Hope:2007human",NA
11,"PAL00159","Apple Orchard Lagoon_core1","APPLELGN",5,-9999,111,"1/12/2019",-9999.99,"","","","true","false","false","Adeleye:2021furneaux",NA
12,"PAL00093","Argan Swamp_core1","ARGANSWP",5,14,84,"",-9999.99,"","","","true","false","false","Rowe:2005history",NA
13,"PAL00160","Awanui_core1","AWANUI",5,21,84,"",0,"","","","true","false","false","Horrocks:2007northern",NA
14,"PAL00161","Badu 15_core1","BADU15",5,14,29,"",0,"","","","true","false","false","Rowe:2005history",NA
15,"PAL00094","Bar 20_core1","BAR20",5,14,111,"",0.625,"","","","true","false","false","Rowe:2005history",NA
16,"PAL00064","Barker Swamp BSC BSCX composite","BARKERSWP",5,19,111,"1/12/2003",0,"","","","true","false","false","Gouramanis:2012barker",NA
17,"PAL00062","TAS1104","TAS1104",5,19,111,"1/01/2011",5.2,"","","","true","false","false","Mariani:2017pacific",NA
18,"PAL00095","Bega Swamp_core1","BEGASWP",14,40,84,"",-9999.99,"BEGASWAM","","","true","true","true","Polach:1980bega",247
19,"PAL00023","Bells Lagoon_core1","BELLSLGN",5,19,111,"",-9999.99,"","","","true","false","false","Romanin:2016transition",NA
20,"PAL00162","Ben Dhu_core1","BENDHU",5,-9999,84,"",-9999.99,"","","","true","false","false","McGlone:1998mackenzie",NA
21,"PAL00083","Big Reedy Lagoon_core1","BIGREEDY",5,14,111,"08/12/2017",-9999.99,"BIGREEDY","For more information on site/data contact Matthew Adeleye or Simon Haberle","","true","true","true","Adeleye:2021heathland",36013
22,"PAL00011","Big Willum BW01","BW01",5,-9999,111,"1/08/2011",4,"","","","true","false","false","Stevenson:2015weipa",NA
23,"PAL00012","Big Willum BW03","BW03",5,19,111,"1/08/2011",4,"","","","true","false","false","Stevenson:2015weipa",NA
24,"PAL00013","BWIL2","BWIL2",5,41,111,"1/07/2017",3.5,"","","","true","false","false","Rehn:2020thesis",NA
25,"PAL00163","Bishops Swamp core BS1","BS1",5,20,84,"18/11/2009",0,"","","","true","false","false","Mooney:0000bishops",NA
26,"PAL00164","Black Creek Swamp Bone Bed trench section B6 East","BLACKCKTR",6,5,84,"",-9999.99,"","","","true","false","false","Clark:1983thesis",NA
