DSETTYPEID,DSETTYPE,DSTYPNOTE,CREATED_AT,UPDATED_AT
-9999,no data,,2024-03-12 10:04:38.549 +0100,2024-03-12 10:04:38.549 +0100
1,geochronologic,,2024-03-11 16:17:06.906 +0100,
2,loss-on-ignition,,2024-03-11 16:17:06.906 +0100,
3,pollen,,2024-03-11 16:17:06.906 +0100,
4,plant macrofossil,,2024-03-11 16:17:06.906 +0100,
5,vertebrate fauna,,2024-03-11 16:17:06.906 +0100,
6,macroinvertebrate,,2024-03-11 16:17:06.906 +0100,
7,pollen surface sample,,2024-03-11 16:17:06.906 +0100,
8,insect,,2024-03-11 16:17:06.906 +0100,
9,ostracode,,2024-03-11 16:17:06.906 +0100,
10,water chemistry,,2024-03-11 16:17:06.906 +0100,
11,diatom,,2024-03-11 16:17:06.906 +0100,
12,ostracode surface sample,,2024-03-11 16:17:06.906 +0100,
13,diatom surface sample,,2024-03-11 16:17:06.906 +0100,
14,geochemistry,,2024-03-11 16:17:06.906 +0100,
15,physical sedimentology,,2024-03-11 16:17:06.906 +0100,
16,charcoal,,2024-03-11 16:17:06.906 +0100,
17,testate amoebae,,2024-03-11 16:17:06.906 +0100,
18,X-ray fluorescence (XRF),,2024-03-11 16:17:06.906 +0100,
19,X-ray diffraction (XRD),,2024-03-11 16:17:06.906 +0100,
20,energy dispersive X-ray spectroscopy (EDS/EDX),,2024-03-11 16:17:06.906 +0100,
21,biomarker,,2024-03-11 16:17:06.906 +0100,
22,modern plant biomarker,,2024-03-11 16:17:06.906 +0100,
23,phytolith,,2024-03-11 16:17:06.906 +0100,
24,specimen stable isotope,,2024-03-11 16:17:06.906 +0100,
25,paleomagnetic,,2024-03-11 16:17:06.906 +0100,
26,biochemistry,,2024-03-11 16:17:06.906 +0100,
27,modern biochemistry,,2024-03-11 16:17:06.906 +0100,
28,organic carbon,,2024-03-11 16:17:06.906 +0100,
29,insect modern,,2024-03-11 16:17:06.906 +0100,
30,chironomid,,2024-03-11 16:17:06.906 +0100,
31,stable isotope,,2024-03-11 16:17:06.906 +0100,
32,testate amoebae surface sample,,2024-03-11 16:17:06.906 +0100,
33,charcoal surface sample,,2024-03-11 16:17:06.906 +0100,
34,cladocera,,2024-03-11 16:17:06.906 +0100,
35,diatom top-bottom,,2024-03-11 16:17:06.906 +0100,
36,microcharcoal,,2024-03-11 16:17:06.906 +0100,
37,macrocharcoal,,2024-03-11 16:17:06.906 +0100,
38,pollen trap,,2024-03-11 16:17:06.906 +0100,
39,dinoflagellates,,2024-03-11 16:17:06.906 +0100,
40,sedimentary DNA,,2024-03-11 16:17:06.906 +0100,
41,diatom bottom sample,,2024-03-11 16:17:06.906 +0100,
